tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Karlıtepe Mesire Alanı,İSTANBUL,KİRAZLIYAYLA,BEYKOZ,GÜMÜŞSUYU,29.13759089940086,41.12504471117499,151346644,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
Uğur Park,İSTANBUL,POLONEZ,BEYKOZ,ACARLAR,29.13759089940086,41.12504471117499,151346527,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
Necip Fazıl Kısakürek İlköğretim Bahçesi,İSTANBUL,KİRAZLIYAYLA,BEYKOZ,ELMALI,29.13759089940086,41.12504471117499,151439799,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
Görele İlkokulu Bahçesi,İSTANBUL,İSTANBUL,BEYKOZ,GÖRELE,29.138783438665175,41.12504471117499,151346622,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
Karlıtepe İlkokulu Bahçesi,İSTANBUL,KİRAZLIYAYLA,BEYKOZ,GÜMÜŞSUYU,29.135206245332203,41.125943022349986,151346581,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
Örnekköy Futbol Sahası,İSTANBUL,TOYGAR,BEYKOZ,ÖRNEKKÖY,29.141169023280703,41.125943022349986,151346563,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
125/2 Yerde Bulunan Meydan,İSTANBUL,ELMALI YOLU,BEYKOZ,ZERZAVATÇI,29.147132388969748,41.12684133352498,151346588,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
Zerzevatçı Mahallesi Camii Bahçesi,İSTANBUL,ELMALI YOLU,BEYKOZ,ZERZAVATÇI,29.148324960885574,41.12684133352498,151346589,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
Ayazma Parkı,İSTANBUL,BEYKOZ ELMALI YOLU,BEYKOZ,MERKEZ,29.11016355776036,41.1367227564499,151346486,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
Gümüşsuyu Yol Boyu Parkı,İSTANBUL,YILDIRIM BEYAZIT ÇIKMAZI,BEYKOZ,GÜMÜŞSUYU,29.11016355776036,41.1367227564499,151346575,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
Karlıtepe Parkı,İSTANBUL,YILDIRIM BEYAZIT ÇIKMAZI,BEYKOZ,GÜMÜŞSUYU,29.11016355776036,41.1367227564499,151346582,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
Özel Gülşen Apaydın Anaokulu Bahçesi,İSTANBUL,BEYKOZ ELMALI YOLU,BEYKOZ,MERKEZ,29.10658533577416,41.13762106762489,151346487,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
Dereseki Futbol Sahası ve Çevresi,İSTANBUL,KARAKULAK,BEYKOZ,DERESEKİ,29.123284086193276,41.13762106762489,151346607,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
Akbaba Köy Parkı,İSTANBUL,KAYMAKDONDURAN,BEYKOZ,AKBABA,29.10539258422283,41.138519378799884,151346634,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
Halı Saha.,İSTANBUL,CİVAN PERÇEMİ,BEYKOZ,AKBABA,29.114934858005473,41.138519378799884,151346633,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
23 Nisan 100. Yıl Çocuk Parkı,İSTANBUL,CİVAN PERÇEMİ,BEYKOZ,AKBABA,29.11493500503391,41.13941768997488,151439797,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
Özel Beykoz Doğa İlkokulu-Ortaokulu Bahçesi,İSTANBUL,KARAKULAK,BEYKOZ,DERESEKİ,29.120899007830527,41.13941768997488,151346608,"[<POLYGON ((29.151 41.13, 29.15 41.13, 29.149 41.13, 29.149 41.13, 29.148 41....>]"
