tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Semiha Kıraç İlkokulu Bahçesi,İSTANBUL,CUMA,PENDİK,KURNA,29.364957829303112,40.970154911174994,151350247,"[<POLYGON ((29.376 40.976, 29.378 40.977, 29.379 40.978, 29.379 40.979, 29.37...>]"
Emirli Mahalle Muhtarlığı Önü,İSTANBUL,LALE ÇİÇEĞİ,PENDİK,EMİRLİ,29.364957829303112,40.970154911174994,151350241,"[<POLYGON ((29.376 40.976, 29.378 40.977, 29.379 40.978, 29.379 40.979, 29.37...>]"
Kurnaköy Semt Konağı Bahçesi,İSTANBUL,CUMA,PENDİK,KURNA,29.364957829303112,40.970154911174994,151350246,"[<POLYGON ((29.376 40.976, 29.378 40.977, 29.379 40.978, 29.379 40.979, 29.37...>]"
Ballıca İlkokulu Bahçesi,İSTANBUL,KURTDOĞMUŞ YOLU,PENDİK,BALLICA,29.36852703556201,40.970154911174994,151350284,"[<POLYGON ((29.376 40.976, 29.378 40.977, 29.379 40.978, 29.379 40.979, 29.37...>]"
Kızlar Türbesi Sokak Kızlar Türbesi Parkı,İSTANBUL,KURTDOĞMUŞ YOLU,PENDİK,KURTDOĞMUŞ,29.36733885521836,40.97195153352498,151350182,"[<POLYGON ((29.376 40.976, 29.378 40.977, 29.379 40.978, 29.379 40.979, 29.37...>]"
Ballıca Mahallesi 376 Parsel Kamuya Ait Boş Arazi,İSTANBUL,KURTDOĞMUŞ YOLU,PENDİK,BALLICA,29.372097926486557,40.97195153352498,151350286,"[<POLYGON ((29.376 40.976, 29.378 40.977, 29.379 40.978, 29.379 40.979, 29.37...>]"
Ballıca Mahallesi 173 Parsel Kamuya Ait Boş Arazi,İSTANBUL,KURTDOĞMUŞ YOLU,PENDİK,BALLICA,29.372097926486557,40.97195153352498,151350285,"[<POLYGON ((29.376 40.976, 29.378 40.977, 29.379 40.978, 29.379 40.979, 29.37...>]"
Kurtdoğmuş İlkokulu Bahçesi,İSTANBUL,KURTDOĞMUŞ YOLU,PENDİK,KURTDOĞMUŞ,29.36496453663104,40.97823971174993,151350181,"[<POLYGON ((29.376 40.976, 29.378 40.977, 29.379 40.978, 29.379 40.979, 29.37...>]"
Maraşal Fevzi Çakmak Ortaokulu Bahçesi,İSTANBUL,AĞRI,SULTANBEYLİ,MECİDİYE,29.316179811315845,40.98273126762489,151349326,"[<POLYGON ((29.376 40.976, 29.378 40.977, 29.379 40.978, 29.379 40.979, 29.37...>]"
Teferrüçtepe Mesire Alanı,İSTANBUL,KÖYCEĞİZ,SULTANBEYLİ,BATTALGAZİ,29.316179811315845,40.98273126762489,151349312,"[<POLYGON ((29.376 40.976, 29.378 40.977, 29.379 40.978, 29.379 40.979, 29.37...>]"
Şeyh Edebali Parkı,İSTANBUL,AĞRI,SULTANBEYLİ,MECİDİYE,29.318559735842182,40.98273126762489,151349253,"[<POLYGON ((29.376 40.976, 29.378 40.977, 29.379 40.978, 29.379 40.979, 29.37...>]"
Battalgazi İlkokulu ve Ortaokulu Bahçesi,İSTANBUL,KÖYCEĞİZ,SULTANBEYLİ,BATTALGAZİ,29.31141999468113,40.98452788997488,151349231,"[<POLYGON ((29.376 40.976, 29.378 40.977, 29.379 40.978, 29.379 40.979, 29.37...>]"
Esma Sultan Anaokulu Bahçesi,İSTANBUL,KÖYCEĞİZ,SULTANBEYLİ,BATTALGAZİ,29.31142004331358,40.987222823499856,151349233,"[<POLYGON ((29.376 40.976, 29.378 40.977, 29.379 40.978, 29.379 40.979, 29.37...>]"
Sultanbeyli İbrahim Hakkı Anadolu Lisesi Bahçesi,İSTANBUL,ÖZGÜRLÜK,SULTANBEYLİ,MİMAR SİNAN,29.31618102734735,40.99620593524978,151349285,"[<POLYGON ((29.376 40.976, 29.378 40.977, 29.379 40.978, 29.379 40.979, 29.37...>]"
Yüksel Ulaş Ç.ocuk Bahçesi,İSTANBUL,PAŞAKÖY,SANCAKTEPE,PAŞAKÖY,29.319752033044505,40.99890086877476,151350475,"[<POLYGON ((29.376 40.976, 29.378 40.977, 29.379 40.978, 29.379 40.979, 29.37...>]"
