tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Kardelen Parkı,İSTANBUL,TAŞKENT,KAĞITHANE,ÇELİKTEPE,29.002745528116698,41.085098811174994,151348266,"[<POLYGON ((29 41.087, 29.001 41.087, 29.001 41.086, 29.002 41.086, 29.002 41...>]"
Emniyetevler Cami Önü Yeşil Alan,İSTANBUL,TAŞKENT,KAĞITHANE,EMNİYET EVLERİ,29.002745528116698,41.085098811174994,151348255,"[<POLYGON ((29 41.087, 29.001 41.087, 29.001 41.086, 29.002 41.086, 29.002 41...>]"
Osman Faruk Verimer İlkokulu Bahçesi,İSTANBUL,TAŞKENT,KAĞITHANE,ÇELİKTEPE,29.002745528116698,41.085098811174994,151348271,"[<POLYGON ((29 41.087, 29.001 41.087, 29.001 41.086, 29.002 41.086, 29.002 41...>]"
Metin Taşkın Parkı,İSTANBUL,SEMERKANT,KAĞITHANE,ÇELİKTEPE,29.003937342175046,41.085098811174994,151348267,"[<POLYGON ((29 41.087, 29.001 41.087, 29.001 41.086, 29.002 41.086, 29.002 41...>]"
Bosna Hersek Parkı,İSTANBUL,SEYİR,KAĞITHANE,EMNİYET EVLERİ,29.005129156233394,41.085098811174994,151348254,"[<POLYGON ((29 41.087, 29.001 41.087, 29.001 41.086, 29.002 41.086, 29.002 41...>]"
Ticaret Odası İlkokulu Bahçesi,İSTANBUL,ÖTÜGEN,KAĞITHANE,EMNİYET EVLERİ,29.002745560701726,41.08599712234999,151348357,"[<POLYGON ((29 41.087, 29.001 41.087, 29.001 41.086, 29.002 41.086, 29.002 41...>]"
Tuna Caddesi Parkı (Mezarlık Altı),İSTANBUL,ŞEHİT KARAKUŞLAR,KAĞITHANE,SULTAN SELİM,29.001553746644113,41.08689543352498,151348342,"[<POLYGON ((29 41.087, 29.001 41.087, 29.001 41.086, 29.002 41.086, 29.002 41...>]"
Sultan Selim Kültür Merkezi Üstü Parkı,İSTANBUL,ŞEHİT KARAKUŞLAR,KAĞITHANE,SULTAN SELİM,29.001553746644113,41.08689543352498,151348339,"[<POLYGON ((29 41.087, 29.001 41.087, 29.001 41.086, 29.002 41.086, 29.002 41...>]"
Yaşar Doğu İlkokulu Bahçesi,İSTANBUL,BATANAY,KAĞITHANE,SULTAN SELİM,29.0015537629381,41.08779374469997,151348347,"[<POLYGON ((29 41.087, 29.001 41.087, 29.001 41.086, 29.002 41.086, 29.002 41...>]"
Yaşar Doğu Parkı,İSTANBUL,BATURAY,KAĞITHANE,SULTAN SELİM,29.002745658465656,41.088692055874965,151348338,"[<POLYGON ((29 41.087, 29.001 41.087, 29.001 41.086, 29.002 41.086, 29.002 41...>]"
