tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Suadiye Camii Avlusu,İSTANBUL,NURETTİN ALİ BERKOL,KADIKÖY,SUADİYE,29.07623008182895,40.965984511174995,151348182,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
Zihni Paşa Camii Avlusu,İSTANBUL,DİLRUBA,KADIKÖY,ERENKÖY,29.07623008182895,40.965984511174995,151348041,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
Erenköy Gönüllü Evi Arkası Park,İSTANBUL,DİLRUBA,KADIKÖY,ERENKÖY,29.07623008182895,40.965984511174995,151348043,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
Tarım İl Müdürlüğü Ön Bahçesi,İSTANBUL,NURETTİN ALİ BERKOL,KADIKÖY,CADDEBOSTAN,29.073850858541324,40.96688282234999,151348124,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
Kazasker Shell Karşısı Yeşi Alan,İSTANBUL,KAPTAN ARİF,KADIKÖY,19 MAYIS,29.079799240659092,40.96688282234999,151348056,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
Raket Tenis Kulübü,İSTANBUL,HAMAM,KADIKÖY,CADDEBOSTAN,29.07028192644687,40.96867944469997,151440028,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
Mustafa Nazmi Ersin Cami Bahçesi,İSTANBUL,KAPTAN ARİF,KADIKÖY,19 MAYIS,29.08098930578748,40.96867944469997,151348053,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
Işık Okulları Bahçesi,İSTANBUL,KAPTAN ARİF,KADIKÖY,19 MAYIS,29.082179014603103,40.96867944469997,151348055,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
İhsan Kurşunoğlu Anadolu Lisesi Bahçesi,İSTANBUL,ÖMERPAŞA,KADIKÖY,GÖZTEPE,29.069092250025523,40.969577755874965,151348105,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
Erenköy Kız Anadolu Lisesi Bahçesi,İSTANBUL,ÖZENÇ,KADIKÖY,ERENKÖY,29.07623060010209,40.969577755874965,151348042,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
Avni Akyol Güzel Sanatlar Lisesi Bahçesi,İSTANBUL,ÖMERPAŞA,KADIKÖY,GÖZTEPE,29.069092314818466,40.97137437822495,151348104,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
Kuşluk Parkı,İSTANBUL,TÜCCARBAŞI,KADIKÖY,19 MAYIS,29.078610698086383,40.973171000574936,151348050,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
Gardenya Çıkmazı Parkı,İSTANBUL,ÇOBAN YILDIZI,KADIKÖY,ERENKÖY,29.078610860094425,40.97406931174993,151348040,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
19 Mayıs Parkı,İSTANBUL,ŞEMSETTİN GÜNALTAY,KADIKÖY,19 MAYIS,29.08099047211331,40.97406931174993,151348051,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
Karanfil Sokak Parkları ve Futbol Sahaları,İSTANBUL,ÖMERPAŞA,KADIKÖY,GÖZTEPE,29.071472088843915,40.97496762292492,151348101,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
Milli Hakimiyet Parkı,İSTANBUL,TÜCCARBAŞI,KADIKÖY,SAHRAYICEDİT,29.079800844320765,40.97496762292492,151348140,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
Defne Parkı,İSTANBUL,TÜCCARBAŞI,KADIKÖY,SAHRAYICEDİT,29.079800844320765,40.97496762292492,151348138,"[<POLYGON ((29.077 40.965, 29.077 40.965, 29.078 40.966, 29.078 40.966, 29.07...>]"
