tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Darlık Köy Camii ve Bahçesi,İSTANBUL,DARLIK,ŞİLE,DARLIK,29.55861583196038,41.06912511117499,151348982,"[<POLYGON ((29.556 41.07, 29.556 41.07, 29.556 41.07, 29.558 41.069, 29.558 4...>]"
Ulupelit Köy Konağı ve Camii Alanı,İSTANBUL,LİDER,ŞİLE,ULUPELİT,29.55861583196038,41.06912511117499,151349008,"[<POLYGON ((29.556 41.07, 29.556 41.07, 29.556 41.07, 29.558 41.069, 29.558 4...>]"
Erenler Camii Alanı ve BHA,İSTANBUL,AYCAN,ŞİLE,ERENLER,29.55861583196038,41.06912511117499,151348981,"[<POLYGON ((29.556 41.07, 29.556 41.07, 29.556 41.07, 29.558 41.069, 29.558 4...>]"
Korucuköy Kültürel Tesis Alanı,İSTANBUL,KORUCUKÖY,ŞİLE,KORUCU,29.566957170701198,41.07002342234998,151349036,"[<POLYGON ((29.556 41.07, 29.556 41.07, 29.556 41.07, 29.558 41.069, 29.558 4...>]"
Satmazlı Sağlık Hizmet Alanı,İSTANBUL,AYDIN,ŞİLE,SATMAZLI,29.540747915535416,41.083498089974874,151348980,"[<POLYGON ((29.556 41.07, 29.556 41.07, 29.556 41.07, 29.558 41.069, 29.558 4...>]"
Ovacık Camii ve Park Alanı,İSTANBUL,AKSOY,ŞİLE,OVACIK,29.584848523526553,41.08798964584984,151348995,"[<POLYGON ((29.556 41.07, 29.556 41.07, 29.556 41.07, 29.558 41.069, 29.558 4...>]"
Karamandere A.K.A Alanı Tapulama Harici Alan,İSTANBUL,NEBİ,ŞİLE,KARAMANDERE,29.582466550431377,41.08978626819982,151348991,"[<POLYGON ((29.556 41.07, 29.556 41.07, 29.556 41.07, 29.558 41.069, 29.558 4...>]"
Oruçoğlu Spor Tesis Alanı,İSTANBUL,NURGÜL,ŞİLE,ORUÇOĞLU,29.5252560790328,41.09607444642477,151349060,"[<POLYGON ((29.556 41.07, 29.556 41.07, 29.556 41.07, 29.558 41.069, 29.558 4...>]"
Yeşilvadi Okul Alanı ve Bahçesi,İSTANBUL,YAMAN,ŞİLE,YEŞİLVADİ,29.521680675449286,41.10775249169968,151349059,"[<POLYGON ((29.556 41.07, 29.556 41.07, 29.556 41.07, 29.558 41.069, 29.558 4...>]"
Kızılcaköy Camii Alanı,İSTANBUL,MEDENİ,ŞİLE,KIZILCA,29.52287348790677,41.11583729227461,151348988,"[<POLYGON ((29.556 41.07, 29.556 41.07, 29.556 41.07, 29.558 41.069, 29.558 4...>]"
Kızılcaköy Park Alanı,İSTANBUL,MEDENİ,ŞİLE,KIZILCA,29.519296535188005,41.12482040402454,151348987,"[<POLYGON ((29.556 41.07, 29.556 41.07, 29.556 41.07, 29.558 41.069, 29.558 4...>]"
