tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Lütfi Doğan Kız Anadolu İmam Hatip Lisesi Bahçesi ve Karşısı,İSTANBUL,PINAR,PENDİK,YAYALAR,29.260068045147968,40.910286511174995,151350295,"[<POLYGON ((29.269 40.922, 29.266 40.923, 29.266 40.924, 29.266 40.924, 29.26...>]"
Ertuğrul Gazi Caddesi Çocuk Parkı,İSTANBUL,ERTUĞRULGAZİ,PENDİK,ERTUĞRUL GAZİ,29.260068045147968,40.910286511174995,151350206,"[<POLYGON ((29.269 40.922, 29.266 40.923, 29.266 40.924, 29.266 40.924, 29.26...>]"
Velibaba Parkı,İSTANBUL,ERTUĞRULGAZİ,PENDİK,VELİBABA,29.260068045147968,40.910286511174995,151350329,"[<POLYGON ((29.269 40.922, 29.266 40.923, 29.266 40.924, 29.266 40.924, 29.26...>]"
Barbaros Hayrettin Paşa Caddesi 1196 Parsel (Kamu Arazisi),İSTANBUL,ÇAYIRKENT,PENDİK,YAYALAR,29.26125670267263,40.910286511174995,151350208,"[<POLYGON ((29.269 40.922, 29.266 40.923, 29.266 40.924, 29.266 40.924, 29.26...>]"
Busenaz Sürmeneli Spor Kompleksi ve Çevresi,İSTANBUL,PINAR,PENDİK,YAYALAR,29.26363401772195,40.910286511174995,151439559,"[<POLYGON ((29.269 40.922, 29.266 40.923, 29.266 40.924, 29.266 40.924, 29.26...>]"
Süleyman Şah Parkı,İSTANBUL,TALİP,PENDİK,ERTUĞRUL GAZİ,29.266011332771274,40.910286511174995,151350203,"[<POLYGON ((29.269 40.922, 29.266 40.923, 29.266 40.924, 29.266 40.924, 29.26...>]"
10251 Ada 2 Parsel Kamuya Ait Hisseli Boş Arazi,İSTANBUL,GEMİCİ,PENDİK,SÜLÜNTEPE,29.268388647820597,40.910286511174995,151350339,"[<POLYGON ((29.269 40.922, 29.266 40.923, 29.266 40.924, 29.266 40.924, 29.26...>]"
"0 Ada, 811 Parsel Kamuya Ait Hisseli Boş Arazi",İSTANBUL,GEMİCİ,PENDİK,SÜLÜNTEPE,29.269577757542585,40.91208313352498,151350383,"[<POLYGON ((29.269 40.922, 29.266 40.923, 29.266 40.924, 29.266 40.924, 29.26...>]"
Aydos Parkı,İSTANBUL,MENZİL,PENDİK,ERTUĞRUL GAZİ,29.258879629877345,40.91298144469997,151350202,"[<POLYGON ((29.269 40.922, 29.266 40.923, 29.266 40.924, 29.266 40.924, 29.26...>]"
Ercan Görür İmam Hatip Ortaokulu Bahçesi,İSTANBUL,NİZAMİ,PENDİK,ERTUĞRUL GAZİ,29.264823321271997,40.913879755874966,151350205,"[<POLYGON ((29.269 40.922, 29.266 40.923, 29.266 40.924, 29.266 40.924, 29.26...>]"
Velibaba İlköğretim Okulu Yanı Parkı,İSTANBUL,AYDOS,PENDİK,VELİBABA,29.254124854432856,40.91567637822495,151350325,"[<POLYGON ((29.269 40.922, 29.266 40.923, 29.266 40.924, 29.266 40.924, 29.26...>]"
0 Ada 557 Parsel (Kamu Arazisi),İSTANBUL,AHMET YESEVİ,PENDİK,SÜLÜNTEPE,29.264823805867792,40.916574689399944,151350204,"[<POLYGON ((29.269 40.922, 29.266 40.923, 29.266 40.924, 29.266 40.924, 29.26...>]"
Çağlayan Sokak Parkı,İSTANBUL,AYDOS,PENDİK,VELİBABA,29.254124886741433,40.91747300057494,151350323,"[<POLYGON ((29.269 40.922, 29.266 40.923, 29.266 40.924, 29.266 40.924, 29.26...>]"
Aydos Spor Kulübü,İSTANBUL,SEMERKANT,PENDİK,ÇAMLIK,29.26601310958236,40.91926962292492,151350353,"[<POLYGON ((29.269 40.922, 29.266 40.923, 29.266 40.924, 29.266 40.924, 29.26...>]"
