tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
İsmet İnönü Parkı,İSTANBUL,ZÜLÜF ÇIKMAZI,ATAŞEHİR,ESATPAŞA,29.085687376114837,40.99660561117499,151345628,"[<POLYGON ((29.079 41.007, 29.079 41.007, 29.079 41.007, 29.079 41.006, 29.07...>]"
Botanik Parkı,İSTANBUL,ZÜLÜF ÇIKMAZI,ATAŞEHİR,ESATPAŞA,29.085687376114837,40.99660561117499,151345545,"[<POLYGON ((29.079 41.007, 29.079 41.007, 29.079 41.007, 29.079 41.006, 29.07...>]"
Aşık Veysel Parkı,İSTANBUL,ZÜLÜF ÇIKMAZI,ATAŞEHİR,ESATPAŞA,29.085687376114837,40.99660561117499,151345546,"[<POLYGON ((29.079 41.007, 29.079 41.007, 29.079 41.007, 29.079 41.006, 29.07...>]"
Akşemseddin Parkı,İSTANBUL,SELVA,ATAŞEHİR,ESATPAŞA,29.084497244528816,40.997503922349985,151345550,"[<POLYGON ((29.079 41.007, 29.079 41.007, 29.079 41.007, 29.079 41.006, 29.07...>]"
Kemal Paşa Parkı,İSTANBUL,BİNGÖL,ATAŞEHİR,AŞIKVEYSEL,29.08687770234034,40.997503922349985,151345563,"[<POLYGON ((29.079 41.007, 29.079 41.007, 29.079 41.007, 29.079 41.006, 29.07...>]"
Yunus Emre Parkı,İSTANBUL,YENİÇİĞDEM,ATAŞEHİR,ESATPAŞA,29.083307080505808,40.99840223352498,151345552,"[<POLYGON ((29.079 41.007, 29.079 41.007, 29.079 41.007, 29.079 41.006, 29.07...>]"
Çınar Parkı,İSTANBUL,ZİYAPAŞA,ATAŞEHİR,ESATPAŞA,29.086877815885163,40.99840223352498,151345549,"[<POLYGON ((29.079 41.007, 29.079 41.007, 29.079 41.007, 29.079 41.006, 29.07...>]"
Doğuş Spor Kulübü,İSTANBUL,BİNGÖL,ATAŞEHİR,AŞIKVEYSEL,29.088068061011615,40.99840223352498,151345560,"[<POLYGON ((29.079 41.007, 29.079 41.007, 29.079 41.007, 29.079 41.006, 29.07...>]"
Mehmet Akif Parkı,İSTANBUL,SÜMBÜLLER,ATAŞEHİR,ESATPAŞA,29.085687668087257,40.99930054469997,151345547,"[<POLYGON ((29.079 41.007, 29.079 41.007, 29.079 41.007, 29.079 41.006, 29.07...>]"
Orhan Veli Ortaokulu ve Aşık Veysel Lisesi Bahçesi,İSTANBUL,BİNGÖL,ATAŞEHİR,AŞIKVEYSEL,29.08806819078301,40.99930054469997,151345562,"[<POLYGON ((29.079 41.007, 29.079 41.007, 29.079 41.007, 29.079 41.006, 29.07...>]"
Ali Nihat Tarlan İlköğretim Bahçesi,İSTANBUL,SORGUN,ATAŞEHİR,ESATPAŞA,29.082116932710107,41.00019885587496,151345553,"[<POLYGON ((29.079 41.007, 29.079 41.007, 29.079 41.007, 29.079 41.006, 29.07...>]"
Esatpaşa Anaokulu Bahçesi,İSTANBUL,SAFİR,ATAŞEHİR,ESATPAŞA,29.082116981378793,41.001097167049956,151345554,"[<POLYGON ((29.079 41.007, 29.079 41.007, 29.079 41.007, 29.079 41.006, 29.07...>]"
