tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ballıca Mahallesi 376 Parsel Kamuya Ait Boş Arazi,İSTANBUL,SARMAŞIK,PENDİK,BALLICA,29.398693318805616,41.02477241117499,151350286,"[<POLYGON ((29.37 41.057, 29.37 41.056, 29.371 41.055, 29.373 41.053, 29.375 ...>]"
Esenceli Köy Camii ve Muhtarlık Alanı,İSTANBUL,ASLANDAĞI,ŞİLE,ESENCELİ,29.398693318805616,41.02477241117499,151349015,"[<POLYGON ((29.37 41.057, 29.37 41.056, 29.371 41.055, 29.373 41.053, 29.375 ...>]"
Ballıca İlkokulu Bahçesi,İSTANBUL,SARMAŞIK,PENDİK,BALLICA,29.398693318805616,41.02477241117499,151350284,"[<POLYGON ((29.37 41.057, 29.37 41.056, 29.371 41.055, 29.373 41.053, 29.375 ...>]"
Ballıca Mahallesi 173 Parsel Kamuya Ait Boş Arazi,İSTANBUL,SARMAŞIK,PENDİK,BALLICA,29.408219611517158,41.025670722349986,151350285,"[<POLYGON ((29.37 41.057, 29.37 41.056, 29.371 41.055, 29.373 41.053, 29.375 ...>]"
Kurtdoğmuş İlkokulu Bahçesi,İSTANBUL,MEZARLIK,PENDİK,KURTDOĞMUŞ,29.390359095918352,41.02746734469997,151350181,"[<POLYGON ((29.37 41.057, 29.37 41.056, 29.371 41.055, 29.373 41.053, 29.375 ...>]"
Kızlar Türbesi Sokak Kızlar Türbesi Parkı,İSTANBUL,MEZARLIK,PENDİK,KURTDOĞMUŞ,29.38559643691104,41.02926396704996,151350182,"[<POLYGON ((29.37 41.057, 29.37 41.056, 29.371 41.055, 29.373 41.053, 29.375 ...>]"
Kömürlük Spor Tesis Alanı,İSTANBUL,KÖMÜRLÜK,ŞİLE,KÖMÜRLÜK,29.409417319838653,41.03734876762489,151349061,"[<POLYGON ((29.37 41.057, 29.37 41.056, 29.371 41.055, 29.373 41.053, 29.375 ...>]"
Saadet Yılmaz İlkokulu Bahçesi,İSTANBUL,KOÇULLU,ÇEKMEKÖY,KOÇULLU,29.37607139566582,41.04453525702483,151347223,"[<POLYGON ((29.37 41.057, 29.37 41.056, 29.371 41.055, 29.373 41.053, 29.375 ...>]"
Kervansaray Köy Camii ve Meydan,İSTANBUL,AS,ŞİLE,KERVANSARAY,29.41299543412538,41.045433568199826,151348992,"[<POLYGON ((29.37 41.057, 29.37 41.056, 29.371 41.055, 29.373 41.053, 29.375 ...>]"
Şehit Vefa Karakurdu Anaokulu Bahçesi,İSTANBUL,KOÇULLU,ÇEKMEKÖY,KOÇULLU,29.377262962619415,41.0490268128998,151347224,"[<POLYGON ((29.37 41.057, 29.37 41.056, 29.371 41.055, 29.373 41.053, 29.375 ...>]"
Avcıkoru Camii ve Otopark Alanı,İSTANBUL,ŞİLE YOLU,ŞİLE,AVCIKORU,29.401095901409175,41.06968796992463,151349034,"[<POLYGON ((29.37 41.057, 29.37 41.056, 29.371 41.055, 29.373 41.053, 29.375 ...>]"
