tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ediz Sokak Boş Arazi,İSTANBUL,ESENEVLER,ÜMRANİYE,ESENEVLER,29.092645538075644,41.00917351117499,151349716,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Lokman Hekim Parkı,İSTANBUL,ESENEVLER,ÜMRANİYE,ESENEVLER,29.092645538075644,41.00917351117499,151349713,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Sahil Parkı,İSTANBUL,İBRAHİM MÜTEFERRİKA,ATAŞEHİR,AŞIKVEYSEL,29.092645538075644,41.00917351117499,151345564,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Emre İncemollaoğlu Parkı,İSTANBUL,İBRAHİM MÜTEFERRİKA,ATAŞEHİR,AŞIKVEYSEL,29.093835977754917,41.00917351117499,151345561,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Ayvacık Parkı,İSTANBUL,İNŞİRAH,ÜMRANİYE,ESENEVLER,29.09026472363805,41.010071822349985,151349715,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Nabi Avcı Lisesi Bahçesi,İSTANBUL,LOKMAN HEKİM,ÜMRANİYE,İSTİKLAL,29.0950265472761,41.010071822349985,151349669,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Hasan Tahsin Ortaokulu Bahçesi,İSTANBUL,YÜKSEL,ÜMRANİYE,ESENEVLER,29.092645732842918,41.01097013352498,151349717,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Hacı Arif Şimşek Parkı,İSTANBUL,LOKMAN HEKİM,ÜMRANİYE,İSTİKLAL,29.096217149264376,41.01097013352498,151349666,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Safiye Akçasoy Parkı,İSTANBUL,BRONZ,ÜMRANİYE,ESENEVLER,29.09026485348877,41.01186844469997,151349714,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Süleyman Kule Parkı,İSTANBUL,ÖZGÜNEŞ,ÜSKÜDAR,CUMHURİYET,29.08907441381391,41.012766755874964,151350685,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Yunus Emre Ortaokulu Bahçesi,İSTANBUL,KOCATEPE,ÜMRANİYE,ESENEVLER,29.091455423023184,41.012766755874964,151349719,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Eryuvam Parkı,İSTANBUL,İCLAL,ÜMRANİYE,ESENEVLER,29.087883941675635,41.013665067049956,151349718,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Namık Kemal Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,İCLAL,ÜMRANİYE,ESENEVLER,29.091455504189085,41.013665067049956,151349720,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Hamidiye Parkı,İSTANBUL,LOKMAN HEKİM,ÜMRANİYE,İSTİKLAL,29.09621758754035,41.013665067049956,151349670,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Esenevler Muhtarlığı Bahçesi,İSTANBUL,ATMACA,ÜMRANİYE,ESENEVLER,29.091455585358645,41.01456337822495,151349721,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Turgut Reis Parkı,İSTANBUL,DADAŞ,ÜSKÜDAR,BULGURLU ,29.08788400661276,41.01546168939994,151350746,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Eyüboğlu Koleji Bahçesi,İSTANBUL,DR. RÜSTEM EYÜBOĞLU,ÜMRANİYE,ESENEVLER,29.08788400661276,41.01546168939994,151349722,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Rumeli Parkı,İSTANBUL,TALATPAŞA,ÜMRANİYE,NAMIK KEMAL,29.09502732645104,41.01546168939994,151349706,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Cengiz Topel Spor Tesisleri,İSTANBUL,TALATPAŞA,ÜMRANİYE,NAMIK KEMAL,29.09621787975742,41.01546168939994,151349707,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
Piri Reis Parkı,İSTANBUL,DADAŞ,ÜSKÜDAR,BULGURLU ,29.086693469541768,41.016360000574934,151350752,"[<POLYGON ((29.097 41.015, 29.097 41.015, 29.096 41.016, 29.096 41.016, 29.09...>]"
