tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Kaynarca Merkez Cami Bahçesi,İSTANBUL,MARMARA,PENDİK,ÇAMÇEŞME,29.271141234405388,40.87952331117499,151350314,"[<POLYGON ((29.265 40.896, 29.265 40.895, 29.266 40.895, 29.266 40.894, 29.26...>]"
Hayri Ekşi Çocuk Parkı,İSTANBUL,KİRAZLI MESCİT,PENDİK,ESENLER,29.271141234405388,40.87952331117499,151350216,"[<POLYGON ((29.265 40.896, 29.265 40.895, 29.266 40.895, 29.266 40.894, 29.26...>]"
Kaynarca Spor Antreman Sahası,İSTANBUL,KİRAZLI MESCİT,PENDİK,ESENLER,29.271141234405388,40.87952331117499,151350225,"[<POLYGON ((29.265 40.896, 29.265 40.895, 29.266 40.895, 29.266 40.894, 29.26...>]"
Çamçeşme Parkı,İSTANBUL,MARMARA,PENDİK,ÇAMÇEŞME,29.272329339320443,40.87952331117499,151350319,"[<POLYGON ((29.265 40.896, 29.265 40.895, 29.266 40.895, 29.266 40.894, 29.26...>]"
Sinem Gücük Karaca Parkı,İSTANBUL,TAŞYOL,PENDİK,ESENLER,29.27589383143541,40.880421622349985,151350219,"[<POLYGON ((29.265 40.896, 29.265 40.895, 29.266 40.895, 29.266 40.894, 29.26...>]"
Sultan Abdülhamit Han Ortaokulu Bahçesi,İSTANBUL,HALİS,PENDİK,ESENLER,29.26995332298901,40.88131993352498,151350224,"[<POLYGON ((29.265 40.896, 29.265 40.895, 29.266 40.895, 29.266 40.894, 29.26...>]"
9848 Ada 1 Parsel Antreman Sahası,İSTANBUL,MİSAKI MİLLİ,PENDİK,KAVAKPINAR,29.275894008813186,40.88131993352498,151350154,"[<POLYGON ((29.265 40.896, 29.265 40.895, 29.266 40.895, 29.266 40.894, 29.26...>]"
Adil Erdem Bayazıt Ortaokulu Bahçesi,İSTANBUL,TURFANDA,PENDİK,KAVAKPINAR,29.27708214597802,40.88131993352498,151350145,"[<POLYGON ((29.265 40.896, 29.265 40.895, 29.266 40.895, 29.266 40.894, 29.26...>]"
Kavakpınar Gençlik Merkezi Parkı (Masal Parkı),İSTANBUL,TURFANDA,PENDİK,KAVAKPINAR,29.27708214597802,40.88131993352498,151350138,"[<POLYGON ((29.265 40.896, 29.265 40.895, 29.266 40.895, 29.266 40.894, 29.26...>]"
Fuat Köprülü Ortaokulu Bahçesi,İSTANBUL,METE,PENDİK,KAVAKPINAR,29.277082339489873,40.88221824469997,151350148,"[<POLYGON ((29.265 40.896, 29.265 40.895, 29.266 40.895, 29.266 40.894, 29.26...>]"
Sevgi Parkı,İSTANBUL,GİRNE,PENDİK,FEVZİ ÇAKMAK,29.26995351650521,40.88311655587496,151350226,"[<POLYGON ((29.265 40.896, 29.265 40.895, 29.266 40.895, 29.266 40.894, 29.26...>]"
Buhara İlkokulu Bahçesi,İSTANBUL,NAMIK,PENDİK,ESENLER,29.27114191171209,40.88491317822495,151350222,"[<POLYGON ((29.265 40.896, 29.265 40.895, 29.266 40.895, 29.266 40.894, 29.26...>]"
Buhara Parkı,İSTANBUL,NAMIK,PENDİK,ESENLER,29.272330113385244,40.88491317822495,151350218,"[<POLYGON ((29.265 40.896, 29.265 40.895, 29.266 40.895, 29.266 40.894, 29.26...>]"
