tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Çamlık Sokak Yanı Belediye Park ve Arazisi,İSTANBUL,UĞUR,KARTAL,KARLIKTEPE,29.202283590142894,40.89964091117499,151348408,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Gül Parkı,İSTANBUL,YAKACIK,KARTAL,ÇAVUŞOĞLU,29.202283590142894,40.89964091117499,151348397,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Karlıktepe Mahallesi Fıstık Ağacı Yanı Sk. Boş Arazi,İSTANBUL,UĞUR,KARTAL,KARLIKTEPE,29.202283590142894,40.89964091117499,151348577,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Gelincik Parkı Karşısı Halı Saha,İSTANBUL,YILDIZ,KARTAL,ESENTEPE,29.196341517410524,40.900539222349984,151348432,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Gelincik Parkı,İSTANBUL,YILDIZ,KARTAL,ESENTEPE,29.196341517410524,40.900539222349984,151348431,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Fatin Rüştü Zorlu Anadolu Lisesi Bahçesi,İSTANBUL,SEÇENLER,KARTAL,TOPSELVİ,29.20466089377763,40.900539222349984,151348540,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Turgut Kadız Parkı Karşısı Açık Halı Saha,İSTANBUL,YAŞAR DOĞU,KARTAL,ESENTEPE,29.190399283277394,40.90143753352498,151348423,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Papatya Parkı,İSTANBUL,YAŞAR DOĞU,KARTAL,ESENTEPE,29.190399283277394,40.90143753352498,151348441,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Emine ve Hasan Aytaçman İlkokulu Bahçesi,İSTANBUL,YAŞAR DOĞU,KARTAL,ESENTEPE,29.190399283277394,40.90143753352498,151348428,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Kıbrıs Şehitleri Cami Bahçesi,İSTANBUL,SEÇENLER,KARTAL,TOPSELVİ,29.205849763514315,40.90143753352498,151348541,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Kartal Köprüsü Eski Oto Pazarı,İSTANBUL,SOĞANLIK D-100 KUZEY YANYOL,KARTAL,ORTA,29.205849763514315,40.90143753352498,151348507,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
50.Yıl General Refet Bele Ortaokulu Bahçesi,İSTANBUL,TECERDAĞI,KARTAL,ESENTEPE,29.182079858488414,40.90233584469997,151348421,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Hasan Tahsin Uğur Cami Bahçesi,İSTANBUL,TECERDAĞI,KARTAL,ESENTEPE,29.182079858488414,40.90233584469997,151348434,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Kartal  Borsa İstanbul  Kız Teknik ve Meslek Lisesi Bahçesi,İSTANBUL,TECERDAĞI,KARTAL,ESENTEPE,29.182079858488414,40.90233584469997,151348580,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Çamlık Parkı,İSTANBUL,İNÖNÜ,KARTAL,ESENTEPE,29.185645402354726,40.90233584469997,151348427,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Bulvar Parkı ve Açık Halı Saha,İSTANBUL,YAŞAR DOĞU,KARTAL,KARLIKTEPE,29.185645402354726,40.90233584469997,151348407,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Turgut Kadız  Parkı,İSTANBUL,İNÖNÜ,KARTAL,ESENTEPE,29.185645402354726,40.90233584469997,151348422,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Rıfat Ilgaz Parkı.,İSTANBUL,BOTAN,KARTAL,ESENTEPE,29.18921094622104,40.90233584469997,151348433,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Arif Kaptan Parkı,İSTANBUL,BULUT,KARTAL,ESENTEPE,29.191587975465247,40.90233584469997,151348425,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Şehit Er Serhat Şanlı Ortaokulu Bahçesi,İSTANBUL,BEŞPARMAKDAĞI,KARTAL,ESENTEPE,29.19277649008735,40.90233584469997,151348442,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Esentepe Hicret Cami Bahçesi,İSTANBUL,ASLANDAĞI,KARTAL,ESENTEPE,29.193965004709455,40.90233584469997,151348429,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Ak-El Kooperatif Parkı,İSTANBUL,HAKAN,KARTAL,ESENTEPE,29.18564551535621,40.90323415587496,151348440,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Şehit Ersin Özler Parkı,İSTANBUL,HAKAN,KARTAL,ESENTEPE,29.186834046121383,40.90323415587496,151348443,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
Zeytinlik Parkı,İSTANBUL,TECERDAĞI,KARTAL,ATALAR,29.18089144072692,40.904132467049955,151348370,"[<POLYGON ((29.211 40.906, 29.21 40.907, 29.209 40.907, 29.208 40.908, 29.206...>, <POLYGON ((29.005 41.084, 29.006 41.083, 29.006 41.082, 29.007 41.081, 29.00...>, <POLYGON ((28.945 41.073, 28.945 41.074, 28.946 41.074, 28.946 41.074, 28.94...>, <POLYGON ((28.89 41.102, 28.89 41.103, 28.89 41.103, 28.89 41.103, 28.89 41....>]"
