tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ömer Çam İmam Hatip Ortaokulu,İSTANBUL,D 100,PENDİK,ESENYALI,29.29007498189205,40.85644681117499,151350197,"[<POLYGON ((29.296 40.864, 29.295 40.864, 29.293 40.864, 29.292 40.864, 29.29...>]"
11039 Ada 2 Parsel Kamuya Ait Boş Arazi (Bahçeşehir Koleji Yanı),İSTANBUL,İBRAHİM HAKKI,PENDİK,GÜZELYALI,29.29007498189205,40.85644681117499,151350365,"[<POLYGON ((29.296 40.864, 29.295 40.864, 29.293 40.864, 29.292 40.864, 29.29...>]"
Prof. Dr. Necmettin Erbakan Kız İmam Hatip Ortaokulu Bahçesi,İSTANBUL,D 100,PENDİK,ESENYALI,29.29007498189205,40.85644681117499,151350196,"[<POLYGON ((29.296 40.864, 29.295 40.864, 29.293 40.864, 29.292 40.864, 29.29...>]"
80.Yıl Nuh Çimento Anadolu Lisesi Bahçesi,İSTANBUL,UYGAR,PENDİK,ESENYALI,29.291262672838076,40.85644681117499,151350194,"[<POLYGON ((29.296 40.864, 29.295 40.864, 29.293 40.864, 29.292 40.864, 29.29...>]"
Özel Güzelyalı Bahçeşehir Koleji Bahçesi,İSTANBUL,YANYOL,PENDİK,GÜZELYALI,29.288887307051816,40.85734512234998,151350371,"[<POLYGON ((29.296 40.864, 29.295 40.864, 29.293 40.864, 29.292 40.864, 29.29...>]"
Evim Sokak Parkı,İSTANBUL,ASİLZADE,PENDİK,ESENYALI,29.290075046316677,40.858243433524976,151350192,"[<POLYGON ((29.296 40.864, 29.295 40.864, 29.293 40.864, 29.292 40.864, 29.29...>]"
Esenyalı Çocuk Parkı,İSTANBUL,YALI,PENDİK,ESENYALI,29.29363821579169,40.858243433524976,151350191,"[<POLYGON ((29.296 40.864, 29.295 40.864, 29.293 40.864, 29.292 40.864, 29.29...>]"
Güzelyalı Mimar Sinan Cami Bahçesi,İSTANBUL,ÇALIŞANLAR,PENDİK,GÜZELYALI,29.28888733926559,40.85914174469997,151350385,"[<POLYGON ((29.296 40.864, 29.295 40.864, 29.293 40.864, 29.292 40.864, 29.29...>]"
İbrahim Azmi Beğen Cami Bahçesi,İSTANBUL,METEHAN,PENDİK,ESENYALI,29.292450557062356,40.85914174469997,151350193,"[<POLYGON ((29.296 40.864, 29.295 40.864, 29.293 40.864, 29.292 40.864, 29.29...>]"
Teyyare Sokak Parkı,İSTANBUL,SICAK,PENDİK,ESENYALI,29.291262914446826,40.860938367049954,151350190,"[<POLYGON ((29.296 40.864, 29.295 40.864, 29.293 40.864, 29.292 40.864, 29.29...>]"
Abdullah Acar Ortaokulu Bahçesi,İSTANBUL,SICAK,PENDİK,ESENYALI,29.291262914446826,40.860938367049954,151350195,"[<POLYGON ((29.296 40.864, 29.295 40.864, 29.293 40.864, 29.292 40.864, 29.29...>]"
Milli Eğitim Vakfı İlkokulu Bahçesi,İSTANBUL,YILDIRIM,PENDİK,FATİH,29.2972017718582,40.860938367049954,151350180,"[<POLYGON ((29.296 40.864, 29.295 40.864, 29.293 40.864, 29.292 40.864, 29.29...>]"
Aydıntepe (Evora) Parkı,İSTANBUL,ALAADDİN,TUZLA,AYDINTEPE,29.2972017718582,40.860938367049954,151349550,"[<POLYGON ((29.296 40.864, 29.295 40.864, 29.293 40.864, 29.292 40.864, 29.29...>]"
Çavuşoğlu İsmail Yeşilyurt İmam Hatip Ortaokulu Bahçesi,İSTANBUL,YILDIRIM,PENDİK,FATİH,29.297202029615026,40.86273498939994,151350179,"[<POLYGON ((29.296 40.864, 29.295 40.864, 29.293 40.864, 29.292 40.864, 29.29...>]"
Şehit Öğretmen Nuri Öztürk Parkı,İSTANBUL,İSTİKLAL,PENDİK,ORHANGAZİ,29.290075239625548,40.86363330057493,151350184,"[<POLYGON ((29.296 40.864, 29.295 40.864, 29.293 40.864, 29.292 40.864, 29.29...>]"
Milli Egemenlik Parkı,İSTANBUL,İMAMI AZAM,PENDİK,FATİH,29.29720215850219,40.86363330057493,151350174,"[<POLYGON ((29.296 40.864, 29.295 40.864, 29.293 40.864, 29.292 40.864, 29.29...>]"
