tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Mescidi Selam Önü  Park ve Otopark Toplanma Alanı,İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,MALKOÇOĞLU,28.84210890984039,41.12145252234998,151349488,"[<POLYGON ((28.844 41.121, 28.844 41.122, 28.843 41.122, 28.843 41.123, 28.84...>]"
Şehit Bülent Özkan Parkı. ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,MALKOÇOĞLU,28.84210890984039,41.12145252234998,151349486,"[<POLYGON ((28.844 41.121, 28.844 41.122, 28.843 41.122, 28.843 41.123, 28.84...>]"
Evliya Çelebi Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,ESKİ HABİPLER,28.84210890984039,41.12145252234998,151349331,"[<POLYGON ((28.844 41.121, 28.844 41.122, 28.843 41.122, 28.843 41.123, 28.84...>]"
Hüseyin Ersu İlkokulu-Ortaokulu Bahçesi,İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,MALKOÇOĞLU,28.84330138382975,41.12145252234998,151349481,"[<POLYGON ((28.844 41.121, 28.844 41.122, 28.843 41.122, 28.843 41.123, 28.84...>]"
Uzm. Dr. Salih Cenap Cevli  Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,ESKİ HABİPLER,28.839724386254357,41.12324914469997,151349332,"[<POLYGON ((28.844 41.121, 28.844 41.122, 28.843 41.122, 28.843 41.123, 28.84...>]"
Nurettin Uzun İlköğretim Okulu Bahçesi,İSTANBUL,DEMİRCİ,SULTANGAZİ,ESKİ HABİPLER,28.838532075506276,41.12414745587496,151349335,"[<POLYGON ((28.844 41.121, 28.844 41.122, 28.843 41.122, 28.843 41.123, 28.84...>]"
Aşık Şenlik Parkı.,İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,HABİBLER,28.839725022915594,41.12594407822495,151349438,"[<POLYGON ((28.844 41.121, 28.844 41.122, 28.843 41.122, 28.843 41.123, 28.84...>]"
Org. Hilmi Özkök Parkı,İSTANBUL,DEMİRCİ,SULTANGAZİ,ESKİ HABİPLER,28.832569917833183,41.12774070057493,151349333,"[<POLYGON ((28.844 41.121, 28.844 41.122, 28.843 41.122, 28.843 41.123, 28.84...>]"
Toplum Ruh Sağlığı Merkezi Toplanma Alanı,İSTANBUL,DEMİRCİ,SULTANGAZİ,ESKİ HABİPLER,28.832569917833183,41.12774070057493,151349334,"[<POLYGON ((28.844 41.121, 28.844 41.122, 28.843 41.122, 28.843 41.123, 28.84...>]"
Necip Fazıl Kısakürek Parkı,İSTANBUL,ARNAVUTKÖY-HABİPLER YOLU,SULTANGAZİ,ESKİ HABİPLER,28.82899228367135,41.12953732292492,151349336,"[<POLYGON ((28.844 41.121, 28.844 41.122, 28.843 41.122, 28.843 41.123, 28.84...>]"
Veysel Karani Can Parkı,İSTANBUL,ARNAVUTKÖY-HABİPLER YOLU,SULTANGAZİ,ESKİ HABİPLER,28.82779971174078,41.13043563409991,151349338,"[<POLYGON ((28.844 41.121, 28.844 41.122, 28.843 41.122, 28.843 41.123, 28.84...>]"
Mehmet Çavuş Yıldız Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ÇELİK,SULTANGAZİ,ESKİ HABİPLER,28.834955535222342,41.13043563409991,151349337,"[<POLYGON ((28.844 41.121, 28.844 41.122, 28.843 41.122, 28.843 41.123, 28.84...>]"
Nurhayat Şevket Coşar Parkı,İSTANBUL,ARNAVUTKÖY-HABİPLER YOLU,SULTANGAZİ,ESKİ HABİPLER,28.82660710715351,41.1313339452749,151349339,"[<POLYGON ((28.844 41.121, 28.844 41.122, 28.843 41.122, 28.843 41.123, 28.84...>]"
Pirinççi Köyü Ağaçkakan Sokak No:7 Kurban Kesim Yeri,İSTANBUL,ESKİ EDİRNE ASFALTI,EYÜPSULTAN,PİRİNÇÇİ,28.825414518903468,41.134927189974874,151347567,"[<POLYGON ((28.844 41.121, 28.844 41.122, 28.843 41.122, 28.843 41.123, 28.84...>]"
