tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Kurtuluş Cami Bahçesi,İSTANBUL,FEYLOSOF,ŞİŞLİ,ESKİŞEHİR,28.980133504942376,41.04306211117499,151350570,"[<POLYGON ((28.981 41.042, 28.981 41.042, 28.981 41.043, 28.982 41.043, 28.98...>]"
Olimpia Açık Halı Saha,İSTANBUL,FEYLOSOF,ŞİŞLİ,ESKİŞEHİR,28.980133504942376,41.04306211117499,151350572,"[<POLYGON ((28.981 41.042, 28.981 41.042, 28.981 41.043, 28.982 41.043, 28.98...>]"
Lalezar Sokak Çocuk Parkı,İSTANBUL,FEYLOSOF,ŞİŞLİ,ESKİŞEHİR,28.980133504942376,41.04306211117499,151350571,"[<POLYGON ((28.981 41.042, 28.981 41.042, 28.981 41.043, 28.982 41.043, 28.98...>]"
Sazlıdere Caddesi Yeşil Alan,İSTANBUL,ELMADAĞ,ŞİŞLİ,İNÖNÜ,28.981324557413565,41.04306211117499,151350586,"[<POLYGON ((28.981 41.042, 28.981 41.042, 28.981 41.043, 28.982 41.043, 28.98...>]"
Aya Dimitri Rum Ortodoks Kilisesi Bahçesi,İSTANBUL,KURTULUŞ,ŞİŞLİ,FERİKÖY,28.978942468729187,41.04396042234998,151350562,"[<POLYGON ((28.981 41.042, 28.981 41.042, 28.981 41.043, 28.982 41.043, 28.98...>]"
İETT Kurtuluş Son Durak,İSTANBUL,KURTULUŞ,ŞİŞLİ,FERİKÖY,28.978942484987922,41.044858733524975,151350555,"[<POLYGON ((28.981 41.042, 28.981 41.042, 28.981 41.043, 28.982 41.043, 28.98...>]"
Harbiye İlköğretim Okulu Bahçesi,İSTANBUL,DOLAPDERE,ŞİŞLİ,İNÖNÜ,28.98251573995169,41.044858733524975,151350584,"[<POLYGON ((28.981 41.042, 28.981 41.042, 28.981 41.043, 28.982 41.043, 28.98...>]"
Feriköy Mh. Carrefoursa Market Arkası Açık Otopark,İSTANBUL,KURTULUŞ,ŞİŞLİ,FERİKÖY,28.978942501247396,41.04575704469997,151350560,"[<POLYGON ((28.981 41.042, 28.981 41.042, 28.981 41.043, 28.982 41.043, 28.98...>]"
Muhtar Bahtiyar Kaşlı Park,İSTANBUL,CEBEL TOPU,ŞİŞLİ,ERGENEKON,28.982515804989585,41.04575704469997,151350603,"[<POLYGON ((28.981 41.042, 28.981 41.042, 28.981 41.043, 28.982 41.043, 28.98...>]"
Kuvay-i Milliye İlköğretim Okulu Bahçesi (Bozkurt Cad. No: 140),İSTANBUL,KURTULUŞ,ŞİŞLİ,FERİKÖY,28.981324752522816,41.04665535587496,151350557,"[<POLYGON ((28.981 41.042, 28.981 41.042, 28.981 41.043, 28.982 41.043, 28.98...>]"
Kurtuluş Anadolu Lisesi Bahçesi( Bozkurt Cad.-Seymen Sok. Kesişen Köşe),İSTANBUL,KURTULUŞ,ŞİŞLİ,FERİKÖY,28.98132480130566,41.047553667049954,151350556,"[<POLYGON ((28.981 41.042, 28.981 41.042, 28.981 41.043, 28.982 41.043, 28.98...>]"
