tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Prof. Dr. Aykut Barka Parkı,İSTANBUL,ARNAVUTKÖY YOLU,BEŞİKTAŞ,KÜLTÜR,29.029468468689934,41.07708191117499,151346434,"[<POLYGON ((29.032 41.092, 29.032 41.091, 29.032 41.091, 29.032 41.091, 29.03...>]"
A. Yavuz Kocaömer Engelliler Parkı,İSTANBUL,ARNAVUTKÖY YOLU,BEŞİKTAŞ,KÜLTÜR,29.029468468689934,41.07708191117499,151346435,"[<POLYGON ((29.032 41.092, 29.032 41.091, 29.032 41.091, 29.032 41.091, 29.03...>]"
Sanatçılar Parkı,İSTANBUL,NİSBETİYE,BEŞİKTAŞ,AKAT,29.029468468689934,41.07708191117499,151346445,"[<POLYGON ((29.032 41.092, 29.032 41.091, 29.032 41.091, 29.032 41.091, 29.03...>]"
Türkan Saylan Parkı,İSTANBUL,ARNAVUTKÖY YOLU,BEŞİKTAŞ,KÜLTÜR,29.031851806069803,41.07708191117499,151346436,"[<POLYGON ((29.032 41.092, 29.032 41.091, 29.032 41.091, 29.032 41.091, 29.03...>]"
Alman Deresi Yürüyüş Parkuru,İSTANBUL,NİSBETİYE,BEŞİKTAŞ,AKAT,29.029468484975858,41.077980222349986,151346446,"[<POLYGON ((29.032 41.092, 29.032 41.091, 29.032 41.091, 29.032 41.091, 29.03...>]"
Etiler Çamlık Park,İSTANBUL,SELVİLER,BEŞİKTAŞ,ETİLER,29.03304353990343,41.077980222349986,151346425,"[<POLYGON ((29.032 41.092, 29.032 41.091, 29.032 41.091, 29.032 41.091, 29.03...>]"
Profesörler Sitesi Yanı Yeşil Alan,İSTANBUL,AYAZMA YOLU,BEŞİKTAŞ,ETİLER,29.034235306312603,41.07887853352498,151346426,"[<POLYGON ((29.032 41.092, 29.032 41.091, 29.032 41.091, 29.032 41.091, 29.03...>]"
Boğaziçi Üniversitesi Sahası,İSTANBUL,GÜLŞEN,BEŞİKTAŞ,ETİLER,29.041385693049143,41.07977684469997,151348830,"[<POLYGON ((29.032 41.092, 29.032 41.091, 29.032 41.091, 29.032 41.091, 29.03...>]"
Türkan Şoray Ortaokulu Bahçesi,İSTANBUL,ÖZDEN,SARIYER,RUMELİHİSARI,29.040194789979935,41.084268400574935,151348915,"[<POLYGON ((29.032 41.092, 29.032 41.091, 29.032 41.091, 29.032 41.091, 29.03...>]"
Özlem 1-2 Parkı,İSTANBUL,TEPECİK YOLU,BEŞİKTAŞ,AKAT,29.033044061159302,41.08516671174993,151346447,"[<POLYGON ((29.032 41.092, 29.032 41.091, 29.032 41.091, 29.032 41.091, 29.03...>]"
Geylani Sitesi Yanı Yeşil Alanı,İSTANBUL,TAŞLIÇAY,BEŞİKTAŞ,ETİLER,29.034235957911964,41.08606502292492,151346427,"[<POLYGON ((29.032 41.092, 29.032 41.091, 29.032 41.091, 29.032 41.091, 29.03...>]"
FSM Sezer Sokak Park Alanı,İSTANBUL,REÇİNE,SARIYER,FATİH SULTAN MEHMET,29.04138712663269,41.08696333409991,151348834,"[<POLYGON ((29.032 41.092, 29.032 41.091, 29.032 41.091, 29.032 41.091, 29.03...>]"
Dumlupınar İlkokulu Bahçesi,İSTANBUL,DEVRAN,SARIYER,FATİH SULTAN MEHMET,29.03661984918821,41.087861645274906,151348835,"[<POLYGON ((29.032 41.092, 29.032 41.091, 29.032 41.091, 29.032 41.091, 29.03...>]"
Aşık Veysel Parkı..,İSTANBUL,ZÜBEYDE HANIM,SARIYER,FATİH SULTAN MEHMET,29.035428180560288,41.08965826762489,151348831,"[<POLYGON ((29.032 41.092, 29.032 41.091, 29.032 41.091, 29.032 41.091, 29.03...>]"
Pir Sultan Abdal Cemevi Bahçesi,İSTANBUL,REÇİNE,SARIYER,FATİH SULTAN MEHMET,29.04138784361941,41.090556578799884,151348833,"[<POLYGON ((29.032 41.092, 29.032 41.091, 29.032 41.091, 29.032 41.091, 29.03...>]"
G-7 Parkı,İSTANBUL,ZÜBEYDE HANIM,SARIYER,FATİH SULTAN MEHMET,29.03304451741323,41.09145488997488,151348832,"[<POLYGON ((29.032 41.092, 29.032 41.091, 29.032 41.091, 29.032 41.091, 29.03...>]"
