tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Bölge Parkı 1,İSTANBUL,MEZARLIK YOLU,MALTEPE,BÜYÜKBAKKALKÖY,29.20570661776395,40.974329711174995,151348685,"[<POLYGON ((29.193 40.992, 29.193 40.992, 29.193 40.99, 29.193 40.99, 29.193 ...>]"
Selanik Parkı,İSTANBUL,MEZARLIK YOLU,MALTEPE,BÜYÜKBAKKALKÖY,29.20570661776395,40.974329711174995,151348684,"[<POLYGON ((29.193 40.992, 29.193 40.992, 29.193 40.99, 29.193 40.99, 29.193 ...>]"
İsmet Kuralkan İlkokulu-Ortaokulu Bahçesi,İSTANBUL,MEZARLIK YOLU,MALTEPE,BÜYÜKBAKKALKÖY,29.20570661776395,40.974329711174995,151348687,"[<POLYGON ((29.193 40.992, 29.193 40.992, 29.193 40.99, 29.193 40.99, 29.193 ...>]"
Mehmet Akif Ersoy Parkı,İSTANBUL,MEZARLIK YOLU,SANCAKTEPE,EYÜP SULTAN,29.206896428469765,40.974329711174995,151350532,"[<POLYGON ((29.193 40.992, 29.193 40.992, 29.193 40.99, 29.193 40.99, 29.193 ...>]"
Samandıra Kent Ormanı,İSTANBUL,PLEVNE,SANCAKTEPE,FATİH,29.206896428469765,40.974329711174995,151350487,"[<POLYGON ((29.193 40.992, 29.193 40.992, 29.193 40.99, 29.193 40.99, 29.193 ...>]"
Zeybek Parkı,İSTANBUL,SAMANDIRA,SANCAKTEPE,FATİH,29.20808623917558,40.974329711174995,151350485,"[<POLYGON ((29.193 40.992, 29.193 40.992, 29.193 40.99, 29.193 40.99, 29.193 ...>]"
Serdivan Piknik Alanı,İSTANBUL,FESHANE,SANCAKTEPE,FATİH,29.214035292704647,40.974329711174995,151350484,"[<POLYGON ((29.193 40.992, 29.193 40.992, 29.193 40.99, 29.193 40.99, 29.193 ...>]"
Sabedin Türker İlkokulu Bahçesi,İSTANBUL,FESHANE,SANCAKTEPE,FATİH,29.21522510341046,40.974329711174995,151350491,"[<POLYGON ((29.193 40.992, 29.193 40.992, 29.193 40.99, 29.193 40.99, 29.193 ...>]"
Halı Saha ve Çeşme Etrafı,İSTANBUL,BÜYÜKBAKKALKÖY,MALTEPE,BÜYÜKBAKKALKÖY,29.19975766144538,40.97522802234999,151348686,"[<POLYGON ((29.193 40.992, 29.193 40.992, 29.193 40.99, 29.193 40.99, 29.193 ...>]"
Meşeli Park,İSTANBUL,DURAK,SANCAKTEPE,FATİH,29.21998471887395,40.97522802234999,151350483,"[<POLYGON ((29.193 40.992, 29.193 40.992, 29.193 40.99, 29.193 40.99, 29.193 ...>]"
Kurban Kesim Alanı,İSTANBUL,BÜYÜKBAKKALKÖY,ATAŞEHİR,FERHATPAŞA,29.200947601770334,40.97612633352498,151345589,"[<POLYGON ((29.193 40.992, 29.193 40.992, 29.193 40.99, 29.193 40.99, 29.193 ...>]"
Karanfil Parkı,İSTANBUL,TUNA,SANCAKTEPE,AKPINAR,29.231883522631573,40.97612633352498,151350494,"[<POLYGON ((29.193 40.992, 29.193 40.992, 29.193 40.99, 29.193 40.99, 29.193 ...>]"
Akpınar Parkı,İSTANBUL,TUNA,SANCAKTEPE,AKPINAR,29.231883522631573,40.97612633352498,151350496,"[<POLYGON ((29.193 40.992, 29.193 40.992, 29.193 40.99, 29.193 40.99, 29.193 ...>]"
Selçuklu Bahçesi Parkı,İSTANBUL,SEKMEN,SANCAKTEPE,EYÜP SULTAN,29.231883522631573,40.97612633352498,151350535,"[<POLYGON ((29.193 40.992, 29.193 40.992, 29.193 40.99, 29.193 40.99, 29.193 ...>]"
Simyacı Çocuk Parkı,İSTANBUL,TUNA,SANCAKTEPE,AKPINAR,29.23307336574162,40.97612633352498,151350498,"[<POLYGON ((29.193 40.992, 29.193 40.992, 29.193 40.99, 29.193 40.99, 29.193 ...>]"
