tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Marmara Üniversitesi Bahçesi,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,EĞİTİM,29.05109884561096,40.98507541117499,151348114,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Kuyubaşı Parkı,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,FENERYOLU,29.05109884561096,40.98507541117499,151348093,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Feneryolu Muhtarlık Parkı,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,FENERYOLU,29.05109884561096,40.98507541117499,151348092,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Atatürk Fen Lisesi Bahçesi,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,EĞİTİM,29.052288850172054,40.98507541117499,151348113,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Mustafa Aykın İlkokulu Bahçesi,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,FENERYOLU,29.052288850172054,40.98507541117499,151348095,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
SSK Arkası Park,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,EĞİTİM,29.054668859294246,40.98507541117499,151348112,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Mehmet Bayazıd Anadolu Lisesi Bahçesi,İSTANBUL,HIZIRBEY,KADIKÖY,DUMLUPINAR,29.05585886385534,40.98507541117499,151348058,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Çınar Parkı,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,MERDİVENKÖY,29.057048868416437,40.98507541117499,151348153,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Dumlupınar Parkı,İSTANBUL,DR. ERKİN,KADIKÖY,MERDİVENKÖY,29.059429153117666,40.98597372234998,151348157,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Sanat Parkı,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,FENERYOLU,29.04514906597445,40.98777034469997,151348180,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Kemal Sunal Parkı,İSTANBUL,ŞEVKETBEY,KADIKÖY,EĞİTİM,29.04514906597445,40.98777034469997,151348111,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Melahat Şefizade İlkokulu Bahçesi,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,FENERYOLU,29.04514906597445,40.98777034469997,151348094,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Şehit Hakan Baylan Parkı,İSTANBUL,HAKKI MANÇO,KADIKÖY,EĞİTİM,29.04633911916934,40.98777034469997,151348110,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Dayanışma Parkı,İSTANBUL,HAKKI MANÇO,KADIKÖY,EĞİTİM,29.043959077630483,40.98866865587496,151348109,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
23 Nisan Parkı (İNTAŞ),İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,ZÜHTÜPAŞA,29.04038890183529,40.990465278224946,151348089,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Söğütlüçeşme Marmaray İstasyonu Fenerbahçe Stadı Tarafı Yeşil Alan ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,PAZAR YOLU,KADIKÖY,OSMANAĞA,29.04038890183529,40.990465278224946,151348181,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Söğütlüçeşme Marmaray İstasyonu Belediye Arası Yeşil Alan  ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ŞEHİT MUHİTTİN ALİNÇER,KADIKÖY,HASANPAŞA,29.040388934265895,40.99226190057493,151348032,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Gazhane,İSTANBUL,ŞEHİT MUHİTTİN ALİNÇER,KADIKÖY,HASANPAŞA,29.04157906853179,40.99226190057493,151348031,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Kadıköy İmam Hatip Ortaokulu Bahçesi,İSTANBUL,HIZIRBEY,KADIKÖY,HASANPAŞA,29.046339605595364,40.99226190057493,151348034,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
Yeni Salı Pazarı,İSTANBUL,UZUNÇAYIR,KADIKÖY,HASANPAŞA,29.047529739861258,40.99226190057493,151348030,"[<POLYGON ((29.044 40.988, 29.045 40.988, 29.045 40.987, 29.046 40.987, 29.04...>]"
