tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yedikule Zindanları Açık Alanı,İSTANBUL,KENNEDY,FATİH,YEDİKULE,28.920205966923362,40.98853101117499,151347752,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Yedikule Sur Parkı 2,İSTANBUL,KENNEDY,FATİH,YEDİKULE,28.920205966923362,40.98853101117499,151347790,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Türkiye Basketbol Federasyonu Otoparkı,İSTANBUL,KENNEDY,ZEYTİNBURNU,KAZLIÇEŞME,28.920205966923362,40.98853101117499,151349893,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Yedikule Sur Parkı 1,İSTANBUL,KENNEDY,FATİH,YEDİKULE,28.921396033846722,40.98853101117499,151347753,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Yedikule Ekipler Parkı,İSTANBUL,KENNEDY,FATİH,YEDİKULE,28.922586100770083,40.98853101117499,151347746,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Emre Belözoğlu Parkı,İSTANBUL,KENNEDY,FATİH,KOCA MUSTAFAPAŞA,28.928536824524993,40.99122594469997,151347699,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Gencosman İlkokulu Bahçesi,İSTANBUL,KENNEDY,FATİH,KOCA MUSTAFAPAŞA,28.929726940090617,40.99122594469997,151347697,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Hacıpiri Sk. Toplanma Alanı,İSTANBUL,HACI PİRİ,FATİH,YEDİKULE,28.921396260864523,40.99481918939994,151347747,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Yedikule Anadolu Lisesi Bahçesi,İSTANBUL,İMAM HÜSEYİN,FATİH,YEDİKULE,28.926156982593564,40.99481918939994,151347749,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Mehmet Akif Ortaokulu Bahçesi.,İSTANBUL,NARLIKAPI,FATİH,KOCA MUSTAFAPAŞA,28.93091786650754,40.99571750057493,151347698,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Fatih Belediyesi Marmara Semt Konağı Avlusu,İSTANBUL,KENNEDY,FATİH,KOCA MUSTAFAPAŞA,28.932108063158292,40.99571750057493,151347700,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Derbağ Hacı Piri Mehmet Efendi Camii Avlusu,İSTANBUL,HACI PİRİ,FATİH,YEDİKULE,28.921396325739966,40.996615811749926,151347748,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Yedikule Yüzme Havuzu Çevresi,İSTANBUL,SAMANCI ODALARI,FATİH,YEDİKULE,28.924966964349913,40.996615811749926,151347751,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Rekreasyon Alanı  ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,KENNEDY,FATİH,AKSARAY,28.94401037026963,40.996615811749926,151347781,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Hobyarlı Ahmet Paşa İlkokulu Bahçesi,İSTANBUL,KENNEDY,FATİH,AKSARAY,28.94401037026963,40.996615811749926,151347780,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Marmaray Yenikapı İstasyonu,İSTANBUL,KENNEDY,FATİH,AKSARAY,28.94401037026963,40.996615811749926,151347782,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Zigana Spor Tesisleri Açık Sahaları,İSTANBUL,HACI PİRİ,FATİH,YEDİKULE,28.921396358179894,40.99751412292492,151347754,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Gülistanbul Anaokulu Yanı Otopark,İSTANBUL,HACI KADIN,FATİH,SÜMBÜL EFENDİ,28.92972796180952,40.99751412292492,151347646,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Ese Kapı Mescidi Bahçesi,İSTANBUL,KENNEDY,FATİH,CERRAHPAŞA,28.941630252708983,40.99751412292492,151347717,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Davutpaşa Anadolu Lisesi Bahçesi,İSTANBUL,KENNEDY,FATİH,CERRAHPAŞA,28.941630252708983,40.99751412292492,151347716,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Cerrah Mehmetpaşa Camii Avlusu,İSTANBUL,KENNEDY,FATİH,AKSARAY,28.951152085428554,40.99751412292492,151347779,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Namık Sevik Stadı ve Yan Yeşil Alanlar,İSTANBUL,HİSARALTI 1.,FATİH,SÜMBÜL EFENDİ,28.920206145310647,40.99841243409991,151347643,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
75. Yıl Parkı,İSTANBUL,10. YIL,ZEYTİNBURNU,KAZLIÇEŞME,28.920206145310647,40.99841243409991,151349894,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Fevziye Küçükefendi Camii Avlusu,İSTANBUL,HACI KADIN,FATİH,SÜMBÜL EFENDİ,28.92496712655323,40.99841243409991,151347644,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Davutpaşa Camii Avlusu,İSTANBUL,KENNEDY,FATİH,CERRAHPAŞA,28.940440315591626,40.99841243409991,151347713,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Eminönü Nişancı Mehmetpaşa Camii Avlusu,İSTANBUL,KENNEDY,FATİH,NİŞANCA,28.952342768698085,40.99841243409991,151347778,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Tevfik Kut Ortaokulu Bahçesi,İSTANBUL,TÜRKELİ,FATİH,SARAÇ İSHAK,28.955913504630022,40.99841243409991,151347624,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Kadırga İlkokulu Bahçesi,İSTANBUL,KENNEDY,FATİH,ŞEHSUVAR BEY,28.960674485872605,40.99841243409991,151347674,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Duhaniye Sokak Otoparkı,İSTANBUL,HACI KADIN,FATİH,SÜMBÜL EFENDİ,28.927347730724566,40.999310745274904,151347647,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Keyci Hatun Parkı,İSTANBUL,KENNEDY,FATİH,CERRAHPAŞA,28.944011392173696,40.999310745274904,151347711,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
Aksaray Metro İstasyonu,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,İSKENDERPAŞA,28.95115296136618,40.999310745274904,151347689,"[<POLYGON ((28.977 41.017, 28.977 41.017, 28.977 41.017, 28.976 41.017, 28.97...>]"
