tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Nurettin Teksan Ortaokulu Bahçesi,İSTANBUL,ALARA,KADIKÖY,FENERBAHÇE,29.033806439278496,40.96650651117499,151348151,"[<POLYGON ((29.036 40.98, 29.037 40.98, 29.037 40.98, 29.038 40.979, 29.038 4...>]"
Behice Yazgan Parkı,İSTANBUL,ALARA,KADIKÖY,FENERBAHÇE,29.033806439278496,40.96650651117499,151348149,"[<POLYGON ((29.036 40.98, 29.037 40.98, 29.037 40.98, 29.038 40.979, 29.038 4...>]"
Kadıköy Anadolu Lisesi Bahçesi ve Boş Arazi,İSTANBUL,MODA SAHİL YOLU,KADIKÖY,CAFERAĞA,29.033806439278496,40.96650651117499,151348038,"[<POLYGON ((29.036 40.98, 29.037 40.98, 29.037 40.98, 29.038 40.979, 29.038 4...>]"
Feneryolu Halk Eğitim Merkezi Bahçesi,İSTANBUL,ATLIHAN,KADIKÖY,FENERBAHÇE,29.04094445711399,40.96650651117499,151348152,"[<POLYGON ((29.036 40.98, 29.037 40.98, 29.037 40.98, 29.038 40.979, 29.038 4...>]"
Çamlık (Ihlamur) Parkı,İSTANBUL,KURUKAHVECİ,KADIKÖY,FENERBAHÇE,29.046893647526257,40.97009975587496,151348150,"[<POLYGON ((29.036 40.98, 29.037 40.98, 29.037 40.98, 29.038 40.979, 29.038 4...>]"
50. Yıl Tahran Anadolu Lisesi Bahçesi,İSTANBUL,YOĞURTÇUBAŞI,KADIKÖY,CADDEBOSTAN,29.04927311637645,40.97009975587496,151348122,"[<POLYGON ((29.036 40.98, 29.037 40.98, 29.037 40.98, 29.038 40.979, 29.038 4...>]"
Göztepe Parkı.,İSTANBUL,18 MART,KADIKÖY,CADDEBOSTAN,29.050463109974284,40.970998067049955,151348121,"[<POLYGON ((29.036 40.98, 29.037 40.98, 29.037 40.98, 29.038 40.979, 29.038 4...>]"
Özgürlük Parkı,İSTANBUL,MUSTAFA MAZHARBEY,KADIKÖY,GÖZTEPE,29.04927384533276,40.97279468939994,151348098,"[<POLYGON ((29.036 40.98, 29.037 40.98, 29.037 40.98, 29.038 40.979, 29.038 4...>]"
Ali Haydar Ersoy Orta Okulu Bahçesi,İSTANBUL,BAĞDAT,KADIKÖY,GÖZTEPE,29.054032977421496,40.97279468939994,151348103,"[<POLYGON ((29.036 40.98, 29.037 40.98, 29.037 40.98, 29.038 40.979, 29.038 4...>]"
İlhami Ahmed Örnekal İlkokulu Bahçesi,İSTANBUL,BAĞDAT,KADIKÖY,GÖZTEPE,29.055223084453583,40.97369300057493,151348106,"[<POLYGON ((29.036 40.98, 29.037 40.98, 29.037 40.98, 29.038 40.979, 29.038 4...>]"
Demokrasi Parkı,İSTANBUL,BAĞDAT,KADIKÖY,GÖZTEPE,29.052843777630375,40.974591311749926,151348099,"[<POLYGON ((29.036 40.98, 29.037 40.98, 29.037 40.98, 29.038 40.979, 29.038 4...>]"
26 Mart Parkı,İSTANBUL,BAĞDAT,KADIKÖY,FENERYOLU,29.03856638141701,40.9781845564499,151348091,"[<POLYGON ((29.036 40.98, 29.037 40.98, 29.037 40.98, 29.038 40.979, 29.038 4...>]"
Melahat Şefizade İlkokulu Bahçesi,İSTANBUL,BAĞDAT,KADIKÖY,FENERYOLU,29.04213631382028,40.97998117879988,151348094,"[<POLYGON ((29.036 40.98, 29.037 40.98, 29.037 40.98, 29.038 40.979, 29.038 4...>]"
Aden Tenis Akademisi ve Yanı Basket Sahaları,İSTANBUL,BAĞDAT,KADIKÖY,FENERYOLU,29.043326226466977,40.97998117879988,151348096,"[<POLYGON ((29.036 40.98, 29.037 40.98, 29.037 40.98, 29.038 40.979, 29.038 4...>]"
Saint Joseph Fransız Lisesi Bahçesi,İSTANBUL,MODA SAHİL YOLU,KADIKÖY,CAFERAĞA,29.037376744265327,40.980879489974875,151348039,"[<POLYGON ((29.036 40.98, 29.037 40.98, 29.037 40.98, 29.038 40.979, 29.038 4...>]"
Sanat Parkı,İSTANBUL,BAĞDAT,KADIKÖY,FENERYOLU,29.039756715421156,40.98177780114987,151348180,"[<POLYGON ((29.036 40.98, 29.037 40.98, 29.037 40.98, 29.038 40.979, 29.038 4...>]"
