tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Feneryolu Halk Eğitim Merkezi Bahçesi,İSTANBUL,BAĞDAT,KADIKÖY,FENERBAHÇE,29.049787838743303,40.97677681117499,151348152,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
Çamlık (Ihlamur) Parkı,İSTANBUL,BAĞDAT,KADIKÖY,FENERBAHÇE,29.049787838743303,40.97677681117499,151348150,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
Özgürlük Parkı,İSTANBUL,MUSTAFA MAZHARBEY,KADIKÖY,GÖZTEPE,29.049787838743303,40.97677681117499,151348098,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
Aden Tenis Akademisi ve Yanı Basket Sahaları,İSTANBUL,GAZİ MUHTARPAŞA,KADIKÖY,FENERYOLU,29.047408226279973,40.977675122349986,151348096,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
26 Mart Parkı,İSTANBUL,SELÇUK SİNDAL,KADIKÖY,FENERYOLU,29.046218436255717,40.97857343352498,151348091,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
Teras Cafe Çevresi,İSTANBUL,FENERYOLU HATBOYU,KADIKÖY,FENERYOLU,29.04740832350686,40.97857343352498,151348097,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
Mustafa Aykın İlkokulu Bahçesi,İSTANBUL,EYÜPPAŞA,KADIKÖY,FENERYOLU,29.050977985260293,40.97857343352498,151348095,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
Demokrasi Parkı,İSTANBUL,MUSTAFA MAZHARBEY,KADIKÖY,GÖZTEPE,29.052167872511436,40.97857343352498,151348099,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
Behice Yazgan Parkı,İSTANBUL,BAĞDAT,KADIKÖY,FENERBAHÇE,29.042648839324624,40.980370055874964,151348149,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
Melahat Şefizade İlkokulu Bahçesi,İSTANBUL,BAĞDAT,KADIKÖY,FENERYOLU,29.042648839324624,40.980370055874964,151348094,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
Marmara Üniversitesi Bahçesi,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,EĞİTİM,29.054548230427958,40.98126836704996,151348114,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
Sanat Parkı,İSTANBUL,ESKİ KARAKOL,KADIKÖY,FENERYOLU,29.041458952076415,40.98216667822495,151348180,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
Feneryolu Muhtarlık Parkı,İSTANBUL,FAHİR AÇAN,KADIKÖY,FENERYOLU,29.04859866453491,40.98216667822495,151348092,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
Çınar Parkı,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,MERDİVENKÖY,29.056928329069823,40.98216667822495,151348153,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
Mehmet Bayazıd Anadolu Lisesi Bahçesi,İSTANBUL,DR. ERKİN,KADIKÖY,DUMLUPINAR,29.058118524268508,40.98306498939994,151348058,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
Kuyubaşı Parkı,İSTANBUL,GEDİKLİ,KADIKÖY,FENERYOLU,29.048598891454176,40.983963300574935,151348093,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
Kemal Sunal Parkı,İSTANBUL,FAHRETTİN KERİM GÖKAY,KADIKÖY,EĞİTİM,29.043839099373557,40.98665823409991,151348111,"[<POLYGON ((29.04 40.983, 29.041 40.983, 29.041 40.982, 29.042 40.981, 29.042...>]"
