tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ferahevler Fen İşleri Şantiye Alanı,İSTANBUL,BALABANDERE,SARIYER,FERAHEVLER,29.044814191681546,41.12280771117499,151348844,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Cahide Sonku Parkı,İSTANBUL,SARIYER,SARIYER,POLİGON,29.044814191681546,41.12280771117499,151440382,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Çelik Çıkmazı Parkı,İSTANBUL,BALABANDERE,SARIYER,FERAHEVLER,29.044814191681546,41.12280771117499,151348840,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Carrefour Otoparkı,İSTANBUL,BAHÇE NANESİ ÇIKMAZI,SARIYER,İSTİNYE,29.047199188908728,41.12280771117499,151348806,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Darüşşafaka Caddesi Parkı,İSTANBUL,SARIYER,SARIYER,DARÜŞŞAFAKA,29.042429259748538,41.123706022349985,151440373,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Mevlana Parkı,İSTANBUL,AVŞAR,SARIYER,FERAHEVLER,29.042429259748538,41.123706022349985,151348842,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Atilla İlhan Parkı,İSTANBUL,ÇELİK,SARIYER,YENİKÖY,29.04839183443421,41.123706022349985,151348788,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Mimar Sinan Parkı,İSTANBUL,ÇELİK,SARIYER,YENİKÖY,29.049584349371344,41.123706022349985,151348789,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Dedeman Parkı,İSTANBUL,FISTIK ÇAMI,SARIYER,FERAHEVLER,29.046006918829917,41.12460433352498,151348841,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Gazeteciler Sitesi Açelya Parkı,İSTANBUL,DARÜŞŞAFAKA,SARIYER,DARÜŞŞAFAKA,29.038851747586442,41.12550264469997,151348906,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Necip Fazıl Kısakürek Parkı,İSTANBUL,MERAL,SARIYER,FERAHEVLER,29.03885178023871,41.127299267049956,151348839,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Şehit Uğur Taşçı İlkokulu Bahçesi,İSTANBUL,GÜNGÖR,SARIYER,ÇAMLITEPE,29.03885178023871,41.127299267049956,151348971,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Şehit Öğretmenler Parkı,İSTANBUL,AVŞAR,SARIYER,FERAHEVLER,29.04362210119354,41.127299267049956,151348843,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Şehit Uğur Taşçı Park ve Çevresi,İSTANBUL,ERCİYES,SARIYER,FERAHEVLER,29.04242971689063,41.129994200574934,151440375,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Atsuhi Miyazaki Parkı,İSTANBUL,GİRNE LİMANI,SARIYER,FERAHEVLER,29.04362234611329,41.129994200574934,151348837,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
6 Nolu Acil Sağlık Hizmetleri İstasyonu,İSTANBUL,ADNAN KAHVECİ,SARIYER,YENİKÖY,29.049585492226576,41.129994200574934,151348795,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Nasreddin Hoca Parkı,İSTANBUL,GÜLVEREN,SARIYER,TARABYA,29.048393303919447,41.13268913409991,151348896,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Mustafa Yumak Parkı,İSTANBUL,ZEYTİN,SARIYER,FERAHEVLER,29.04004458908991,41.133587445274905,151348838,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Şenevler Parkı,İSTANBUL,MUHTAR,SARIYER,TARABYA,29.046008061814682,41.133587445274905,151348899,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Ferahevler Girişi Parkı,İSTANBUL,ÖNCELER,SARIYER,FERAHEVLER,29.040044621754767,41.1344857564499,151348836,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
Alparslan İlkokulu Bahçesi ve Ortaokulu Bahçesi Yanı Otoparkı,İSTANBUL,MUHABBET ÇIKMAZI,SARIYER,TARABYA,29.049586308773833,41.1344857564499,151348903,"[<POLYGON ((29.05 41.129, 29.05 41.13, 29.05 41.13, 29.05 41.13, 29.05 41.13,...>]"
