tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Aya Dimitri Rum Ortodoks Kilisesi Bahçesi,İSTANBUL,ERMEYDANI,ŞİŞLİ,FERİKÖY,28.977410967239614,41.045084811174995,151350562,"[<POLYGON ((28.979 41.053, 28.978 41.052, 28.979 41.052, 28.979 41.052, 28.97...>]"
İETT Kurtuluş Son Durak,İSTANBUL,ERMEYDANI,ŞİŞLİ,FERİKÖY,28.977410967239614,41.045084811174995,151350555,"[<POLYGON ((28.979 41.053, 28.978 41.052, 28.979 41.052, 28.979 41.052, 28.97...>]"
Feriköy Mh. Carrefoursa Market Arkası Açık Otopark,İSTANBUL,ERMEYDANI,ŞİŞLİ,FERİKÖY,28.977410967239614,41.045084811174995,151350560,"[<POLYGON ((28.979 41.053, 28.978 41.052, 28.979 41.052, 28.979 41.052, 28.97...>]"
Hacı Ahmet Parkı,İSTANBUL,ATEŞ BÖCEĞİ,BEYOĞLU,HACIAHMET ,28.97502880533953,41.04598312234999,151346854,"[<POLYGON ((28.979 41.053, 28.978 41.052, 28.979 41.052, 28.979 41.052, 28.97...>]"
Özden Sokak Otoparkı,İSTANBUL,BAYIR,ŞİŞLİ,YAYLA,28.97741106479977,41.04688143352498,151350611,"[<POLYGON ((28.979 41.053, 28.978 41.052, 28.979 41.052, 28.979 41.052, 28.97...>]"
Kuvay-i Milliye İlköğretim Okulu Bahçesi (Bozkurt Cad. No: 140),İSTANBUL,ŞEHİT ERDEM CANBAŞ,ŞİŞLİ,FERİKÖY,28.978602251444226,41.04777974469997,151350557,"[<POLYGON ((28.979 41.053, 28.978 41.052, 28.979 41.052, 28.979 41.052, 28.97...>]"
Kurtuluş Anadolu Lisesi Bahçesi( Bozkurt Cad.-Seymen Sok. Kesişen Köşe),İSTANBUL,BOZKURT,ŞİŞLİ,FERİKÖY,28.979793389305282,41.04777974469997,151350556,"[<POLYGON ((28.979 41.053, 28.978 41.052, 28.979 41.052, 28.979 41.052, 28.97...>]"
Gediz Sokak Parkı,İSTANBUL,KUYULUBAĞ,ŞİŞLİ,FERİKÖY,28.9786023164917,41.048678055874966,151350553,"[<POLYGON ((28.979 41.053, 28.978 41.052, 28.979 41.052, 28.979 41.052, 28.97...>]"
Şehit Nuri Şeker Ortaokulu Bahçesi,İSTANBUL,ŞAHİN,ŞİŞLİ,FERİKÖY,28.979793470614624,41.048678055874966,151350559,"[<POLYGON ((28.979 41.053, 28.978 41.052, 28.979 41.052, 28.979 41.052, 28.97...>]"
Seymen Sokak Parkı,İSTANBUL,KURTULUŞ,ŞİŞLİ,FERİKÖY,28.980984624737548,41.048678055874966,151350554,"[<POLYGON ((28.979 41.053, 28.978 41.052, 28.979 41.052, 28.979 41.052, 28.97...>]"
Eczacı Sokak Sonu Çocuk Parkı,İSTANBUL,DUYGU ÇIKMAZI,ŞİŞLİ,FERİKÖY,28.977411211156586,41.04957636704996,151350658,"[<POLYGON ((28.979 41.053, 28.978 41.052, 28.979 41.052, 28.979 41.052, 28.97...>]"
Taksim Spor Kulübü Sahası (Seymen Sok Sonu),İSTANBUL,ÇOBANOĞLU,ŞİŞLİ,FERİKÖY,28.978602381542114,41.04957636704996,151350561,"[<POLYGON ((28.979 41.053, 28.978 41.052, 28.979 41.052, 28.979 41.052, 28.97...>]"
Kent Park (Eski İSKİ Bahçesi),İSTANBUL,LALA ŞAHİN,ŞİŞLİ,YAYLA,28.978602446595485,41.05047467822495,151350612,"[<POLYGON ((28.979 41.053, 28.978 41.052, 28.979 41.052, 28.979 41.052, 28.97...>]"
Mahmut Şevket Paşa Ortaokulu Bahçesi,İSTANBUL,ÇOBANOĞLU,ŞİŞLİ,FERİKÖY,28.979793714564764,41.051372989399944,151350558,"[<POLYGON ((28.979 41.053, 28.978 41.052, 28.979 41.052, 28.979 41.052, 28.97...>]"
Feriköy Stadı,İSTANBUL,BARUTHANE,ŞİŞLİ,DUATEPE,28.97979379588885,41.05227130057494,151350652,"[<POLYGON ((28.979 41.053, 28.978 41.052, 28.979 41.052, 28.979 41.052, 28.97...>]"
