tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Prof. Dr. Mümtaz Turhan Sosyal Bilimler Lisesi Bahçesi,İSTANBUL,DUMLUPINAR,BAHÇELİEVLER,FEVZİ ÇAKMAK,28.83037195126035,40.993203311174994,151346093,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
Bahçelievler Stadyumu,İSTANBUL,DUMLUPINAR,BAHÇELİEVLER,FEVZİ ÇAKMAK,28.83037195126035,40.993203311174994,151346089,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
Sağlıklı Yaşam Parkı (Kuleli Parkı),İSTANBUL,DUMLUPINAR,BAHÇELİEVLER,FEVZİ ÇAKMAK,28.83037195126035,40.993203311174994,151346087,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
Kuleli İlkokulu-Ortaokulu Bahçesi,İSTANBUL,DUMLUPINAR,BAHÇELİEVLER,FEVZİ ÇAKMAK,28.833942405041398,40.993203311174994,151346092,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
Kudret Saraçoğlu İmam Hatip Ortaokulu Bahçesi,İSTANBUL,FATİH,BAHÇELİEVLER,ÇOBANÇEŞME,28.83156229714882,40.99859317822495,151346140,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
İHKİB Yenibosna Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,FATİH,BAHÇELİEVLER,ÇOBANÇEŞME,28.83156229714882,40.99859317822495,151346144,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
Şehit Muhammed Ali Kalo Ortaokulu Bahçesi ,İSTANBUL,YILDIRIM BEYAZIT,BAHÇELİEVLER,ZAFER,28.83394279429764,40.99859317822495,151346157,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
Şehit İbrahim Koparır Parkı,İSTANBUL,GÖKNAR,BAHÇELİEVLER,FEVZİ ÇAKMAK,28.831562329591982,40.999491489399944,151346088,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
Necip Fazıl Kısakürek Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,YILDIRIM BEYAZIT,BAHÇELİEVLER,ZAFER,28.833942859183963,40.999491489399944,151346155,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
Yıldırım Beyazıt Parkı,İSTANBUL,YILDIRIM BEYAZIT,BAHÇELİEVLER,ZAFER,28.833942859183963,40.999491489399944,151346147,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
Çobançeşme Şehit Sedat Mekan Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,FATİH,BAHÇELİEVLER,ÇOBANÇEŞME,28.83037209724136,41.00128811174993,151346142,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
Akın Anaokulu Bahçesi,İSTANBUL,FATİH,BAHÇELİEVLER,ÇOBANÇEŞME,28.830372113465145,41.00218642292492,151346138,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
Serdar Sokak Parkı,İSTANBUL,YILDIRIM BEYAZIT,BAHÇELİEVLER,ZAFER,28.83156242693029,41.00218642292492,151346150,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
Şehitler İlkokulu Bahçesi.,İSTANBUL,YILDIRIM BEYAZIT,BAHÇELİEVLER,ZAFER,28.83394305386058,41.00218642292492,151439542,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
Behriye Dr. Nevhiz Işıl İlkokulu Bahçesi,İSTANBUL,FATİH,BAHÇELİEVLER,ÇOBANÇEŞME,28.83156252428183,41.0048813564499,151346139,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
Erguvan İlkokulu Bahçesi,İSTANBUL,YILDIRIM BEYAZIT,BAHÇELİEVLER,ZAFER,28.832752886422742,41.0048813564499,151439543,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
Nezih Alkış Parkı,İSTANBUL,FATİH,BAHÇELİEVLER,YENİBOSNA MERKEZ,28.83156255673528,41.00577966762489,151346101,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
Halit Ziya Uşaklıgil İlkokulu Bahçesi,İSTANBUL,YILDIRIM BEYAZIT,BAHÇELİEVLER,ZAFER,28.83156262164659,41.00757628997488,151439356,"[<POLYGON ((28.829 40.993, 28.836 40.992, 28.836 40.993, 28.835 40.994, 28.83...>]"
