tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Marmara Üniversitesi Bahçesi,İSTANBUL,HIZIRBEY,KADIKÖY,EĞİTİM,29.055420755003695,40.99011431117499,151348114,"[<POLYGON ((29.055 40.998, 29.055 40.998, 29.054 40.998, 29.054 40.998, 29.05...>]"
Atatürk Fen Lisesi Bahçesi,İSTANBUL,HIZIRBEY,KADIKÖY,EĞİTİM,29.055420755003695,40.99011431117499,151348113,"[<POLYGON ((29.055 40.998, 29.055 40.998, 29.054 40.998, 29.054 40.998, 29.05...>]"
SSK Arkası Park,İSTANBUL,HIZIRBEY,KADIKÖY,EĞİTİM,29.055420755003695,40.99011431117499,151348112,"[<POLYGON ((29.055 40.998, 29.055 40.998, 29.054 40.998, 29.054 40.998, 29.05...>]"
Fikirtepe Tepe Camii Avlusu ve Önü,İSTANBUL,HIZIRBEY,KADIKÖY,FİKİRTEPE,29.05304069372012,40.991012622349984,151348090,"[<POLYGON ((29.055 40.998, 29.055 40.998, 29.054 40.998, 29.054 40.998, 29.05...>]"
Şehit Hakan Baylan Parkı,İSTANBUL,HIZIRBEY,KADIKÖY,EĞİTİM,29.050660567582398,40.99191093352498,151348110,"[<POLYGON ((29.055 40.998, 29.055 40.998, 29.054 40.998, 29.054 40.998, 29.05...>]"
Kadıköy İmam Hatip Ortaokulu Bahçesi,İSTANBUL,UZUNÇAYIR,KADIKÖY,HASANPAŞA,29.047090232439547,40.99280924469997,151348034,"[<POLYGON ((29.055 40.998, 29.055 40.998, 29.054 40.998, 29.054 40.998, 29.05...>]"
Yeni Salı Pazarı,İSTANBUL,UZUNÇAYIR,KADIKÖY,HASANPAŞA,29.047090232439547,40.99280924469997,151348030,"[<POLYGON ((29.055 40.998, 29.055 40.998, 29.054 40.998, 29.054 40.998, 29.05...>]"
Gazhane,İSTANBUL,UZUNÇAYIR,KADIKÖY,HASANPAŞA,29.045900120726735,40.99370755587496,151348031,"[<POLYGON ((29.055 40.998, 29.055 40.998, 29.054 40.998, 29.054 40.998, 29.05...>]"
Dayanışma Parkı,İSTANBUL,HIZIRBEY,KADIKÖY,EĞİTİM,29.04470997658095,40.994605867049955,151348109,"[<POLYGON ((29.055 40.998, 29.055 40.998, 29.054 40.998, 29.054 40.998, 29.05...>]"
Kadıköy Anadolu İmam Hatip Lisesi,İSTANBUL,MANDIRA,KADIKÖY,HASANPAŞA,29.049470682904758,40.994605867049955,151489248,"[<POLYGON ((29.055 40.998, 29.055 40.998, 29.054 40.998, 29.054 40.998, 29.05...>]"
Ahmet Sani Gezici Çok Programlı Anadolu Lisesi Bahçesi,İSTANBUL,ÖZEN,KADIKÖY,DUMLUPINAR,29.054231389228566,40.994605867049955,151348057,"[<POLYGON ((29.055 40.998, 29.055 40.998, 29.054 40.998, 29.054 40.998, 29.05...>]"
