tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Mimar Sinan Parkı,İSTANBUL,AK ZAMBAK,ATAŞEHİR,BARBAROS,29.112992653887687,40.99685001117499,151345565,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
Cumhuriyet Meydanı,İSTANBUL,AK ZAMBAK,ATAŞEHİR,BARBAROS,29.112992653887687,40.99685001117499,151345574,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
Ataşehir Spor Tesisi,İSTANBUL,AK ZAMBAK,ATAŞEHİR,BARBAROS,29.112992653887687,40.99685001117499,151345572,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
Ataşehir Bulvarı (33781 Parsel Önü),İSTANBUL,ATAŞEHİR,ATAŞEHİR,ATATÜRK,29.11418287098632,40.99685001117499,151345632,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
Nezahat Gökyiğit Botanik Bahçe,İSTANBUL,ŞENOL GÜNEŞ,ÜMRANİYE,ÇAMLIK,29.11537308808495,40.99685001117499,151349621,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
İSKİ İsale Hattı,İSTANBUL,AK ZAMBAK,ATAŞEHİR,BARBAROS,29.110612333231515,40.997748322349985,151345573,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
15 Temmuz Şehitler ve Demokrasi Parkı 3.,İSTANBUL,IHLAMUR,ATAŞEHİR,BARBAROS,29.109422197238075,40.99864663352498,151345570,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
15 Temmuz Şehitler ve Demokrasi Parkı 2.,İSTANBUL,AK ZAMBAK,ATAŞEHİR,BARBAROS,29.10823202880653,40.99954494469997,151345567,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
Zengin Parkı,İSTANBUL,ŞENOL GÜNEŞ,ÜMRANİYE,ÇAMLIK,29.117754154896975,40.99954494469997,151349622,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
15 Temmuz Şehitler ve Demokrasi Parkı 1.,İSTANBUL,AK ZAMBAK,ATAŞEHİR,BARBAROS,29.10704182793466,41.00044325587496,151345566,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
Bilge Soyak Ortaokul Bahçesi,İSTANBUL,ŞENOL GÜNEŞ,ÜMRANİYE,SİTE,29.111802955869315,41.00044325587496,151349745,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
Kahraman Parkı,İSTANBUL,ŞENOL GÜNEŞ,ÜMRANİYE,ÇAMLIK,29.117754365787636,41.00044325587496,151349617,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
Ümraniye Cumhuriyet Mesleki Ve Teknik Anadolu Lisesi,İSTANBUL,AKDENİZ,ÜMRANİYE,YENİŞEHİR,29.107041892827034,41.001341567049955,151349825,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
Refiye Soyak Cami Bahçesi,İSTANBUL,ŞENOL GÜNEŞ,ÜMRANİYE,SİTE,29.112993383860825,41.001341567049955,151349747,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
Şelale Parkı,İSTANBUL,CEVAHİR,ÜMRANİYE,SİTE,29.1165642784811,41.001341567049955,151349743,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
Soyak Bilfen Anaokulu Bahçesi,İSTANBUL,CEVAHİR,ÜMRANİYE,SİTE,29.114183844305877,41.00223987822495,151349746,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
Şair Zihni Parkı,İSTANBUL,ŞENOL GÜNEŞ,ÜMRANİYE,ÇAMLIK,29.11775478759764,41.00223987822495,151349618,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
Küçük Parkı,İSTANBUL,3004.,ÜMRANİYE,YENİŞEHİR,29.103471030655154,41.00313818939994,151349826,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
23 Nisan Parkı,İSTANBUL,23 NİSAN,ÜMRANİYE,ARMAĞANEVLER,29.11180334524122,41.00313818939994,151349844,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
Şehitlik Parkı,İSTANBUL,3148.,ÜMRANİYE,ATAKENT,29.10347106310649,41.004934811749926,151349645,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
Yahya Çavuş Parkı,İSTANBUL,23 NİSAN,ÜMRANİYE,ARMAĞANEVLER,29.109423073364553,41.00673143409991,151349845,"[<POLYGON ((29.116 40.996, 29.117 40.997, 29.117 40.997, 29.118 40.998, 29.11...>]"
