tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Şehit Kom. Onb. Hakan Kuyucu Parkı,İSTANBUL,NECİP FAZIL KISAKÜREK,AVCILAR,ÜNİVERSİTE,28.71459875416583,40.99794911117499,151345723,"[<POLYGON ((28.7 41.059, 28.7 41.059, 28.7 41.058, 28.701 41.057, 28.702 41.0...>]"
Mustafa Kemal Paşa Ortaokulu Bahçesi,İSTANBUL,NECİP FAZIL KISAKÜREK,AVCILAR,ÜNİVERSİTE,28.71459875416583,40.99794911117499,151345722,"[<POLYGON ((28.7 41.059, 28.7 41.059, 28.7 41.058, 28.701 41.057, 28.702 41.0...>]"
Avcılar Atatürk Kız Yurdu Bahçesi,İSTANBUL,NECİP FAZIL KISAKÜREK,AVCILAR,ÜNİVERSİTE,28.71459875416583,40.99794911117499,151345721,"[<POLYGON ((28.7 41.059, 28.7 41.059, 28.7 41.058, 28.701 41.057, 28.702 41.0...>]"
İstanbul Üniversitesi Ana Toplanma Alanı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,SARIGÜL,AVCILAR,ÜNİVERSİTE,28.722930412776552,40.99794911117499,151345727,"[<POLYGON ((28.7 41.059, 28.7 41.059, 28.7 41.058, 28.701 41.057, 28.702 41.0...>]"
Pelican AVM Arka Otopark Alanı,İSTANBUL,SARIGÜL,AVCILAR,ÜNİVERSİTE,28.722930412776552,40.99794911117499,151345726,"[<POLYGON ((28.7 41.059, 28.7 41.059, 28.7 41.058, 28.701 41.057, 28.702 41.0...>]"
Allure Tower Arkası,İSTANBUL,SARIGÜL,AVCILAR,ÜNİVERSİTE,28.722930412776552,40.99794911117499,151345725,"[<POLYGON ((28.7 41.059, 28.7 41.059, 28.7 41.058, 28.701 41.057, 28.702 41.0...>]"
Borusan Oto Zehra-Nurhan Kocabıyık Ortaokulu Bahçesi,İSTANBUL,SARIGÜL,AVCILAR,ÜNİVERSİTE,28.727691360554108,40.99794911117499,151345728,"[<POLYGON ((28.7 41.059, 28.7 41.059, 28.7 41.058, 28.701 41.057, 28.702 41.0...>]"
Avcılar Müftülüğü Bahçesi,İSTANBUL,E-5 YANYOL (LONDRA ASFALTI),AVCILAR,MERKEZ,28.730071834442885,40.99794911117499,151345715,"[<POLYGON ((28.7 41.059, 28.7 41.059, 28.7 41.058, 28.701 41.057, 28.702 41.0...>]"
Gümüşpala Kapalı Semt Pazarı ve Boş Alan,İSTANBUL,İSKECE,AVCILAR,GÜMÜŞPALA,28.731262071387274,40.99794911117499,151345781,"[<POLYGON ((28.7 41.059, 28.7 41.059, 28.7 41.058, 28.701 41.057, 28.702 41.0...>]"
Vali Rıdvan Yenişen İlkokulu Bahçesi,İSTANBUL,MAREŞAL,AVCILAR,MUSTAFA KEMALPAŞA,28.713408744316208,40.99884742234998,151345780,"[<POLYGON ((28.7 41.059, 28.7 41.059, 28.7 41.058, 28.701 41.057, 28.702 41.0...>]"
