tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Fındıklı Kavşak Adası,İSTANBUL,ERDEM,MALTEPE,FINDIKLI,29.12037102620097,40.96409691117499,151348781,"[<POLYGON ((29.119 40.965, 29.119 40.965, 29.12 40.965, 29.12 40.964, 29.12 4...>]"
Pirsultan Parkı,İSTANBUL,AKARSU,ATAŞEHİR,İÇERENKÖY,29.12037102620097,40.96409691117499,151345616,"[<POLYGON ((29.119 40.965, 29.119 40.965, 29.12 40.965, 29.12 40.964, 29.12 4...>]"
Fındıklı Muhtarlık Yanı Boş Arazi-Belediye Hizmet Alanı,İSTANBUL,ERDEM,MALTEPE,FINDIKLI,29.12037102620097,40.96409691117499,151348680,"[<POLYGON ((29.119 40.965, 29.119 40.965, 29.12 40.965, 29.12 40.964, 29.12 4...>]"
Fındıklı İmam Hatip Ortaokulu Bahçesi,İSTANBUL,CANDOSTUM,MALTEPE,BAŞIBÜYÜK,29.121560652401943,40.96409691117499,151348674,"[<POLYGON ((29.119 40.965, 29.119 40.965, 29.12 40.965, 29.12 40.964, 29.12 4...>]"
Petrol Sokak Parkı,İSTANBUL,ÇAMOBA,MALTEPE,FINDIKLI,29.129888618810554,40.96769015587496,151348679,"[<POLYGON ((29.119 40.965, 29.119 40.965, 29.12 40.965, 29.12 40.964, 29.12 4...>]"
Ekrem Bakırhan Parkı,İSTANBUL,ÇAMAŞIRCI DERESİ,ATAŞEHİR,İNÖNÜ,29.131078471752783,40.968588467049955,151345586,"[<POLYGON ((29.119 40.965, 29.119 40.965, 29.12 40.965, 29.12 40.964, 29.12 4...>]"
Galibi Vakfı Bahçesi,İSTANBUL,ZÜMRÜTLÜ,MALTEPE,FINDIKLI,29.13226817892806,40.968588467049955,151348681,"[<POLYGON ((29.119 40.965, 29.119 40.965, 29.12 40.965, 29.12 40.964, 29.12 4...>]"
Penguen Sokak Parkı,İSTANBUL,ZÜMRÜTLÜ,MALTEPE,FINDIKLI,29.13226817892806,40.968588467049955,151348682,"[<POLYGON ((29.119 40.965, 29.119 40.965, 29.12 40.965, 29.12 40.964, 29.12 4...>]"
Başıbüyük Yolu Piknik Alanı,İSTANBUL,BAŞIBÜYÜK YOLU,MALTEPE,BAŞIBÜYÜK,29.13464759327862,40.968588467049955,151348665,"[<POLYGON ((29.119 40.965, 29.119 40.965, 29.12 40.965, 29.12 40.964, 29.12 4...>]"
Gold Country Spor Tesisi,İSTANBUL,BAŞIBÜYÜK YOLU,MALTEPE,BAŞIBÜYÜK,29.139406421979732,40.968588467049955,151348666,"[<POLYGON ((29.119 40.965, 29.119 40.965, 29.12 40.965, 29.12 40.964, 29.12 4...>]"
Şehit Gökhan Soylu İlkokulu Bahçesi,İSTANBUL,BAŞIBÜYÜK YOLU,MALTEPE,FINDIKLI,29.14178583633029,40.968588467049955,151348683,"[<POLYGON ((29.119 40.965, 29.119 40.965, 29.12 40.965, 29.12 40.964, 29.12 4...>]"
Şehit Öğretmen Mehmet Fidan Ortaokulu Bahçesi,İSTANBUL,ÇAMAŞIRCI DERESİ,ATAŞEHİR,İNÖNÜ,29.132268357095757,40.96948677822495,151345587,"[<POLYGON ((29.119 40.965, 29.119 40.965, 29.12 40.965, 29.12 40.964, 29.12 4...>]"
Senem Sokak Parkı,İSTANBUL,HANCIOĞLU,MALTEPE,FINDIKLI,29.138216973957466,40.96948677822495,151348784,"[<POLYGON ((29.119 40.965, 29.119 40.965, 29.12 40.965, 29.12 40.964, 29.12 4...>]"
Sevgi Çiçeği Parkı.,İSTANBUL,ÜNİVERSİTE,ATAŞEHİR,İNÖNÜ,29.1453560269106,40.97128340057493,151345585,"[<POLYGON ((29.119 40.965, 29.119 40.965, 29.12 40.965, 29.12 40.964, 29.12 4...>]"
