tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ozanlar Parkı,İSTANBUL,KIBRIS,SULTANGAZİ,YUNUS EMRE,28.890729820460294,41.10198591117499,151349459,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
 Huzur Parkı (1389.Sokak),İSTANBUL,KIBRIS,SULTANGAZİ,YUNUS EMRE,28.890729820460294,41.10198591117499,151349458,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
1411. Sokak Eski Pazar Alanı,İSTANBUL,KIBRIS,SULTANGAZİ,GAZİ,28.890729820460294,41.10198591117499,151349473,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
1381.Sokak Parkı Toplanma Alanı,İSTANBUL,1422/1.,SULTANGAZİ,GAZİ,28.893114061380878,41.10198591117499,151349472,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
Hilal Parkı (1384/1 SK.),İSTANBUL,KIBRIS,SULTANGAZİ,YUNUS EMRE,28.89430618184117,41.10198591117499,151349456,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
Uzm.Dr. Mesut Can İlkin Parkı,İSTANBUL,1380.,SULTANGAZİ,GAZİ,28.895498302301462,41.10198591117499,151349474,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
1386/1 Sokak Parkı Toplanma Alanı,İSTANBUL,KIBRIS,SULTANGAZİ,YUNUS EMRE,28.896690422761754,41.10198591117499,151349460,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
Şair Cahit Zarifoğlu Parkı,İSTANBUL,KIBRIS,SULTANGAZİ,YUNUS EMRE,28.897882543222046,41.10198591117499,151349455,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
Şehit Savaş Koyun Parkı,İSTANBUL,OKUL,SULTANGAZİ,75. YIL,28.899074663682338,41.10198591117499,151349470,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
1349.Sokak Parkı Toplanma Alanı,İSTANBUL,1343.,SULTANGAZİ,GAZİ,28.899074663682338,41.10198591117499,151349475,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
Şair Abay Konanbay Anadolu Lisesi Bahçesi,İSTANBUL,İSMETPAŞA,SULTANGAZİ,YUNUS EMRE,28.901458904602922,41.10198591117499,151349453,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
Zübeyde Hanım Parkı,İSTANBUL,1351.,SULTANGAZİ,ZÜBEYDE HANIM,28.902651025063214,41.10198591117499,151349401,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
Şehit Piyade Er Zafer Oktay Parkı,İSTANBUL,1422/1.,SULTANGAZİ,GAZİ,28.893114110300072,41.102884222349985,151349476,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
Ozan Kıvırcık Ali Parkı (Gazi Muhtarlığı Önü),İSTANBUL,İSMETPAŞA,SULTANGAZİ,GAZİ,28.897882657366832,41.102884222349985,151349477,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
Mahir Koç Parkı,İSTANBUL,ŞEHİT SAVAŞ KOYUN,SULTANGAZİ,GAZİ,28.901459067666902,41.102884222349985,151349478,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
Gazipaşa Parkı,İSTANBUL,1414/1.,SULTANGAZİ,GAZİ,28.890729853073832,41.10378253352498,151349479,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
1421. Sokak Parkı,İSTANBUL,1415.,SULTANGAZİ,GAZİ,28.893114208145132,41.10468084469997,151349480,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
1365.Sokak Park Toplanma Alanı,İSTANBUL,1416.,SULTANGAZİ,GAZİ,28.896690716290262,41.10468084469997,151349471,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
Sultangazi Hacı Bektaşı Veli Kent Ormanı,İSTANBUL,1351.,SULTANGAZİ,ZÜBEYDE HANIM,28.9038439282839,41.10557915587496,151349485,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
S.Gazi Mimar Sinan Kent Ormanı,İSTANBUL,1452.,SULTANGAZİ,ZÜBEYDE HANIM,28.90026781158553,41.10827408939994,151349487,"[<POLYGON ((28.899 41.112, 28.899 41.112, 28.899 41.112, 28.899 41.112, 28.89...>]"
