tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Terzi / Rezene Sokak Çocuk Parkı,İSTANBUL,1 KASIM,SİLİVRİ,KAVAKLI İSTİKLAL,28.310629008933116,41.09981811117499,151349139,"[<POLYGON ((28.286 41.138, 28.286 41.138, 28.286 41.137, 28.285 41.137, 28.28...>]"
Gülbahçe Sokak Çocuk Parkı,İSTANBUL,İSTİKLAL,SİLİVRİ,KAVAKLI HÜRRİYET,28.310629008933116,41.09981811117499,151349178,"[<POLYGON ((28.286 41.138, 28.286 41.138, 28.286 41.137, 28.285 41.137, 28.28...>]"
Buğrahan Sokak Çocuk Parkı.,İSTANBUL,İSTİKLAL,SİLİVRİ,KAVAKLI HÜRRİYET,28.310629008933116,41.09981811117499,151440418,"[<POLYGON ((28.286 41.138, 28.286 41.138, 28.286 41.137, 28.285 41.137, 28.28...>]"
Gümüşler Sokak Çocuk Parkı Ve Spor Sahası,İSTANBUL,CEMİL,SİLİVRİ,GAZİTEPE ,28.308246020693115,41.10251304469997,151349092,"[<POLYGON ((28.286 41.138, 28.286 41.138, 28.286 41.137, 28.285 41.137, 28.28...>]"
Harmanlık Mevki Çocuk Parkı,İSTANBUL,GÜNEŞTEPE ÇIKMAZI,SİLİVRİ,YENİ ,28.29036480413397,41.10700460057493,151349168,"[<POLYGON ((28.286 41.138, 28.286 41.138, 28.286 41.137, 28.285 41.137, 28.28...>]"
Cumhuriyet Parkı,İSTANBUL,GÜNEŞTEPE ÇIKMAZI,SİLİVRİ,YENİ ,28.29036480413397,41.10700460057493,151349164,"[<POLYGON ((28.286 41.138, 28.286 41.138, 28.286 41.137, 28.285 41.137, 28.28...>]"
Müjdat Gürsu Spor Sahası ve  Parkı 2,İSTANBUL,GÜNEŞTEPE ÇIKMAZI,SİLİVRİ,YENİ ,28.29036480413397,41.10700460057493,151440445,"[<POLYGON ((28.286 41.138, 28.286 41.138, 28.286 41.137, 28.285 41.137, 28.28...>]"
Semerci / Aksa Sokak ÇocukParkı,İSTANBUL,SİLİVRİ GAZİTEPE,SİLİVRİ,YENİ ,28.29155701570441,41.10700460057493,151349167,"[<POLYGON ((28.286 41.138, 28.286 41.138, 28.286 41.137, 28.285 41.137, 28.28...>]"
Gazi Sokak Futbol Sahası,İSTANBUL,VELİBEY,SİLİVRİ,YENİ ,28.297518562883592,41.10880122292492,151349166,"[<POLYGON ((28.286 41.138, 28.286 41.138, 28.286 41.137, 28.285 41.137, 28.28...>]"
Bağlar Caddesi Çocuk Parkı,İSTANBUL,KADIKÖY,SİLİVRİ,KADIKÖY,28.340450171608207,41.12047926819982,151349093,"[<POLYGON ((28.286 41.138, 28.286 41.138, 28.286 41.137, 28.285 41.137, 28.28...>]"
Mustafa Kemal Caddesi Parkı,İSTANBUL,AKÖREN,SİLİVRİ,FENER,28.282020237089785,41.13215731347473,151349075,"[<POLYGON ((28.286 41.138, 28.286 41.138, 28.286 41.137, 28.285 41.137, 28.28...>]"
Sağlık Caddesi Çocuk Parkı,İSTANBUL,KARASİNAN,SİLİVRİ,AKÖREN,28.324965616471697,41.14563198109962,151349124,"[<POLYGON ((28.286 41.138, 28.286 41.138, 28.286 41.137, 28.285 41.137, 28.28...>]"
