tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
YTÜ Yeni Açılan Metro Girişi Spor Tesisleri ve Yeşil Alanlar,İSTANBUL,ŞEHİT ORGENERAL EŞREF BİTLİS,GÜNGÖREN,GENÇOSMAN,28.88551028602213,41.02351241117499,151348010,"[<POLYGON ((28.885 41.034, 28.885 41.034, 28.883 41.034, 28.883 41.033, 28.88...>]"
Yıldız Teknik Üniversitesi Davutpaşa Kampüsü ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ŞEHİT ORGENERAL EŞREF BİTLİS,GÜNGÖREN,GENÇOSMAN,28.88551028602213,41.02351241117499,151347363,"[<POLYGON ((28.885 41.034, 28.885 41.034, 28.883 41.034, 28.883 41.033, 28.88...>]"
Malazgirt Parkı,İSTANBUL,ŞEHİT ORGENERAL EŞREF BİTLİS,GÜNGÖREN,SANAYİ,28.88551028602213,41.02351241117499,151347955,"[<POLYGON ((28.885 41.034, 28.885 41.034, 28.883 41.034, 28.883 41.033, 28.88...>]"
Güngören Belediyesi Atık Aktarma Merkezi,İSTANBUL,ŞEHİT ORGENERAL EŞREF BİTLİS,GÜNGÖREN,GENÇOSMAN,28.884319944518527,41.02530903352498,151348009,"[<POLYGON ((28.885 41.034, 28.885 41.034, 28.883 41.034, 28.883 41.033, 28.88...>]"
İTO Kız Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,GENÇ OSMAN,GÜNGÖREN,GENÇOSMAN,28.873603427615006,41.02710565587496,151348006,"[<POLYGON ((28.885 41.034, 28.885 41.034, 28.883 41.034, 28.883 41.033, 28.88...>]"
Gençosman Camii Bahçesi,İSTANBUL,GENÇ OSMAN,GÜNGÖREN,GENÇOSMAN,28.873603427615006,41.02710565587496,151347995,"[<POLYGON ((28.885 41.034, 28.885 41.034, 28.883 41.034, 28.883 41.033, 28.88...>]"
Güngören İmam Hatip Ortaokulu Bahçesi,İSTANBUL,GENÇ OSMAN,GÜNGÖREN,MERKEZ,28.873603427615006,41.02710565587496,151347934,"[<POLYGON ((28.885 41.034, 28.885 41.034, 28.883 41.034, 28.883 41.033, 28.88...>]"
Şehit Naci Tuncer Parkı,İSTANBUL,ÜÇ ÇEŞMELER,GÜNGÖREN,GENÇOSMAN,28.87479419142251,41.02710565587496,151348025,"[<POLYGON ((28.885 41.034, 28.885 41.034, 28.883 41.034, 28.883 41.033, 28.88...>]"
İMKB Çok Programlı Anadolu Lisesi Bahçesi,İSTANBUL,AKAN,GÜNGÖREN,GENÇOSMAN,28.875984955230013,41.02710565587496,151348005,"[<POLYGON ((28.885 41.034, 28.885 41.034, 28.883 41.034, 28.883 41.033, 28.88...>]"
Cevizlik Parkı,İSTANBUL,DAVUTPAŞA 1.,GÜNGÖREN,MERKEZ,28.877175719037517,41.02710565587496,151347926,"[<POLYGON ((28.885 41.034, 28.885 41.034, 28.883 41.034, 28.883 41.033, 28.88...>]"
80.Yıl Parkı,İSTANBUL,YEKTA,GÜNGÖREN,GENÇOSMAN,28.877175719037517,41.02710565587496,151347991,"[<POLYGON ((28.885 41.034, 28.885 41.034, 28.883 41.034, 28.883 41.033, 28.88...>]"
Cumhuriyet İlkokulu Bahçesi,İSTANBUL,TAVUS,GÜNGÖREN,GENÇOSMAN,28.879557246652524,41.02710565587496,151347999,"[<POLYGON ((28.885 41.034, 28.885 41.034, 28.883 41.034, 28.883 41.033, 28.88...>]"
