tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Zümrütevler Cami Bahçesi,İSTANBUL,DÖRTLER,MALTEPE,GİRNE,29.138194255521082,40.93691221117499,151348638,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
Hacı Yusuf Ziya Hamire Cami Bahçesi,İSTANBUL,DÖRTLER,MALTEPE,GİRNE,29.138194255521082,40.93691221117499,151348634,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
Nezahat Aslan Ekşioğlu İlkokulu Bahçesi,İSTANBUL,DÖRTLER,MALTEPE,GİRNE,29.138194255521082,40.93691221117499,151348637,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
Mustafa Karaoğlu Parkı,İSTANBUL,BAŞÖĞRETMEN,MALTEPE,ZÜMRÜTEVLER,29.139383392024094,40.93691221117499,151348693,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
Adnan Kahveci Ortaokulu Bahçesi,İSTANBUL,BAŞÖĞRETMEN,MALTEPE,ZÜMRÜTEVLER,29.139383392024094,40.93691221117499,151348697,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
Atilla Uras Anadolu Lisesi Bahçesi,İSTANBUL,DÖRTLER,MALTEPE,GİRNE,29.135816144230944,40.93870883352498,151348630,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
Mehmet Salih Bal Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,ELİFLİ,MALTEPE,GİRNE,29.137005313077132,40.93870883352498,151348636,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
Muhtarlık Parkı,İSTANBUL,ÇİFTLİKLİ,MALTEPE,GİRNE,29.1405728196157,40.93870883352498,151348626,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
Handan Hayrettin Yelkikanat Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,DÖRTLER,MALTEPE,GİRNE,29.134627040075493,40.93960714469997,151348635,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
Büyükşehir Parkı,İSTANBUL,ÇAMLI,MALTEPE,ALTAYÇEŞME,29.13343790357687,40.94050545587496,151348639,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
Narlıpınar Parkı,İSTANBUL,ÇİÇEK,MALTEPE,GİRNE,29.138194708346028,40.94050545587496,151348628,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
Evliya Çelebi İlkokulu Bahçesi,İSTANBUL,MADENCİ,MALTEPE,GİRNE,29.140573110730607,40.94050545587496,151348632,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
Altın Yıllar Yaşam Merkezi,İSTANBUL,MADENCİ,MALTEPE,GİRNE,29.141762311922896,40.94050545587496,151348629,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
Altayçeşme Spor Center,İSTANBUL,İSTİKLAL,MALTEPE,ALTAYÇEŞME,29.131059533541325,40.94230207822495,151348643,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
Emine-İbrahim Pekin Ortaokulu Bahçesi,İSTANBUL,NARLIDERE,MALTEPE,GİRNE,29.133438000623975,40.94230207822495,151348631,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
Girne Merkez Cami Bahçesi,İSTANBUL,REYHANLI,MALTEPE,GİRNE,29.138194934789276,40.94230207822495,151348633,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
Irmak Sokak Parkı,İSTANBUL,ÇIĞ,MALTEPE,GİRNE,29.135816548584685,40.94320038939994,151348627,"[<POLYGON ((29.139 40.936, 29.139 40.936, 29.139 40.936, 29.14 40.936, 29.14 ...>]"
