tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Özgecan Sağlıklı Yaşam Alanı,İSTANBUL,PİRİNÇÇİ KÖY YOLU,EYÜPSULTAN,GÖKTÜRK MERKEZ,28.88797430140257,41.14629631117499,151347571,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
İslambey Parkı,İSTANBUL,2807.,SULTANGAZİ,CEBECİ,28.88797430140257,41.14629631117499,151349426,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
Özge Gündoğan Parkı,İSTANBUL,KEMERBURGAZ YOLU,EYÜPSULTAN,MİTHATPAŞA,28.88797430140257,41.14629631117499,151347551,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
Hamit Süreyya Eremsel İlkokulu Bahçesi,İSTANBUL,GÖLBAŞI,SULTANGAZİ,YAYLA,28.880817286656523,41.147194622349986,151349429,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
Mehmet Akif Ersoy Parkı.,İSTANBUL,PİRİNÇÇİ KÖY YOLU,EYÜPSULTAN,GÖKTÜRK MERKEZ,28.886783238901206,41.14899124469997,151347574,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
Çamlık 2 Parkı,İSTANBUL,PİRİNÇÇİ KÖY YOLU,EYÜPSULTAN,GÖKTÜRK MERKEZ,28.885590868963078,41.149889555874964,151347576,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
Öğretmen Ekrem Yıldız Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,GÖLBAŞI,SULTANGAZİ,YAYLA,28.87604931090471,41.15438111174993,151349428,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
Pirinçci Köyü Futbol Alanı,İSTANBUL,PİRİNÇÇİ KÖY YOLU,EYÜPSULTAN,PİRİNÇÇİ,28.873664931199464,41.1579743564499,151347566,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
Halk Pazarı Parkı,İSTANBUL,PİRİNÇÇİ KÖY YOLU,EYÜPSULTAN,GÖKTÜRK MERKEZ,28.87605168180839,41.15887266762489,151347570,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
Göktürk Ensar Camii Yanı Boş Alan,İSTANBUL,PİRİNÇÇİ KÖY YOLU,EYÜPSULTAN,GÖKTÜRK MERKEZ,28.874859443067923,41.16066928997488,151347573,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
İstanbul Caddesi Kumlu Geçit Sokak Fen İşleri Şantiyesi Yanı Boş Arazi,İSTANBUL,PİRİNÇÇİ KÖY YOLU,EYÜPSULTAN,GÖKTÜRK MERKEZ,28.8736684639093,41.16516084584984,151347577,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
Göktürk Futbol Sahası,İSTANBUL,PİRİNÇÇİ KÖY YOLU,EYÜPSULTAN,GÖKTÜRK MERKEZ,28.871283970836874,41.169652401724804,151347579,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
Çamlık 1 Parkı,İSTANBUL,KEMER BOYU YOLU,EYÜPSULTAN,GÖKTÜRK MERKEZ,28.899925994370737,41.17144902407479,151347575,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
Kaynak Sokak İle Kale Sokak Arası Boş Alan,İSTANBUL,KİRAZLI YOLU,EYÜPSULTAN,GÖKTÜRK MERKEZ,28.878448134303873,41.176838891124746,151347572,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
Odayeri Nalan Sokak Parkı,İSTANBUL,ODAYERİ KÖYÜ YOLU,EYÜPSULTAN,ODAYERİ,28.848614038711023,41.20378822637453,151347587,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
Işıklar Köyü Hazar Sokak ile Rüya Sokak Sokak Arası Boş Alan,İSTANBUL,ODAYERİ KÖYÜ YOLU,EYÜPSULTAN,IŞIKLAR,28.84742022950034,41.20558484872451,151347597,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
Çiftalan Köyü Muhtarlık Önü Boş Alan,İSTANBUL,ÇİFTALAN KÖY YOLU,EYÜPSULTAN,ÇİFTALAN,28.8928051459251,41.22175444987438,151440559,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
Kemerburgaz Ağaçlı Çocuk Ve Gençlik Merkezi Bahçesi,İSTANBUL,AĞAÇLI KÖY YOLU,EYÜPSULTAN,AĞAÇLI,28.865337205722472,41.22444938339936,151347561,"[<POLYGON ((28.891 41.229, 28.89 41.229, 28.89 41.229, 28.89 41.23, 28.89 41....>]"
