tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
2356 Sokak Parkı,İSTANBUL,BOSNA,BAĞCILAR,GÖZTEPE,28.829860047272955,41.05382291117499,151345954,"[<POLYGON ((28.83 41.053, 28.831 41.053, 28.832 41.053, 28.833 41.054, 28.834...>, <POLYGON ((29.067 40.97, 29.068 40.972, 29.069 40.972, 29.069 40.973, 29.071...>, <POLYGON ((29.077 41.083, 29.077 41.083, 29.077 41.083, 29.077 41.082, 29.07...>]"
Şehit İbrahim Yılmaz Parkı,İSTANBUL,MASLAK,BAĞCILAR,DEMİRKAPI,28.829860047272955,41.05382291117499,151345969,"[<POLYGON ((28.83 41.053, 28.831 41.053, 28.832 41.053, 28.833 41.054, 28.834...>, <POLYGON ((29.067 40.97, 29.068 40.972, 29.069 40.972, 29.069 40.973, 29.071...>, <POLYGON ((29.077 41.083, 29.077 41.083, 29.077 41.083, 29.077 41.082, 29.07...>]"
Münir Tınaztepe Anadolu Lisesi Bahçesi,İSTANBUL,İNÖNÜ,BAĞCILAR,MAHMUTBEY,28.829860047272955,41.05382291117499,151345832,"[<POLYGON ((28.83 41.053, 28.831 41.053, 28.832 41.053, 28.833 41.054, 28.834...>, <POLYGON ((29.067 40.97, 29.068 40.972, 29.069 40.972, 29.069 40.973, 29.071...>, <POLYGON ((29.077 41.083, 29.077 41.083, 29.077 41.083, 29.077 41.082, 29.07...>]"
Karacaoğlan İlkokulu Bahçesi,İSTANBUL,MASLAK,BAĞCILAR,DEMİRKAPI,28.83105129454591,41.05382291117499,151345977,"[<POLYGON ((28.83 41.053, 28.831 41.053, 28.832 41.053, 28.833 41.054, 28.834...>, <POLYGON ((29.067 40.97, 29.068 40.972, 29.069 40.972, 29.069 40.973, 29.071...>, <POLYGON ((29.077 41.083, 29.077 41.083, 29.077 41.083, 29.077 41.082, 29.07...>]"
Demirkapı Yüzme Havuzu Parkı,İSTANBUL,MASLAK,BAĞCILAR,DEMİRKAPI,28.832242541818868,41.05382291117499,151345970,"[<POLYGON ((28.83 41.053, 28.831 41.053, 28.832 41.053, 28.833 41.054, 28.834...>, <POLYGON ((29.067 40.97, 29.068 40.972, 29.069 40.972, 29.069 40.973, 29.071...>, <POLYGON ((29.077 41.083, 29.077 41.083, 29.077 41.083, 29.077 41.082, 29.07...>]"
Necip Fazıl Kısakürek Ortaokulu Bahçesi,İSTANBUL,MASLAK,BAĞCILAR,DEMİRKAPI,28.83462503636478,41.05382291117499,151345981,"[<POLYGON ((28.83 41.053, 28.831 41.053, 28.832 41.053, 28.833 41.054, 28.834...>, <POLYGON ((29.067 40.97, 29.068 40.972, 29.069 40.972, 29.069 40.973, 29.071...>, <POLYGON ((29.077 41.083, 29.077 41.083, 29.077 41.083, 29.077 41.082, 29.07...>]"
Soğuksu Parkı,İSTANBUL,İNÖNÜ,BAĞCILAR,MAHMUTBEY,28.829860063539783,41.05472122234998,151345820,"[<POLYGON ((28.83 41.053, 28.831 41.053, 28.832 41.053, 28.833 41.054, 28.834...>, <POLYGON ((29.067 40.97, 29.068 40.972, 29.069 40.972, 29.069 40.973, 29.071...>, <POLYGON ((29.077 41.083, 29.077 41.083, 29.077 41.083, 29.077 41.082, 29.07...>]"
Nasrettin Hoca Anaokulu Bahçesi,İSTANBUL,MASLAK,BAĞCILAR,DEMİRKAPI,28.835816381238704,41.05472122234998,151345980,"[<POLYGON ((28.83 41.053, 28.831 41.053, 28.832 41.053, 28.833 41.054, 28.834...>, <POLYGON ((29.067 40.97, 29.068 40.972, 29.069 40.972, 29.069 40.973, 29.071...>, <POLYGON ((29.077 41.083, 29.077 41.083, 29.077 41.083, 29.077 41.082, 29.07...>]"
Malazgirt Ortaokulu Bahçesi,İSTANBUL,MASLAK,BAĞCILAR,DEMİRKAPI,28.838198908318272,41.05472122234998,151345978,"[<POLYGON ((28.83 41.053, 28.831 41.053, 28.832 41.053, 28.833 41.054, 28.834...>, <POLYGON ((29.067 40.97, 29.068 40.972, 29.069 40.972, 29.069 40.973, 29.071...>, <POLYGON ((29.077 41.083, 29.077 41.083, 29.077 41.083, 29.077 41.082, 29.07...>]"
Şehit Ramazan Sarıkaya Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,KARANFİL,BAĞCILAR,GÖZTEPE,28.838198908318272,41.05472122234998,151345960,"[<POLYGON ((28.83 41.053, 28.831 41.053, 28.832 41.053, 28.833 41.054, 28.834...>, <POLYGON ((29.067 40.97, 29.068 40.972, 29.069 40.972, 29.069 40.973, 29.071...>, <POLYGON ((29.077 41.083, 29.077 41.083, 29.077 41.083, 29.077 41.082, 29.07...>]"
