tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Avni Dilligil Çocuk Parkı,İSTANBUL,ALTAN ERBULAK,ŞİŞLİ,GÜLBAHAR,29.00216716507011,41.06749941117499,151350656,"[<POLYGON ((29.001 41.075, 29.001 41.075, 29 41.075, 29 41.075, 28.999 41.075...>]"
Çevre Kültür Parkı,İSTANBUL,YILDIZ POSTA,BEŞİKTAŞ,GAYRETTEPE,29.00216716507011,41.06749941117499,151346473,"[<POLYGON ((29.001 41.075, 29.001 41.075, 29 41.075, 29 41.075, 28.999 41.075...>]"
Selahattin Eyyubi İlköğretim Okulu Bahçesi,İSTANBUL,ALTAN ERBULAK,ŞİŞLİ,GÜLBAHAR,29.00216716507011,41.06749941117499,151350653,"[<POLYGON ((29.001 41.075, 29.001 41.075, 29 41.075, 29 41.075, 28.999 41.075...>]"
Tanju Okan Parkı,İSTANBUL,SALİH TOZAN,ŞİŞLİ,ESENTEPE,29.00335879030453,41.068397722349985,151350576,"[<POLYGON ((29.001 41.075, 29.001 41.075, 29 41.075, 29 41.075, 28.999 41.075...>]"
Selim Sırrı Tarcan İlkokulu Bahçesi,İSTANBUL,CEMAL SAHİR,ŞİŞLİ,GÜLBAHAR,29.000975865401138,41.06929603352498,151350654,"[<POLYGON ((29.001 41.075, 29.001 41.075, 29 41.075, 29 41.075, 28.999 41.075...>]"
Halil Akar Parkı,İSTANBUL,SALİH TOZAN,ŞİŞLİ,ESENTEPE,29.002167392967994,41.06929603352498,151350575,"[<POLYGON ((29.001 41.075, 29.001 41.075, 29 41.075, 29 41.075, 28.999 41.075...>]"
Kocatepe İlkokulu Bahçesi.,İSTANBUL,GALATA DERESİ,KAĞITHANE,TELSİZLER,28.997401478068195,41.07288927822495,151348212,"[<POLYGON ((29.001 41.075, 29.001 41.075, 29 41.075, 29 41.075, 28.999 41.075...>]"
75. Yıl Çocuk Parkı,İSTANBUL,GÜLBAHAR,ŞİŞLİ,MECİDİYEKÖY,28.997401478068195,41.07288927822495,151350579,"[<POLYGON ((29.001 41.075, 29.001 41.075, 29 41.075, 29 41.075, 28.999 41.075...>]"
Handan Ziya Öniş Okulu Bahçesi,İSTANBUL,KISMET,ŞİŞLİ,KUŞTEPE,28.99620991794375,41.07378758939994,151350617,"[<POLYGON ((29.001 41.075, 29.001 41.075, 29 41.075, 29 41.075, 28.999 41.075...>]"
Hanımeli Parkı,İSTANBUL,MISRA,KAĞITHANE,TELSİZLER,28.99620991794375,41.07378758939994,151348211,"[<POLYGON ((29.001 41.075, 29.001 41.075, 29 41.075, 29 41.075, 28.999 41.075...>]"
Sadabad Anadolu Lisesi Bahçesi,İSTANBUL,GALATA DERESİ,KAĞITHANE,TELSİZLER,28.997401526915628,41.07378758939994,151348213,"[<POLYGON ((29.001 41.075, 29.001 41.075, 29 41.075, 29 41.075, 28.999 41.075...>]"
Kuştepe Semt Pazarı ve Halı Saha,İSTANBUL,ŞEHİT ER CİHAN NAMLI,ŞİŞLİ,KUŞTEPE,28.995018325255092,41.074685900574934,151350616,"[<POLYGON ((29.001 41.075, 29.001 41.075, 29 41.075, 29 41.075, 28.999 41.075...>]"
Şehit Polis Hasan Koçer Parkı,İSTANBUL,DEREBOYU,KAĞITHANE,ORTABAYIR,29.000976451530555,41.074685900574934,151348222,"[<POLYGON ((29.001 41.075, 29.001 41.075, 29 41.075, 29 41.075, 28.999 41.075...>]"
Gültepe İmam Hatip Ortaokulu Bahçesi,İSTANBUL,ŞEHİT CEVAT BAYRAKTAR,KAĞITHANE,GÜLTEPE,28.995018357823742,41.07648252292492,151348205,"[<POLYGON ((29.001 41.075, 29.001 41.075, 29 41.075, 29 41.075, 28.999 41.075...>]"
