tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Gülensu İlkokulu Bahçesi,İSTANBUL,ULAŞ,MALTEPE,GÜLENSU,29.163814795199354,40.933258811174994,151348605,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
Boğaziçi Cami Parkı,İSTANBUL,KAZIM KARABEKİR,MALTEPE,GÜLSUYU,29.163814795199354,40.933258811174994,151348599,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
Özgürlük ve Bülbülderesi Parkı,İSTANBUL,KAZIM KARABEKİR,MALTEPE,GÜLSUYU,29.163814795199354,40.933258811174994,151348779,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
Kaşgarlı Mahmut Ortaokulu Bahçesi,İSTANBUL,MERCEK,MALTEPE,GÜLENSU,29.156680386911013,40.93415712234999,151348606,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
Gülensu Cami Bahçesi,İSTANBUL,MERCEK,MALTEPE,GÜLENSU,29.156680386911013,40.93415712234999,151348785,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
Tek Yürek Parkı 1,İSTANBUL,MERCEK,MALTEPE,GÜLENSU,29.156680386911013,40.93415712234999,151348607,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
Nurettin Sazcı Parkı,İSTANBUL,FURKAN,MALTEPE,GÜLENSU,29.159058560733037,40.93415712234999,151348604,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
Cenk Sokak Parkı,İSTANBUL,KAZIM KARABEKİR,MALTEPE,GÜLSUYU,29.162625821466072,40.93415712234999,151348600,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
Özgürlük Parkı,İSTANBUL,ÇAMLIK,MALTEPE,GÜLENSU,29.166193082199108,40.93415712234999,151348596,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
Üçyürek Parkı,İSTANBUL,SONBAHAR,MALTEPE,ZÜMRÜTEVLER,29.156680419249696,40.93595374469997,151348691,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
İETT Spor Tesisleri Durağı Karşısı Spor Alanı,İSTANBUL,METEOR,MALTEPE,GÜLENSU,29.162626112520805,40.936852055874965,151348603,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
Umut Sokak Parkı,İSTANBUL,UĞUR MUMCU,MALTEPE,ESENKENT,29.169760925041608,40.936852055874965,151348598,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
Şehit Öğr.Nevzat Akdemir İlkokulu Bahçesi,İSTANBUL,UĞUR MUMCU,MALTEPE,ESENKENT,29.169760925041608,40.936852055874965,151348597,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
Hz.Ali Cami Bahçesi,İSTANBUL,EMEK,MALTEPE,ZÜMRÜTEVLER,29.160247906365235,40.93775036704996,151348701,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
Zümrütevler Ormanlık Alan,İSTANBUL,TELSİZ YOLU,MALTEPE,BÜYÜKBAKKALKÖY,29.168572145395327,40.93864867822495,151348689,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
Karaca Parkı,İSTANBUL,EMEK,MALTEPE,ZÜMRÜTEVLER,29.157869700218434,40.940445300574936,151348694,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
Şehit Mustafa Kaymakçı Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,EMEK,MALTEPE,ZÜMRÜTEVLER,29.163815700764516,40.940445300574936,151348709,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
Hacı Mustafa Özyazıcı Cami Bahçesi,İSTANBUL,EMEK,MALTEPE,ZÜMRÜTEVLER,29.160248165133275,40.94134361174993,151348699,"[<POLYGON ((29.165 40.944, 29.164 40.943, 29.164 40.943, 29.162 40.942, 29.16...>]"
