tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Fil Yokuşu Sokak Yeşil Alan,İSTANBUL,FİL YOKUŞU,MALTEPE,CEVİZLİ,29.154724920280916,40.92414561117499,151348713,"[<POLYGON ((29.156 40.934, 29.155 40.933, 29.155 40.933, 29.154 40.933, 29.15...>]"
Ayhan Sokak Parkı,İSTANBUL,FİL YOKUŞU,MALTEPE,CEVİZLİ,29.154724920280916,40.92414561117499,151348717,"[<POLYGON ((29.156 40.934, 29.155 40.933, 29.155 40.933, 29.154 40.933, 29.15...>]"
Asım Kara Gülsuyu Spor Tesisi,İSTANBUL,BURÇAK,MALTEPE,GÜLSUYU,29.154724920280916,40.92414561117499,151348778,"[<POLYGON ((29.156 40.934, 29.155 40.933, 29.155 40.933, 29.154 40.933, 29.15...>]"
Gül Çıkmazı Parkı,İSTANBUL,GÜLLER ÇIKMAZI,MALTEPE,ESENKENT,29.157102733801526,40.92414561117499,151348594,"[<POLYGON ((29.156 40.934, 29.155 40.933, 29.155 40.933, 29.154 40.933, 29.15...>]"
Orhangazi İlkokulu Bahçesi,İSTANBUL,FİL YOKUŞU,MALTEPE,CEVİZLİ,29.153536045842248,40.925043922349985,151348726,"[<POLYGON ((29.156 40.934, 29.155 40.933, 29.155 40.933, 29.154 40.933, 29.15...>]"
Atlas Sokak Parkı,İSTANBUL,GÜLLER ÇIKMAZI,MALTEPE,ESENKENT,29.158291737526742,40.925043922349985,151348589,"[<POLYGON ((29.156 40.934, 29.155 40.933, 29.155 40.933, 29.154 40.933, 29.15...>]"
Gülsuyu Parkı,İSTANBUL,KARAYEMİŞ,MALTEPE,ZÜMRÜTEVLER,29.15234713908268,40.92594223352498,151348780,"[<POLYGON ((29.156 40.934, 29.155 40.933, 29.155 40.933, 29.154 40.933, 29.15...>]"
Gülsuyu İlkokulu Bahçesi,İSTANBUL,DOĞAN,MALTEPE,GÜLSUYU,29.153536078165356,40.92594223352498,151348601,"[<POLYGON ((29.156 40.934, 29.155 40.933, 29.155 40.933, 29.154 40.933, 29.15...>]"
2 Temmuz Parkı,İSTANBUL,BÜLBÜL DERESİ,MALTEPE,ESENKENT,29.158291834496065,40.92594223352498,151348582,"[<POLYGON ((29.156 40.934, 29.155 40.933, 29.155 40.933, 29.154 40.933, 29.15...>]"
Cenk Sokak Parkı,İSTANBUL,ALTINBİLEK,MALTEPE,GÜLSUYU,29.160669971263818,40.92773885587496,151348600,"[<POLYGON ((29.156 40.934, 29.155 40.933, 29.155 40.933, 29.154 40.933, 29.15...>]"
