tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Eski Fatih Boylan Parkı,İSTANBUL,ATATÜRK,KARTAL,ORTA,29.201899916131715,40.915878411174994,151348504,"[<POLYGON ((29.2 40.916, 29.201 40.916, 29.201 40.916, 29.202 40.915, 29.203 ...>, <POLYGON ((28.271 41.315, 28.272 41.315, 28.273 41.313, 28.278 41.311, 28.27...>]"
Ülkü Bora Ortaokulu Bahçesi,İSTANBUL,ADAÇAYI,KARTAL,GÜMÜŞPINAR,29.201899916131715,40.915878411174994,151348383,"[<POLYGON ((29.2 40.916, 29.201 40.916, 29.201 40.916, 29.202 40.915, 29.203 ...>, <POLYGON ((28.271 41.315, 28.272 41.315, 28.273 41.313, 28.278 41.311, 28.27...>]"
Gazi Osman Paşa Parkı,İSTANBUL,ATATÜRK,KARTAL,ORTA,29.201899916131715,40.915878411174994,151348505,"[<POLYGON ((29.2 40.916, 29.201 40.916, 29.201 40.916, 29.202 40.915, 29.203 ...>, <POLYGON ((28.271 41.315, 28.272 41.315, 28.273 41.313, 28.278 41.311, 28.27...>]"
Çitlenbik Parkı,İSTANBUL,CEVİZAĞACI,KARTAL,GÜMÜŞPINAR,29.203088674197573,40.915878411174994,151348373,"[<POLYGON ((29.2 40.916, 29.201 40.916, 29.201 40.916, 29.202 40.915, 29.203 ...>, <POLYGON ((28.271 41.315, 28.272 41.315, 28.273 41.313, 28.278 41.311, 28.27...>]"
Öğretmen Salih Nafiz Tüzün İlkokulu Bahçesi,İSTANBUL,ATATÜRK,KARTAL,ORTA,29.20427743226343,40.915878411174994,151348508,"[<POLYGON ((29.2 40.916, 29.201 40.916, 29.201 40.916, 29.202 40.915, 29.203 ...>, <POLYGON ((28.271 41.315, 28.272 41.315, 28.273 41.313, 28.278 41.311, 28.27...>]"
Şehit Selahattin Turgut Parkı,İSTANBUL,ERAYKENT,KARTAL,SOĞANLIK YENİ,29.200711174219947,40.91677672234999,151348573,"[<POLYGON ((29.2 40.916, 29.201 40.916, 29.201 40.916, 29.202 40.915, 29.203 ...>, <POLYGON ((28.271 41.315, 28.272 41.315, 28.273 41.313, 28.278 41.311, 28.27...>]"
Nursen Özdayi Safa Cami Bahçesi,İSTANBUL,ATATÜRK,KARTAL,GÜMÜŞPINAR,29.205466271099738,40.91677672234999,151348380,"[<POLYGON ((29.2 40.916, 29.201 40.916, 29.201 40.916, 29.202 40.915, 29.203 ...>, <POLYGON ((28.271 41.315, 28.272 41.315, 28.273 41.313, 28.278 41.311, 28.27...>]"
Şehit Erdal Engin Parkı,İSTANBUL,ERAYKENT,KARTAL,SOĞANLIK YENİ,29.20071119037477,40.91767503352498,151348572,"[<POLYGON ((29.2 40.916, 29.201 40.916, 29.201 40.916, 29.202 40.915, 29.203 ...>, <POLYGON ((28.271 41.315, 28.272 41.315, 28.273 41.313, 28.278 41.311, 28.27...>]"
Gümüşpınar Parkı,İSTANBUL,ÇAYIR,KARTAL,GÜMÜŞPINAR,29.201899980749538,40.91767503352498,151348374,"[<POLYGON ((29.2 40.916, 29.201 40.916, 29.201 40.916, 29.202 40.915, 29.203 ...>, <POLYGON ((28.271 41.315, 28.272 41.315, 28.273 41.313, 28.278 41.311, 28.27...>]"
Kartal Soğanlık İlkokulu Bahçesi,İSTANBUL,DEFNELİ,KARTAL,GÜMÜŞPINAR,29.203088819590956,40.91857334469997,151348375,"[<POLYGON ((29.2 40.916, 29.201 40.916, 29.201 40.916, 29.202 40.915, 29.203 ...>, <POLYGON ((28.271 41.315, 28.272 41.315, 28.273 41.313, 28.278 41.311, 28.27...>]"
