tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Eski Londra Asfaltı Ziraat Bankası Önü Yeşil Alan,İSTANBUL,MERKEZ CAMİ,GÜNGÖREN,GÜVEN,28.874246131862417,41.00880191117499,151348022,"[<POLYGON ((28.869 41.014, 28.87 41.013, 28.871 41.013, 28.872 41.011, 28.873...>]"
15 Temmuz Şehitler Parkı  (Göngören İlçesinde) ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ALTINTAŞ,GÜNGÖREN,HAZNEDAR,28.874246131862417,41.00880191117499,151347915,"[<POLYGON ((28.869 41.014, 28.87 41.013, 28.871 41.013, 28.872 41.011, 28.873...>]"
Emlak Konut İlkokulu Bahçesi,İSTANBUL,ESKİ LONDRA ASFALTI,BAHÇELİEVLER,BAHÇELİEVLER,28.874246131862417,41.00880191117499,151346079,"[<POLYGON ((28.869 41.014, 28.87 41.013, 28.871 41.013, 28.872 41.011, 28.873...>]"
Haznedar Merkez Camii Bahçesi,İSTANBUL,OKUL,GÜNGÖREN,GÜVEN,28.873055796278628,41.01059853352498,151348019,"[<POLYGON ((28.869 41.014, 28.87 41.013, 28.871 41.013, 28.872 41.011, 28.873...>]"
Abdi İpekçi Ortaokulu Bahçesi,İSTANBUL,CAMİ,GÜNGÖREN,HAZNEDAR,28.871865363315226,41.01149684469997,151348026,"[<POLYGON ((28.869 41.014, 28.87 41.013, 28.871 41.013, 28.872 41.011, 28.873...>]"
Metropark,İSTANBUL,ESKİ LONDRA ASFALTI,BAHÇELİEVLER,BAHÇELİEVLER,28.876627289945677,41.01149684469997,151346085,"[<POLYGON ((28.869 41.014, 28.87 41.013, 28.871 41.013, 28.872 41.011, 28.873...>]"
Güven Parkı,İSTANBUL,KAHRAMAN,GÜNGÖREN,GÜVEN,28.87424639155901,41.01239515587496,151348018,"[<POLYGON ((28.869 41.014, 28.87 41.013, 28.871 41.013, 28.872 41.011, 28.873...>]"
Zenginli Otomotiv Bahçesi,İSTANBUL,MENDERES,GÜNGÖREN,GÜVEN,28.87543688944876,41.01239515587496,151348024,"[<POLYGON ((28.869 41.014, 28.87 41.013, 28.871 41.013, 28.872 41.011, 28.873...>]"
Mustafa Kemal Ortaokulu Bahçesi,İSTANBUL,POSTA,GÜNGÖREN,AKINCILAR,28.870674914122628,41.013293467049955,151347919,"[<POLYGON ((28.869 41.014, 28.87 41.013, 28.871 41.013, 28.872 41.011, 28.873...>]"
Sultan Alparslan Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,ABDİ İPEKÇİ,GÜNGÖREN,MERKEZ,28.871865428245254,41.013293467049955,151347937,"[<POLYGON ((28.869 41.014, 28.87 41.013, 28.871 41.013, 28.872 41.011, 28.873...>]"
Kale Karşısı Yeşil Alan 2,İSTANBUL,HANZER,GÜNGÖREN,GÜVEN,28.87305594236788,41.013293467049955,151348028,"[<POLYGON ((28.869 41.014, 28.87 41.013, 28.871 41.013, 28.872 41.011, 28.873...>]"
Kale Karşısı Yeşil Alan,İSTANBUL,YÜCEL,GÜNGÖREN,GÜVEN,28.875436970613134,41.013293467049955,151348023,"[<POLYGON ((28.869 41.014, 28.87 41.013, 28.871 41.013, 28.872 41.011, 28.873...>]"
Şehit Murat Yetkin Parkı,İSTANBUL,GAZİ OSMAN PAŞA,GÜNGÖREN,SANAYİ,28.87781833977964,41.01598840057493,151347953,"[<POLYGON ((28.869 41.014, 28.87 41.013, 28.871 41.013, 28.872 41.011, 28.873...>]"
