tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Vatan 1 Sokak Parkı,İSTANBUL,AKASYA 4,BÜYÜKÇEKMECE,GÜZELCE,28.526617320335532,40.992681111174996,151439879,"[<POLYGON ((28.528 41.01, 28.527 41.01, 28.527 41.012, 28.525 41.014, 28.525 ...>]"
Medeni Sokak Parkı,İSTANBUL,AKASYA 4,BÜYÜKÇEKMECE,GÜZELCE,28.526617320335532,40.992681111174996,151347008,"[<POLYGON ((28.528 41.01, 28.527 41.01, 28.527 41.012, 28.525 41.014, 28.525 ...>]"
Akkor Sokak Parkı,İSTANBUL,ERTÜRK,BÜYÜKÇEKMECE,SİNANOBA,28.526617320335532,40.992681111174996,151347002,"[<POLYGON ((28.528 41.01, 28.527 41.01, 28.527 41.012, 28.525 41.014, 28.525 ...>]"
İfakat Genç Parkı,İSTANBUL,ATAN,BÜYÜKÇEKMECE,GÜZELCE,28.523047511085526,40.99447773352498,151347005,"[<POLYGON ((28.528 41.01, 28.527 41.01, 28.527 41.012, 28.525 41.014, 28.525 ...>]"
Güzelce Kapalı Pazar Yeri ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,YOĞURTHANE,BÜYÜKÇEKMECE,GÜZELCE,28.51947750727723,40.99627435587497,151347006,"[<POLYGON ((28.528 41.01, 28.527 41.01, 28.527 41.012, 28.525 41.014, 28.525 ...>]"
Hacıbektaş-ı Veli Parkı,İSTANBUL,KIYI,BÜYÜKÇEKMECE,GÜZELCE,28.50995598339611,40.99717266704996,151347007,"[<POLYGON ((28.528 41.01, 28.527 41.01, 28.527 41.012, 28.525 41.014, 28.525 ...>]"
Orhan Kotan Parkı,İSTANBUL,YOĞURTHANE,BÜYÜKÇEKMECE,GÜZELCE,28.517097320943193,40.99717266704996,151347009,"[<POLYGON ((28.528 41.01, 28.527 41.01, 28.527 41.012, 28.525 41.014, 28.525 ...>]"
Zülfü Livaneli Kültür ve Sanat Merkezi Bahçesi,İSTANBUL,ERTÜRK,BÜYÜKÇEKMECE,SİNANOBA,28.530190178623315,40.99807097822495,151347004,"[<POLYGON ((28.528 41.01, 28.527 41.01, 28.527 41.012, 28.525 41.014, 28.525 ...>]"
Mehtap Sokak 1 Parkı,İSTANBUL,ERTÜRK,BÜYÜKÇEKMECE,MİMAROBA,28.527810073419996,40.998969289399945,151347017,"[<POLYGON ((28.528 41.01, 28.527 41.01, 28.527 41.012, 28.525 41.014, 28.525 ...>]"
Halide Edip Adıvar Parkı,İSTANBUL,YÜZYIL,BÜYÜKÇEKMECE,MİMAROBA,28.529001496815,41.00166422292492,151347020,"[<POLYGON ((28.528 41.01, 28.527 41.01, 28.527 41.012, 28.525 41.014, 28.525 ...>]"
Büyük Atatürk Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,BALIKÇI,BÜYÜKÇEKMECE,MİMAROBA,28.531382104882915,41.00166422292492,151347015,"[<POLYGON ((28.528 41.01, 28.527 41.01, 28.527 41.012, 28.525 41.014, 28.525 ...>]"
