tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Emniyettepe Parkı,İSTANBUL,MEHMET AKİF ERSOY,EYÜPSULTAN,EMNİYETTEPE,28.95274712171715,41.07222911117499,151347491,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
Fidan Parkı ve Yanı Boş Alan,İSTANBUL,MEHMET AKİF ERSOY,EYÜPSULTAN,EMNİYETTEPE,28.95274712171715,41.07222911117499,151347493,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
Araphan Parkı,İSTANBUL,MEHMET AKİF ERSOY,EYÜPSULTAN,EMNİYETTEPE,28.95274712171715,41.07222911117499,151347494,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
Emniyettepe Bölge Parkı  ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,AVCI,EYÜPSULTAN,EMNİYETTEPE,28.953938702441054,41.07222911117499,151347492,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
İski Yanı Boş Alanı,İSTANBUL,MEHMET AKİF ERSOY,EYÜPSULTAN,EMNİYETTEPE,28.951556013169434,41.073127422349984,151347601,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
Sevinç Köprüsü Yanı Yeşil Alan,İSTANBUL,SEVİNÇ,EYÜPSULTAN,ALİBEYKÖY,28.951556013169434,41.073127422349984,151347602,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
Davet Parkı,İSTANBUL,DAVET,KAĞITHANE,NURTEPE,28.95513080418696,41.073127422349984,151348215,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
Osmanlı Parkı ve Spor Alanları,İSTANBUL,SEVİNÇ,EYÜPSULTAN,ALİBEYKÖY,28.950364872078534,41.07402573352498,151347539,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
Davet Mesire Alanı,İSTANBUL,DAVET,KAĞITHANE,NURTEPE,28.95513132523261,41.07402573352498,151348217,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
Güzeltepe Parkı ve İBB Gecekondu Mesken Parkları,İSTANBUL,ÜZÜM,EYÜPSULTAN,GÜZELTEPE,28.95394072153854,41.07582235587496,151347544,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
Alibeyköy Pazar Yeri,İSTANBUL,NAMIK KEMAL,EYÜPSULTAN,ALİBEYKÖY,28.95036623994721,41.076720667049955,151347538,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
İBB Çobançeşme Parkı,İSTANBUL,LEVENT,EYÜPSULTAN,GÜZELTEPE,28.952749564229155,41.076720667049955,151347546,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
Nurtepe Sosyal Tesisleri,İSTANBUL,KANLICA,KAĞITHANE,NURTEPE,28.958707874934014,41.076720667049955,151348216,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
Aşık Veysel İlkokulu Bahçesi.,İSTANBUL,KANLICA,KAĞITHANE,NURTEPE,28.958707874934014,41.076720667049955,151348220,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
Alibeyköy Korusu,İSTANBUL,NAMIK KEMAL,EYÜPSULTAN,ALİBEYKÖY,28.95036669594472,41.07761897822495,151347543,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
Hüseyin Aksoy Parkı,İSTANBUL,ARDIÇ,EYÜPSULTAN,GÜZELTEPE,28.957516766504302,41.07761897822495,151347549,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
İBB Nurtepe Gezi Parkı,İSTANBUL,LATİFE,EYÜPSULTAN,GÜZELTEPE,28.955133930814878,41.07851728939994,151347545,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
Hacı Ethem Üktem Ortaokulu Bahçesi,İSTANBUL,SOKULLU,KAĞITHANE,NURTEPE,28.959900709666737,41.07851728939994,151348221,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
Mostar Parkı,İSTANBUL,2.YONCA,EYÜPSULTAN,ALİBEYKÖY,28.95036760800191,41.07941560057493,151347542,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
İBB Çobançeşme Korusu,İSTANBUL,MAREŞAL FEVZİ ÇAKMAK,EYÜPSULTAN,5.LEVENT,28.952751030002045,41.07941560057493,151347550,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
Kağıthane Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,ALİBEY,KAĞITHANE,MERKEZ,28.963477064228364,41.080313911749926,151348336,"[<POLYGON ((28.968 41.09, 28.968 41.091, 28.968 41.091, 28.967 41.092, 28.967...>, <POLYGON ((29.065 41.045, 29.065 41.045, 29.065 41.045, 29.065 41.045, 29.06...>]"
