tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Türbe Sokak Parkı,İSTANBUL,ALINTERİ,PENDİK,GÜZELYALI,29.267555861598176,40.854809811174995,151350375,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Gülizar Zeki Obdan İlkokulu Bahçesi,İSTANBUL,ALINTERİ,PENDİK,GÜZELYALI,29.267555861598176,40.854809811174995,151350369,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Barbaros Hayrettin Paşa Parkı,İSTANBUL,LİMAN,PENDİK,KAYNARCA,29.267555861598176,40.854809811174995,151350251,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Pendik İTO Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,DİRHEM,PENDİK,GÜZELYALI,29.282995462374476,40.854809811174995,151350370,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Güzelyalı Hıfzı Kaplan Cami Bahçesi,İSTANBUL,DİRHEM,PENDİK,GÜZELYALI,29.282995462374476,40.854809811174995,151350367,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Şehit Ramazan Manastır Parkı,İSTANBUL,DİRHEM,PENDİK,GÜZELYALI,29.282995462374476,40.854809811174995,151350374,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Yunus Emre Parkı,İSTANBUL,HAYDAR,PENDİK,GÜZELYALI,29.274681943918495,40.85570812234999,151350376,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
11039 Ada 2 Parsel Kamuya Ait Boş Arazi (Bahçeşehir Koleji Yanı),İSTANBUL,SAHİL,PENDİK,GÜZELYALI,29.286558720944917,40.85570812234999,151350365,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Özel Güzelyalı Bahçeşehir Koleji Bahçesi,İSTANBUL,SAHİL,PENDİK,GÜZELYALI,29.286558720944917,40.85570812234999,151350371,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Güzelyalı Ömer Hekim Cami Bahçesi,İSTANBUL,BEKÇİ,PENDİK,GÜZELYALI,29.279432831886194,40.85660643352498,151350366,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Güzelyalı Mimar Sinan Cami Bahçesi,İSTANBUL,ÇALIŞANLAR,PENDİK,GÜZELYALI,29.287747268367344,40.858403055874966,151350385,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Nene Hatun Parkı,İSTANBUL,İSTASYON,PENDİK,GÜZELYALI,29.280621105533438,40.85930136704996,151350363,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Evim Sokak Parkı,İSTANBUL,ÇALIŞANLAR,PENDİK,ESENYALI,29.288935300427944,40.85930136704996,151350192,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Pendik Askerlik Şubesi Karşısı Boş Alan,İSTANBUL,D 100,PENDİK,ÇAMÇEŞME,29.271119232943587,40.86019967822495,151350320,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Çaldıran Sokak Parkı,İSTANBUL,EYÜP SULTAN,PENDİK,GÜZELYALI,29.282996815302557,40.86019967822495,151350372,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Abdullah Acar Ortaokulu Bahçesi,İSTANBUL,AKŞAM,PENDİK,ESENYALI,29.288935606482042,40.86019967822495,151350195,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Şehit Fatih Devravut Parkı,İSTANBUL,29 MAYIS,PENDİK,GÜZELYALI,29.27943389499729,40.86199630057494,151350364,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Gülizar Zeki Obdan Anadolu Lisesi Bahçesi,İSTANBUL,NEŞE,PENDİK,GÜZELYALI,29.28537310503351,40.86289461174993,151350368,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Şehit Öğretmen Nuri Öztürk Parkı,İSTANBUL,İSTİKLAL,PENDİK,ORHANGAZİ,29.2877487181627,40.86289461174993,151350184,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Fındıkpınar Medine Mescidi Cami Bahçesi,İSTANBUL,OK,PENDİK,ORHANGAZİ,29.286561185485507,40.86379292292492,151350186,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Şehit Ömer Öner İlkokulu Bahçesi,İSTANBUL,DOĞU,PENDİK,ORHANGAZİ,29.284185781810603,40.864691234099915,151350189,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
Ömer Öztop Kız Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,DOĞU,PENDİK,ORHANGAZİ,29.285373620597976,40.864691234099915,151350188,"[<POLYGON ((29.276 40.863, 29.276 40.863, 29.275 40.863, 29.274 40.863, 29.27...>]"
