tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Mescidi Selam Önü  Park ve Otopark Toplanma Alanı,İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,MALKOÇOĞLU,28.844005166178967,41.12206571117499,151349488,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Şehit Bülent Özkan Parkı. ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,MALKOÇOĞLU,28.844005166178967,41.12206571117499,151349486,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Hüseyin Ersu İlkokulu-Ortaokulu Bahçesi,İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,MALKOÇOĞLU,28.844005166178967,41.12206571117499,151349481,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Evliya Çelebi Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,ESKİ HABİPLER,28.844005313085358,41.12296402234998,151349331,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Sütçü İmam Parkı.,İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,MALKOÇOĞLU,28.8475830133312,41.123862333524976,151349482,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Cebeci Spor Tesisi ( 2602 Sokak - 2605 Sokak ),İSTANBUL,TAŞ OCAĞI YOLU,SULTANGAZİ,CEBECİ,28.851160566664,41.123862333524976,151349425,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Hayırlıoğlu Camii ve Yanındaki Boş Alan,İSTANBUL,MAHMUT BEY,SULTANGAZİ,İSMETPAŞA,28.8523530844416,41.123862333524976,151349364,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Uzm. Dr. Salih Cenap Cevli  Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,ESKİ HABİPLER,28.84281307281608,41.12476064469997,151349332,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Trafik Eğitim Parkı,İSTANBUL,TAŞ OCAĞI YOLU,SULTANGAZİ,HABİBLER,28.849968505980282,41.12565895587496,151349439,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Aşık Şenlik Parkı.,İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,HABİBLER,28.842813334024438,41.126557267049954,151349438,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Pazar Alanı ( S.Caddesi),İSTANBUL,TAŞ OCAĞI YOLU,SULTANGAZİ,CEBECİ,28.857124135061095,41.126557267049954,151349424,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Çanakkale Parkı ,İSTANBUL,TAŞ OCAĞI YOLU,SULTANGAZİ,CEBECİ,28.85950962775308,41.12745557822495,151349421,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Nurettin Uzun İlköğretim Okulu Bahçesi,İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,ESKİ HABİPLER,28.838043262940683,41.12925220057493,151349335,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
2513.Sokak Parkı,İSTANBUL,TAŞ OCAĞI YOLU,SULTANGAZİ,CEBECİ,28.861895577644102,41.12925220057493,151349423,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Veysel Karani Camii Bahçesi,İSTANBUL,TAŞ OCAĞI YOLU,SULTANGAZİ,CEBECİ,28.863088193379273,41.12925220057493,151349422,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
İslambey Parkı,İSTANBUL,TAŞ OCAĞI YOLU,SULTANGAZİ,CEBECİ,28.864281233664574,41.130150511749925,151349426,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Mehmet Çavuş Yıldız Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,ESKİ HABİPLER,28.835658129447896,41.13194713409991,151349337,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Hamit Süreyya Eremsel İlkokulu Bahçesi,İSTANBUL,ŞAHİN,SULTANGAZİ,YAYLA,28.859511423926865,41.13194713409991,151349429,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Toplum Ruh Sağlığı Merkezi Toplanma Alanı,İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,ESKİ HABİPLER,28.834465481055023,41.1328454452749,151349334,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Öğretmen Ekrem Yıldız Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,KALE CAMİİ,SULTANGAZİ,YAYLA,28.854741058990424,41.1328454452749,151349428,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Şehit Polis Engin Açıkgöz Parkı ve Çevresi,İSTANBUL,A-1,SULTANGAZİ,CEBECİ,28.871438593760754,41.1328454452749,151349420,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Piri Reis Parkı,İSTANBUL,2718/3.,SULTANGAZİ,YAYLA,28.83685099015806,41.13554037879988,151349427,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
S.Gazi Mimar Sinan Kent Ormanı,İSTANBUL,1500.,SULTANGAZİ,ZÜBEYDE HANIM,28.87978927205477,41.13554037879988,151349487,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
Özgecan Sağlıklı Yaşam Alanı,İSTANBUL,PİRİNÇÇİ KÖY YOLU,EYÜPSULTAN,GÖKTÜRK MERKEZ,28.88695006306046,41.14093024584984,151347571,"[<POLYGON ((28.89 41.137, 28.888 41.139, 28.885 41.145, 28.881 41.145, 28.88 ...>]"
