tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Sururi Parkı,İSTANBUL,KURTULUŞ DERESİ,BEYOĞLU,SURURİ MEHMET EFENDİ ,28.972097983115514,41.039229511174995,151346845,"[<POLYGON ((28.974 41.046, 28.973 41.046, 28.973 41.046, 28.972 41.045, 28.97...>]"
Sururi Ortaokulu Bahçesi,İSTANBUL,KURTULUŞ DERESİ,BEYOĞLU,SURURİ MEHMET EFENDİ ,28.972097983115514,41.039229511174995,151346844,"[<POLYGON ((28.974 41.046, 28.973 41.046, 28.973 41.046, 28.972 41.045, 28.97...>]"
Ferit Güleryüz Parkı,İSTANBUL,PİR HÜSAMETTİN,BEYOĞLU,HACIAHMET ,28.972097983115514,41.039229511174995,151346853,"[<POLYGON ((28.974 41.046, 28.973 41.046, 28.973 41.046, 28.972 41.045, 28.97...>]"
Hacı Ahmet Parkı,İSTANBUL,MUHSİN YAZICIOĞLU,BEYOĞLU,HACIAHMET ,28.972097999370373,41.04012782234999,151346854,"[<POLYGON ((28.974 41.046, 28.973 41.046, 28.973 41.046, 28.972 41.045, 28.97...>]"
Olimpia Açık Halı Saha,İSTANBUL,SAKSAĞAN,ŞİŞLİ,ESKİŞEHİR,28.976861996851863,41.04012782234999,151350572,"[<POLYGON ((28.974 41.046, 28.973 41.046, 28.973 41.046, 28.972 41.045, 28.97...>]"
Aya Dimitri Rum Ortodoks Kilisesi Bahçesi,İSTANBUL,SAFA MEYDANI,ŞİŞLİ,FERİKÖY,28.976861996851863,41.04012782234999,151350562,"[<POLYGON ((28.974 41.046, 28.973 41.046, 28.973 41.046, 28.972 41.045, 28.97...>]"
Piyalepaşa Spor Tesisi Bitişiği Boş Alan,İSTANBUL,PİYALEPAŞA BULVARI,BEYOĞLU,PİYALEPAŞA ,28.972098064397166,41.04372106704996,151346870,"[<POLYGON ((28.974 41.046, 28.973 41.046, 28.973 41.046, 28.972 41.045, 28.97...>]"
İETT Kurtuluş Son Durak,İSTANBUL,ATEŞ BÖCEĞİ,ŞİŞLİ,FERİKÖY,28.97567125758866,41.04372106704996,151350555,"[<POLYGON ((28.974 41.046, 28.973 41.046, 28.973 41.046, 28.972 41.045, 28.97...>]"
Çocuk Parkı ( Şişli Yayla Mah. Muhtarlığı Yanı),İSTANBUL,YAY MEYDANI,ŞİŞLİ,PAŞA,28.973289193829967,41.045517689399944,151350630,"[<POLYGON ((28.974 41.046, 28.973 41.046, 28.973 41.046, 28.972 41.045, 28.97...>]"
Feriköy Mh. Carrefoursa Market Arkası Açık Otopark,İSTANBUL,ATEŞ BÖCEĞİ,ŞİŞLİ,FERİKÖY,28.975671387659933,41.045517689399944,151350560,"[<POLYGON ((28.974 41.046, 28.973 41.046, 28.973 41.046, 28.972 41.045, 28.97...>]"
