tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Şahin Tepesi Spor Parkı,İSTANBUL,SAZLIDERE KAYABAŞI YOLU,BAŞAKŞEHİR,ŞAHİNTEPE,28.71531046434133,41.112646011174995,151346366,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Ispartakule Bulvarı Toplanma Alanı (2),İSTANBUL,ESKİ İSTANBUL,AVCILAR,TAHTAKALE,28.71531046434133,41.112646011174995,151345738,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Ispartakule Bulvarı Toplanma Alanı (1),İSTANBUL,ESKİ İSTANBUL,AVCILAR,TAHTAKALE,28.71531046434133,41.112646011174995,151345736,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Hacı Fatmagül Mesleki Teknik Anadolu Lisesi Bahçesi,İSTANBUL,SAZLIDERE KAYABAŞI YOLU,BAŞAKŞEHİR,ŞAHİNTEPE,28.72007972039384,41.112646011174995,151346371,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
1006. Park,İSTANBUL,SAZLIDERE KAYABAŞI YOLU,BAŞAKŞEHİR,KAYABAŞI,28.722464348420097,41.112646011174995,151346350,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
105 Ada Parkı,İSTANBUL,SAZLIDERE KAYABAŞI YOLU,BAŞAKŞEHİR,ŞAMLAR,28.72365720083394,41.11354432234999,151346354,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Piri Reis Cad. Toplanma Alanı,İSTANBUL,ESKİ İSTANBUL,AVCILAR,TAHTAKALE,28.7105422851391,41.11534094469997,151345729,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Tekstilkent Parkı,İSTANBUL,İSTİKLAL,BAŞAKŞEHİR,GÜVERCİNTEPE,28.72842954086484,41.11803587822495,151346349,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Emirsultan Camii Bahçesi,İSTANBUL,SİTE,ARNAVUTKÖY,DELİKLİKAYA,28.701004523773214,41.11983250057494,151345475,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Hacımaşlı Parkı,İSTANBUL,SAZLIBOSNA YOLU,ARNAVUTKÖY,HACIMAŞLI,28.705774301994133,41.11983250057494,151345472,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Sazlıbosna Parkı,İSTANBUL,SAZLIBOSNA YOLU,ARNAVUTKÖY,SAZLIBOSNA,28.69742754917968,41.12162912292492,151345405,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Mehmet Akif Ersoy Parkı,İSTANBUL,SİTE,ARNAVUTKÖY,DELİKLİKAYA,28.69385037875231,41.12342574527491,151345474,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Ihlamur Parkı.,İSTANBUL,SAZLIBOSNA YOLU,ARNAVUTKÖY,HACIMAŞLI,28.70219819252135,41.1243240564499,151345480,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Kayaşehir Kültür ve Yaşam Merkezi Bahçesi,İSTANBUL,TERKOS ALTINŞEHİR YOLU,BAŞAKŞEHİR,KAYABAŞI,28.732011346723603,41.1243240564499,151346352,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Naim Süleymanoğlu Parkı.,İSTANBUL,GÜLŞAH,ARNAVUTKÖY,HARAÇÇI,28.70935609253016,41.13151054584984,151345409,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Başakşehir Millet Bahçesi,İSTANBUL,FUNDA,BAŞAKŞEHİR,KAYABAŞI,28.75467705044188,41.13151054584984,151346351,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Fetih Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,28.76422596488572,41.13779872407479,151345467,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Hasan Kayım Parkı,İSTANBUL,23 NİSAN,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,28.73560297059749,41.142290279949755,151345459,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Ersoy Sokak Park Alanı,İSTANBUL,23 NİSAN,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,28.734410804056168,41.14318859112475,151441210,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Arnavutköy Semt Parkı (Aynı Zamanda TRANSFER ALANIDIR),İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,ANADOLU,28.743953757209724,41.14318859112475,151345430,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Şahika Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,28.774970838746988,41.14498521347473,151441217,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Sütçü Sokak Parkı,İSTANBUL,23 NİSAN,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,28.732030295507123,41.15037508052469,151441214,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Bilge Kağan  Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,28.763048292586753,41.15037508052469,151441230,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Prof.Dr. Aziz Sancar Parkı,İSTANBUL,23 NİSAN,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,28.73799603052767,41.15127339169968,151441207,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Çınar Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,28.77020746884427,41.15127339169968,151345469,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Yunus Emre Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,YUNUS EMRE,28.75708528743861,41.152171702874675,151345363,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Necip Fazıl Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,28.77378774357206,41.152171702874675,151345466,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Toros Sokak Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,28.749928890246554,41.15396832522466,151441202,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Hz. Osman Camii Bahçesi,İSTANBUL,ARİF,ARNAVUTKÖY,KARLIBAYIR,28.727261827151203,41.155764947574646,151345347,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Şehit Er Savaş Koyun Parkı,İSTANBUL,HARAÇÇI-HADIMKÖY YOLU,ARNAVUTKÖY,HARAÇÇI,28.6855034470308,41.158459881099624,151345408,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
İzzet Yıldırım Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,28.764251151063643,41.158459881099624,151441223,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
Vardar Sokak Parkı.,İSTANBUL,HACIMAŞLI-HARAÇÇI,ARNAVUTKÖY,HARAÇÇI,28.704596580091312,41.16744299284955,151345412,"[<POLYGON ((28.769 41.139, 28.771 41.139, 28.774 41.142, 28.775 41.143, 28.78...>]"
