tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
 Pazar Alanı ve Park Alanı (Kara Tren Cad.),İSTANBUL,KARA TREN,ÇATALCA,HALLAÇLI,28.088389307762444,41.29661611117499,151347074,"[<POLYGON ((28.085 41.338, 28.085 41.338, 28.085 41.337, 28.084 41.336, 28.08...>]"
Meşelik Parkı,İSTANBUL,ŞÜKRÜ,SİLİVRİ,BÜYÜK ÇAVUŞLU,28.088389307762444,41.29661611117499,151349184,"[<POLYGON ((28.085 41.338, 28.085 41.338, 28.085 41.337, 28.084 41.336, 28.08...>]"
Milli Şair Caddesi Gülsuyu Sokak Çocuk Parkı,İSTANBUL,VİRAN,SİLİVRİ,ÇAYIRDERE,28.088389307762444,41.29661611117499,151349123,"[<POLYGON ((28.085 41.338, 28.085 41.338, 28.085 41.337, 28.084 41.336, 28.08...>]"
1NO'LUTOPLANMAALANI,TEKİRDAĞ,CENGİZ TOPEL,ÇERKEZKÖY,CUMHURİYET,28.07882397448738,41.297514422349984,63183078,"[<POLYGON ((28.085 41.338, 28.085 41.338, 28.085 41.337, 28.084 41.336, 28.08...>]"
Ahmet Kara Spor Sahası Ve Çocuk Parkı,İSTANBUL,VİRAN,SİLİVRİ,ÇAYIRDERE,28.093172221411667,41.297514422349984,151349122,"[<POLYGON ((28.085 41.338, 28.085 41.338, 28.085 41.337, 28.084 41.336, 28.08...>]"
5NO'LUTOPLANMAALANI,TEKİRDAĞ,GÜNEŞ ÇİFTLİK,ÇERKEZKÖY,BAĞLIK,28.07762833665052,41.30020935587496,63183233,"[<POLYGON ((28.085 41.338, 28.085 41.338, 28.085 41.337, 28.084 41.336, 28.08...>]"
4NO'LUTOPLANMAALANI,TEKİRDAĞ,GÜNEŞ ÇİFTLİK,ÇERKEZKÖY,BAĞLIK,28.078824600534542,41.314582334674846,63183232,"[<POLYGON ((28.085 41.338, 28.085 41.338, 28.085 41.337, 28.084 41.336, 28.08...>]"
Sayalar İlköğretim Okulu Bahçesi,İSTANBUL,HİCAZKAR,SİLİVRİ,SAYALAR,28.13264616194301,41.31637895702483,151349181,"[<POLYGON ((28.085 41.338, 28.085 41.338, 28.085 41.337, 28.084 41.336, 28.08...>]"
Sayalar Meydan Caddesi Çocuk Parkı,İSTANBUL,HİCAZKAR,SİLİVRİ,SAYALAR,28.13743197627041,41.31817557937482,151349180,"[<POLYGON ((28.085 41.338, 28.085 41.338, 28.085 41.337, 28.084 41.336, 28.08...>]"
Canik Sokak Parkı,İSTANBUL,FATİH SULTAN MEHMET,ÇATALCA,FATİH,28.117130840204037,41.3693793163494,151347071,"[<POLYGON ((28.085 41.338, 28.085 41.338, 28.085 41.337, 28.084 41.336, 28.08...>]"
Marmara Sokak Parkı,İSTANBUL,FATİH SULTAN MEHMET,ÇATALCA,FATİH,28.117134774433598,41.37566749457435,151347072,"[<POLYGON ((28.085 41.338, 28.085 41.338, 28.085 41.337, 28.084 41.336, 28.08...>]"
