tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ihlamur Parkı.,İSTANBUL,HACIMAŞLI,ARNAVUTKÖY,HACIMAŞLI,28.694846049170955,41.16394111117499,151345480,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Şehit Er Savaş Koyun Parkı,İSTANBUL,KUTLUKHAN,ARNAVUTKÖY,HARAÇÇI,28.694846049170955,41.16394111117499,151345408,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Naim Süleymanoğlu Parkı.,İSTANBUL,KUTLUKHAN,ARNAVUTKÖY,HARAÇÇI,28.694846049170955,41.16394111117499,151345409,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Sazlıbosna Parkı,İSTANBUL,HARAÇÇI-HADIMKÖY YOLU,ARNAVUTKÖY,SAZLIBOSNA,28.685300205445223,41.164839422349985,151345405,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Hacımaşlı Parkı,İSTANBUL,BEYAZ AKASYA,ARNAVUTKÖY,HACIMAŞLI,28.71274627283233,41.16663604469997,151345472,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Hz. Osman Camii Bahçesi,İSTANBUL,ARİF,ARNAVUTKÖY,KARLIBAYIR,28.7175194564236,41.16663604469997,151345347,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Çilingir Meydan Parkı,İSTANBUL,TINAZ,ARNAVUTKÖY,ÇİLİNGİR,28.682913973545055,41.16753435587496,151345444,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Vardar Sokak Parkı.,İSTANBUL,BEYAZ AKASYA,ARNAVUTKÖY,HARAÇÇI,28.707973972684492,41.168432667049956,151345412,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Ertuğrul Gazi Parkı.,İSTANBUL,ARİF,ARNAVUTKÖY,KARLIBAYIR,28.717520601628046,41.168432667049956,151345346,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Haraçcı Sağlık Ocağı Bahçesi,İSTANBUL,GÖÇMENKENT,ARNAVUTKÖY,HARAÇÇI,28.715134484311008,41.16933097822495,151441242,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Akşemsettin Parkı,İSTANBUL,KANDİLLİ,ARNAVUTKÖY,HARAÇÇI,28.690075221553705,41.17382253409991,151345411,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Fedakar Sokak Parkı,İSTANBUL,HATMİ,ARNAVUTKÖY,HARAÇÇI,28.691269286638377,41.17651746762489,151441241,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Gülistan Parkı,İSTANBUL,BİLEN,ARNAVUTKÖY,KARLIBAYIR,28.710365850319842,41.178314089974876,151345344,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Gardenya Parkı,İSTANBUL,MADALYA,ARNAVUTKÖY,HARAÇÇI,28.704400271660425,41.18280564584984,151345410,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Selçuklu Parkı,İSTANBUL,SELÇUKLU,ARNAVUTKÖY,TAŞOLUK,28.70798104311798,41.18280564584984,151345354,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Mustafa Yeşil Parkı,İSTANBUL,MALTEPE,ARNAVUTKÖY,MEHMET AKİF ERSOY,28.699628529821688,41.18999213524978,151345478,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Taşoluk TOKİ Piknik Alanı,İSTANBUL,MALTEPE,ARNAVUTKÖY,MEHMET AKİF ERSOY,28.69127354411543,41.194483691124745,151441259,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Hasan Polatkan Parkı,İSTANBUL,ŞEHİT CENGİZ TONGUÇ,ARNAVUTKÖY,ADNAN MENDERES,28.684110953117628,41.19628031347473,151345416,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Ramazan Güngör Parkı,İSTANBUL,TAŞOLUK,ARNAVUTKÖY,TAŞOLUK,28.702018495512547,41.19628031347473,151345353,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Çelebi Caddesi Parkı,İSTANBUL,MALTEPE,ARNAVUTKÖY,MEHMET AKİF ERSOY,28.692468494402796,41.19897524699971,151441257,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
Hazerfen Parkı,İSTANBUL,AYDIN SAYILI,ARNAVUTKÖY,FATİH ,28.67814193617616,41.200771869349694,151345407,"[<POLYGON ((28.708 41.186, 28.708 41.186, 28.708 41.186, 28.708 41.186, 28.70...>]"
