tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
İTÜ Taşkışla Kampüsü,İSTANBUL,ASKER OCAĞI,ŞİŞLİ,HARBİYE,28.990007596585073,41.040099711174996,151350567,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
Atatürk Kitaplığı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,PROF. DR. BEDRİ KARAFAKİOĞLU,BEYOĞLU,GÜMÜŞSUYU ,28.990007596585073,41.040099711174996,151346862,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
Şişli Evlendirme Dairesi Önü (Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ASKER OCAĞI,ŞİŞLİ,HARBİYE,28.990007596585073,41.040099711174996,151350568,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
10 Aralık Şehitler Parkı (İTÜ Makine Fakültesi karşısı Yeşil Alan),İSTANBUL,DOLMABAHÇE GAZHANE,BEYOĞLU,ÖMER AVNİ ,28.992389594308456,41.040099711174996,151346889,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
Divan Otel-Hyat Otel Arası Yeşil Alan,İSTANBUL,ASKER OCAĞI,ŞİŞLİ,HARBİYE,28.98762561511726,41.04099802234999,151350563,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
Taksim Gezi Parkı,İSTANBUL,ASKER OCAĞI,BEYOĞLU,GÜMÜŞSUYU ,28.98762561511726,41.04099802234999,151346864,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
Maçka Demokrasi Parkı,İSTANBUL,ASKER OCAĞI,ŞİŞLİ,HARBİYE,28.992389675586303,41.04099802234999,151350657,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
İsmet İnönü Çocuk Parkı,İSTANBUL,BAYILDIM,BEŞİKTAŞ,VİŞNEZADE,28.995962720938085,41.04099802234999,151350622,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
İBB Beyoğlu Şube Şefliği,İSTANBUL,CUMHURİYET,ŞİŞLİ,HARBİYE,28.987625631373568,41.04189633352498,151350565,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
TRT İstanbul Radyosu Bahçesi,İSTANBUL,CUMHURİYET,ŞİŞLİ,HARBİYE,28.987625647630612,41.042794644699974,151350569,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
İstanbul Kongre Merkezi Bahçesi,İSTANBUL,TAŞKIŞLA,ŞİŞLİ,HARBİYE,28.990007791665175,41.04369295587497,151350566,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
Şenlik Dede Parkı,İSTANBUL,SÜLEYMAN SEBA,BEŞİKTAŞ,VİŞNEZADE,28.995963111107134,41.04369295587497,151346463,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
Notre Dame De Sion Fransız Lisesi Bahçesi,İSTANBUL,CUMHURİYET,ŞİŞLİ,İNÖNÜ,28.98762568014691,41.04459126704996,151350585,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
Cumhuriyet Parkı,İSTANBUL,DARÜLBEDAİ,ŞİŞLİ,HARBİYE,28.98881685785376,41.04728620057494,151350564,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
Yumurtacı Ahmet Bayraktar Parkı,İSTANBUL,NÜZHETİYE,BEŞİKTAŞ,TÜRKALİ,28.99596363141504,41.04728620057494,151346456,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
Muhtar Bahtiyar Kaşlı Park,İSTANBUL,CUMHURİYET,ŞİŞLİ,ERGENEKON,28.987625745188346,41.04818451174993,151350603,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
Akkavak Parkı,İSTANBUL,HÜSREV GEREDE,ŞİŞLİ,TEŞVİKİYE,28.99477261631843,41.04818451174993,151350631,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
Nilüfer Hatun Ortaokulu Bahçesi,İSTANBUL,TEŞVİKİYE,ŞİŞLİ,TEŞVİKİYE,28.99119937590864,41.05087944527491,151350632,"[<POLYGON ((28.991 41.052, 28.991 41.051, 28.991 41.051, 28.989 41.05, 28.988...>]"
