tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Davutpaşa Camii Avlusu,İSTANBUL,HEKİMOĞLU ALİPAŞA,FATİH,CERRAHPAŞA,28.937552311441525,41.007610511174995,151347713,"[<POLYGON ((28.938 41.011, 28.936 41.007, 28.937 41.007, 28.937 41.007, 28.93...>]"
Hekimoğlu Alipaşa İlkokulu Bahçesi,İSTANBUL,HEKİMOĞLU ALİPAŞA,FATİH,CERRAHPAŞA,28.937552311441525,41.007610511174995,151347715,"[<POLYGON ((28.938 41.011, 28.936 41.007, 28.937 41.007, 28.937 41.007, 28.93...>]"
Mucit Sokak Çevre Otoparkı (1816/10),İSTANBUL,TOPÇU EMİNBEY,FATİH,HASEKİ SULTAN,28.937552311441525,41.007610511174995,151347664,"[<POLYGON ((28.938 41.011, 28.936 41.007, 28.937 41.007, 28.937 41.007, 28.93...>]"
Haseki Külliye Alanı,İSTANBUL,TEVFİK FİKRET,FATİH,HASEKİ SULTAN,28.93993318301145,41.00850882234999,151347666,"[<POLYGON ((28.938 41.011, 28.936 41.007, 28.937 41.007, 28.937 41.007, 28.93...>]"
Keyci Hatun Parkı,İSTANBUL,HASEKİ KADIN,FATİH,CERRAHPAŞA,28.9435044660229,41.00850882234999,151347711,"[<POLYGON ((28.938 41.011, 28.936 41.007, 28.937 41.007, 28.937 41.007, 28.93...>]"
Cerrahpaşa Cd. Otopark (1105/3),İSTANBUL,AÇIKGÖZ,FATİH,HASEKİ SULTAN,28.9435044660229,41.00850882234999,151347665,"[<POLYGON ((28.938 41.011, 28.936 41.007, 28.937 41.007, 28.937 41.007, 28.93...>]"
Dr. Metin Alatlı Parkı,İSTANBUL,AÇIKGÖZ,FATİH,HASEKİ SULTAN,28.9435044660229,41.00850882234999,151347663,"[<POLYGON ((28.938 41.011, 28.936 41.007, 28.937 41.007, 28.937 41.007, 28.93...>]"
Cerrah Mehmetpaşa Camii Avlusu,İSTANBUL,CERRAHPAŞA,FATİH,AKSARAY,28.944694893693384,41.00850882234999,151347779,"[<POLYGON ((28.938 41.011, 28.936 41.007, 28.937 41.007, 28.937 41.007, 28.93...>]"
Rekreasyon Alanı  ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,CERRAHPAŞA,FATİH,AKSARAY,28.945885321363868,41.00850882234999,151347781,"[<POLYGON ((28.938 41.011, 28.936 41.007, 28.937 41.007, 28.937 41.007, 28.93...>]"
Muratpaşa Parkı,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,MOLLA GÜRANİ,28.9458854512014,41.00940713352498,151347771,"[<POLYGON ((28.938 41.011, 28.936 41.007, 28.937 41.007, 28.937 41.007, 28.93...>]"
Aksaray Metro İstasyonu,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,İSKENDERPAŞA,28.948266339001748,41.00940713352498,151347689,"[<POLYGON ((28.938 41.011, 28.936 41.007, 28.937 41.007, 28.937 41.007, 28.93...>]"
Şehit Mehmet Çetinkaya Parkı,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,MOLLA GÜRANİ,28.948266339001748,41.00940713352498,151347770,"[<POLYGON ((28.938 41.011, 28.936 41.007, 28.937 41.007, 28.937 41.007, 28.93...>]"
Çapa İlkokulu Bahçesi,İSTANBUL,KIZILELMA,FATİH,ŞEHREMİNİ,28.93874282026121,41.01030544469997,151347682,"[<POLYGON ((28.938 41.011, 28.936 41.007, 28.937 41.007, 28.937 41.007, 28.93...>]"
Selçuk Sultan Parkı,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,MOLLA GÜRANİ,28.94350466078363,41.01030544469997,151347768,"[<POLYGON ((28.938 41.011, 28.936 41.007, 28.937 41.007, 28.937 41.007, 28.93...>]"
Selçuk Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,KIZILELMA,FATİH,ŞEHREMİNİ,28.938742852723536,41.011203755874966,151347684,"[<POLYGON ((28.938 41.011, 28.936 41.007, 28.937 41.007, 28.937 41.007, 28.93...>]"
Molla Şeref Parkı,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,MOLLA GÜRANİ,28.94112380544707,41.011203755874966,151347772,"[<POLYGON ((28.938 41.011, 28.936 41.007, 28.937 41.007, 28.937 41.007, 28.93...>]"
