tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Fidan Demircioğlu Ortaokulu Bahçesi,İSTANBUL,GAZİ,ESENLER,HAVAALANI,28.864724955378108,41.05427051117499,151347279,"[<POLYGON ((28.866 41.054, 28.866 41.054, 28.866 41.054, 28.866 41.054, 28.86...>]"
Gazi Caddesi Parkı ve Çevresi,İSTANBUL,ŞEHİT VEDAT ÇAĞLAR,ESENLER,BİRLİK,28.864724955378108,41.05427051117499,151347360,"[<POLYGON ((28.866 41.054, 28.866 41.054, 28.866 41.054, 28.866 41.054, 28.86...>]"
Esenler Kültür Merkezi Karşısı Yeşil Alan,İSTANBUL,ŞEHİT VEDAT ÇAĞLAR,ESENLER,BİRLİK,28.864724955378108,41.05427051117499,151347365,"[<POLYGON ((28.866 41.054, 28.866 41.054, 28.866 41.054, 28.866 41.054, 28.86...>]"
Uhud Camii Çevresi,İSTANBUL,FUZULİ,ESENLER,HAVAALANI,28.865916210756215,41.05427051117499,151347278,"[<POLYGON ((28.866 41.054, 28.866 41.054, 28.866 41.054, 28.866 41.054, 28.86...>]"
Tacirler Ortaokulu Bahçesi,İSTANBUL,FERMAN,ESENLER,HAVAALANI,28.868298721512428,41.05427051117499,151439635,"[<POLYGON ((28.866 41.054, 28.866 41.054, 28.866 41.054, 28.866 41.054, 28.86...>]"
Tacirler İlkokulu Bahçesi,İSTANBUL,FERMAN,ESENLER,HAVAALANI,28.868298721512428,41.05427051117499,151439636,"[<POLYGON ((28.866 41.054, 28.866 41.054, 28.866 41.054, 28.866 41.054, 28.86...>]"
Birlik Mah. Pazar Yeri Meydanı,İSTANBUL,MEHMET AKİF İNAN,ESENLER,BİRLİK,28.869489976890534,41.05427051117499,151347346,"[<POLYGON ((28.866 41.054, 28.866 41.054, 28.866 41.054, 28.866 41.054, 28.86...>]"
Yunus Emre Ortaokul Bahçesi,İSTANBUL,MEHMET AKİF İNAN,ESENLER,HAVAALANI,28.87068123226864,41.05427051117499,151439641,"[<POLYGON ((28.866 41.054, 28.866 41.054, 28.866 41.054, 28.866 41.054, 28.86...>]"
Yunus Emre İlkokul Bahçesi,İSTANBUL,KIRIM,ESENLER,HAVAALANI,28.873063743024854,41.05427051117499,151439639,"[<POLYGON ((28.866 41.054, 28.866 41.054, 28.866 41.054, 28.866 41.054, 28.86...>]"
Atışalanı Anadolu Lisesi Bahçesi,İSTANBUL,KIŞLA,ESENLER,KEMER,28.87425499840296,41.05427051117499,151439644,"[<POLYGON ((28.866 41.054, 28.866 41.054, 28.866 41.054, 28.866 41.054, 28.86...>]"
Atışalanı Ortaokulu Bahçesi,İSTANBUL,KIŞLA,ESENLER,KEMER,28.87425499840296,41.05427051117499,151439645,"[<POLYGON ((28.866 41.054, 28.866 41.054, 28.866 41.054, 28.866 41.054, 28.86...>]"
Özel Devran Koleji Bahçesi,İSTANBUL,KIŞLA,ESENLER,KEMER,28.875446416453006,41.055168822349984,151429541,"[<POLYGON ((28.866 41.054, 28.866 41.054, 28.866 41.054, 28.866 41.054, 28.86...>]"
Şehit Şevki Eren Yetkin Parkı,İSTANBUL,GÖZTEPE,ESENLER,HAVAALANI,28.869490139566167,41.05606713352498,151347277,"[<POLYGON ((28.866 41.054, 28.866 41.054, 28.866 41.054, 28.866 41.054, 28.86...>]"
Havaalanı Bölge Parkı,İSTANBUL,HAVAALANI,ESENLER,HAVAALANI,28.871872715392634,41.05606713352498,151347276,"[<POLYGON ((28.866 41.054, 28.866 41.054, 28.866 41.054, 28.866 41.054, 28.86...>]"
Turgut Reis Parkı-Muhtarlık,İSTANBUL,ANADOLU,ESENLER,TURGUT REİS,28.865916308363804,41.05696544469997,151347309,"[<POLYGON ((28.866 41.054, 28.866 41.054, 28.866 41.054, 28.866 41.054, 28.86...>]"
15 Temmuz Millet Bahçesi  ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,İPEKYOLU,ESENLER,15 TEMMUZ,28.875446741819015,41.05696544469997,151347359,"[<POLYGON ((28.866 41.054, 28.866 41.054, 28.866 41.054, 28.866 41.054, 28.86...>]"
