tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Bolluca Stadı,İSTANBUL,PALA,ARNAVUTKÖY,ATATÜRK,28.766417575011626,41.19461401117499,151345433,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
Bolluca Parkı,İSTANBUL,İSMET İNÖNÜ,ARNAVUTKÖY,HİCRET,28.766417575011626,41.19461401117499,151345419,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
Şeyh Şamil Parkı,İSTANBUL,İSMET İNÖNÜ,ARNAVUTKÖY,BOLLUCA,28.766417575011626,41.19461401117499,151345378,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
Ahu Sokak Parkı,İSTANBUL,ŞİNASİ,ARNAVUTKÖY,HİCRET,28.755673388611783,41.195512322349984,151441244,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
Siper Sokak Parkı,İSTANBUL,ŞİNASİ,ARNAVUTKÖY,HİCRET,28.755673388611783,41.195512322349984,151345422,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
Ayla Sokak Yeşil Alan,İSTANBUL,YILDIRIM BEYAZIT,ARNAVUTKÖY,İSLAMBEY,28.755673388611783,41.195512322349984,151441248,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
Hicret Parkı,İSTANBUL,YILDIRIM BEYAZIT,ARNAVUTKÖY,HİCRET,28.756867210764728,41.195512322349984,151345420,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
Bolluca Ek Hizmet Binası Bahçesi,İSTANBUL,YILDIRIM BEYAZIT,ARNAVUTKÖY,HİCRET,28.760448677223565,41.195512322349984,151441245,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
Yıldırım Beyazıt Caddesi Parkı,İSTANBUL,AYLA,ARNAVUTKÖY,İSLAMBEY,28.753285777073017,41.19641063352498,151441247,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
Hicret Camii Bahçesi,İSTANBUL,BASİRET,ARNAVUTKÖY,HİCRET,28.753285777073017,41.19641063352498,151345421,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
23 Nisan Egemenlik Parkı,İSTANBUL,ABDULLAH GÜL,ARNAVUTKÖY,MAVİGÖL,28.76283697691656,41.199105567049955,151345343,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
Şüheda Parkı,İSTANBUL,MİLLİYET,ARNAVUTKÖY,İSLAMBEY,28.75209202046547,41.20090218939994,151345372,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
Eyüp Sultan Caddesi Yeşil Alan,İSTANBUL,ABDULLAH GÜL,ARNAVUTKÖY,MAVİGÖL,28.76283730465468,41.20090218939994,151441255,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
Suatlar Parkı,İSTANBUL,MİLLİYET,ARNAVUTKÖY,İSLAMBEY,28.75209203685349,41.20180050057493,151345373,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
Malkoçoğlu Camii Bahçesi,İSTANBUL,ULUBATLI HASAN,ARNAVUTKÖY,İMRAHOR,28.752092053242258,41.202698811749926,151345463,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
Ulubatlı Hasan Parkı,İSTANBUL,ABDULLAH GÜL,ARNAVUTKÖY,MAVİGÖL,28.756867866211287,41.202698811749926,151345341,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
Ensar Parkı.,İSTANBUL,ABDULLAH GÜL,ARNAVUTKÖY,MAVİGÖL,28.756868194023767,41.2062920564499,151441256,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
Rabia Parkı,İSTANBUL,ABDULLAH GÜL,ARNAVUTKÖY,MAVİGÖL,28.75567437193773,41.208986989974875,151345342,"[<POLYGON ((28.757 41.217, 28.756 41.217, 28.756 41.217, 28.756 41.216, 28.75...>]"
