tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Açelya  Parkı,İSTANBUL,EŞREF,SANCAKTEPE,MEVLANA,29.264817869204723,41.014826411174994,151350541,"[<POLYGON ((29.264 41.017, 29.264 41.016, 29.264 41.015, 29.264 41.015, 29.26...>]"
Ayşe Çarmıklı  İlkokul ve Ortaokulu Bahçesi,İSTANBUL,ÇALI,SANCAKTEPE,YUNUS EMRE,29.264817869204723,41.014826411174994,151350466,"[<POLYGON ((29.264 41.017, 29.264 41.016, 29.264 41.015, 29.264 41.015, 29.26...>]"
Güven Parkı,İSTANBUL,ÇALI,SANCAKTEPE,YUNUS EMRE,29.264817869204723,41.014826411174994,151350460,"[<POLYGON ((29.264 41.017, 29.264 41.016, 29.264 41.015, 29.264 41.015, 29.26...>]"
Leylak Sk. Boş Alan,İSTANBUL,PAŞAKÖY,SANCAKTEPE,PAŞAKÖY,29.271961120156494,41.014826411174994,151350476,"[<POLYGON ((29.264 41.017, 29.264 41.016, 29.264 41.015, 29.264 41.015, 29.26...>]"
Paşaköy Parkı,İSTANBUL,PAŞAKÖY,SANCAKTEPE,PAŞAKÖY,29.271961120156494,41.014826411174994,151350474,"[<POLYGON ((29.264 41.017, 29.264 41.016, 29.264 41.015, 29.264 41.015, 29.26...>]"
Aziz Sk. Boş Alan,İSTANBUL,EĞİTİM,SANCAKTEPE,YUNUS EMRE,29.24695983924552,41.02021627822495,151350464,"[<POLYGON ((29.264 41.017, 29.264 41.016, 29.264 41.015, 29.264 41.015, 29.26...>]"
Şehit Zafer Korkmaz Parkı,İSTANBUL,EĞİTİM,SANCAKTEPE,YUNUS EMRE,29.24695983924552,41.02021627822495,151350462,"[<POLYGON ((29.264 41.017, 29.264 41.016, 29.264 41.015, 29.264 41.015, 29.26...>]"
Yenidoğan İlkokulu Bahçesi ,İSTANBUL,EĞİTİM,SANCAKTEPE,YUNUS EMRE,29.24695983924552,41.02021627822495,151350465,"[<POLYGON ((29.264 41.017, 29.264 41.016, 29.264 41.015, 29.264 41.015, 29.26...>]"
Şelale Çocuk Parkı,İSTANBUL,YENİDOĞAN,SANCAKTEPE,YUNUS EMRE,29.24815051096959,41.02111458939994,151350461,"[<POLYGON ((29.264 41.017, 29.264 41.016, 29.264 41.015, 29.264 41.015, 29.26...>]"
Sancaktepe Belediyesi Kreş Arka Tarafı,İSTANBUL,PARSEL,SANCAKTEPE,HİLAL,29.260057065817538,41.02111458939994,151350530,"[<POLYGON ((29.264 41.017, 29.264 41.016, 29.264 41.015, 29.264 41.015, 29.26...>]"
Hamide Sancak Parkı,İSTANBUL,ACEM,ÇEKMEKÖY,SOĞUKPINAR,29.24695988796556,41.02291121174993,151347195,"[<POLYGON ((29.264 41.017, 29.264 41.016, 29.264 41.015, 29.264 41.015, 29.26...>]"
TEV Ezel Gülen Kıray Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,NİŞANTEPE,29.26839257993384,41.02380952292492,151347187,"[<POLYGON ((29.264 41.017, 29.264 41.016, 29.264 41.015, 29.264 41.015, 29.26...>]"
Mehmet Akif Ersoy İlkokulu Bahçesi,İSTANBUL,ÖZTÜRK,ÇEKMEKÖY,EKŞİOĞLU,29.25172296467958,41.0265044564499,151347262,"[<POLYGON ((29.264 41.017, 29.264 41.016, 29.264 41.015, 29.264 41.015, 29.26...>]"
Lokman Ceylan Parkı,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,NİŞANTEPE,29.256486122623095,41.02740276762489,151347188,"[<POLYGON ((29.264 41.017, 29.264 41.016, 29.264 41.015, 29.264 41.015, 29.26...>]"
Nişantepe Parkı,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,NİŞANTEPE,29.269584583606875,41.02740276762489,151347189,"[<POLYGON ((29.264 41.017, 29.264 41.016, 29.264 41.015, 29.264 41.015, 29.26...>]"
Alemdağ Emlak Konut Ortaokulu Bahçesi,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,NİŞANTEPE,29.268394431756782,41.02919938997488,151347185,"[<POLYGON ((29.264 41.017, 29.264 41.016, 29.264 41.015, 29.264 41.015, 29.26...>]"
