tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Oruç Reis Parkı,İSTANBUL,ARDA,ÜMRANİYE,HUZUR,29.159679500660815,41.02359511117499,151349835,"[<POLYGON ((29.164 41.033, 29.162 41.035, 29.161 41.035, 29.16 41.035, 29.159...>, <POLYGON ((29.001 41.111, 28.999 41.112, 28.997 41.112, 28.997 41.111, 28.99...>]"
Adem Yavuz Aile Sağlığı Merkezi Bahçesi,İSTANBUL,ESKİ ÜSKÜDAR YOLU,ÜMRANİYE,ADEM YAVUZ,29.159679500660815,41.02359511117499,151349789,"[<POLYGON ((29.164 41.033, 29.162 41.035, 29.161 41.035, 29.16 41.035, 29.159...>, <POLYGON ((29.001 41.111, 28.999 41.112, 28.997 41.112, 28.997 41.111, 28.99...>]"
Orkide Parkı,İSTANBUL,KARADENİZ,ÜMRANİYE,PARSELLER,29.159679500660815,41.02359511117499,151349626,"[<POLYGON ((29.164 41.033, 29.162 41.035, 29.161 41.035, 29.16 41.035, 29.159...>, <POLYGON ((29.001 41.111, 28.999 41.112, 28.997 41.112, 28.997 41.111, 28.99...>]"
Bengisu Evleri Bahçesi,İSTANBUL,ÇAMLICA,ÜMRANİYE,AŞAĞI DUDULLU,29.160870200991223,41.02359511117499,151349867,"[<POLYGON ((29.164 41.033, 29.162 41.035, 29.161 41.035, 29.16 41.035, 29.159...>, <POLYGON ((29.001 41.111, 28.999 41.112, 28.997 41.112, 28.997 41.111, 28.99...>]"
Yıldıray Sokak Boş Arazi,İSTANBUL,CENGİZ,ÜMRANİYE,HUZUR,29.159679533144903,41.024493422349984,151349838,"[<POLYGON ((29.164 41.033, 29.162 41.035, 29.161 41.035, 29.16 41.035, 29.159...>, <POLYGON ((29.001 41.111, 28.999 41.112, 28.997 41.112, 28.997 41.111, 28.99...>]"
Mutlu Sokak Boş Arazi,İSTANBUL,BAHTİYAR,ÜMRANİYE,HUZUR,29.162060966289808,41.024493422349984,151349839,"[<POLYGON ((29.164 41.033, 29.162 41.035, 29.161 41.035, 29.16 41.035, 29.159...>, <POLYGON ((29.001 41.111, 28.999 41.112, 28.997 41.112, 28.997 41.111, 28.99...>]"
Saraybosna Parkı,İSTANBUL,ÇOBAN ÇEŞME,ÜMRANİYE,AŞAĞI DUDULLU,29.162060966289808,41.024493422349984,151349862,"[<POLYGON ((29.164 41.033, 29.162 41.035, 29.161 41.035, 29.16 41.035, 29.159...>, <POLYGON ((29.001 41.111, 28.999 41.112, 28.997 41.112, 28.997 41.111, 28.99...>]"
Pınar Parkı,İSTANBUL,DUMAN,ÜMRANİYE,HUZUR,29.164442691818024,41.02718835587496,151349836,"[<POLYGON ((29.164 41.033, 29.162 41.035, 29.161 41.035, 29.16 41.035, 29.159...>, <POLYGON ((29.001 41.111, 28.999 41.112, 28.997 41.112, 28.997 41.111, 28.99...>]"
Nida Parkı,İSTANBUL,KARADENİZ,ÜMRANİYE,PARSELLER,29.158488881547992,41.028086667049955,151349624,"[<POLYGON ((29.164 41.033, 29.162 41.035, 29.161 41.035, 29.16 41.035, 29.159...>, <POLYGON ((29.001 41.111, 28.999 41.112, 28.997 41.112, 28.997 41.111, 28.99...>]"
Firuz Sokak Boş Arazi 1,İSTANBUL,KARADENİZ,ÜMRANİYE,PARSELLER,29.158488881547992,41.028086667049955,151349629,"[<POLYGON ((29.164 41.033, 29.162 41.035, 29.161 41.035, 29.16 41.035, 29.159...>, <POLYGON ((29.001 41.111, 28.999 41.112, 28.997 41.112, 28.997 41.111, 28.99...>]"
