tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ahmet Keleşoğlu  Parkı,İSTANBUL,D 100,PENDİK,YEŞİLBAĞLAR,29.230848855141513,40.893213711174994,151350274,"[<POLYGON ((29.232 40.892, 29.233 40.893, 29.233 40.893, 29.233 40.893, 29.23...>, <POLYGON ((28.989 41.078, 28.988 41.079, 28.986 41.077, 28.985 41.076, 28.98...>, <POLYGON ((28.893 41.07, 28.894 41.069, 28.895 41.069, 28.898 41.067, 28.9 4...>, <POLYGON ((28.834 41.031, 28.834 41.031, 28.832 41.031, 28.831 41.031, 28.83...>, <POLYGON ((28.839 40.992, 28.843 40.992, 28.843 40.992, 28.843 40.992, 28.84...>, <POLYGON ((28.518 41.071, 28.516 41.071, 28.516 41.071, 28.516 41.071, 28.51...>, <POLYGON ((28.645 41.029, 28.646 41.029, 28.648 41.028, 28.649 41.027, 28.64...>, <POLYGON ((28.339 41.118, 28.335 41.113, 28.334 41.113, 28.334 41.11, 28.334...>]"
Zübeyde Hanım İlkokul-Ortaokul Bahçesi,İSTANBUL,D 100,PENDİK,ÇINARDERE,29.230848855141513,40.893213711174994,151350136,"[<POLYGON ((29.232 40.892, 29.233 40.893, 29.233 40.893, 29.233 40.893, 29.23...>, <POLYGON ((28.989 41.078, 28.988 41.079, 28.986 41.077, 28.985 41.076, 28.98...>, <POLYGON ((28.893 41.07, 28.894 41.069, 28.895 41.069, 28.898 41.067, 28.9 4...>, <POLYGON ((28.834 41.031, 28.834 41.031, 28.832 41.031, 28.831 41.031, 28.83...>, <POLYGON ((28.839 40.992, 28.843 40.992, 28.843 40.992, 28.843 40.992, 28.84...>, <POLYGON ((28.518 41.071, 28.516 41.071, 28.516 41.071, 28.516 41.071, 28.51...>, <POLYGON ((28.645 41.029, 28.646 41.029, 28.648 41.028, 28.649 41.027, 28.64...>, <POLYGON ((28.339 41.118, 28.335 41.113, 28.334 41.113, 28.334 41.11, 28.334...>]"
Şehit Fethi Parkı,İSTANBUL,MERİH,PENDİK,BAHÇELİEVLER,29.230848855141513,40.893213711174994,151350168,"[<POLYGON ((29.232 40.892, 29.233 40.893, 29.233 40.893, 29.233 40.893, 29.23...>, <POLYGON ((28.989 41.078, 28.988 41.079, 28.986 41.077, 28.985 41.076, 28.98...>, <POLYGON ((28.893 41.07, 28.894 41.069, 28.895 41.069, 28.898 41.067, 28.9 4...>, <POLYGON ((28.834 41.031, 28.834 41.031, 28.832 41.031, 28.831 41.031, 28.83...>, <POLYGON ((28.839 40.992, 28.843 40.992, 28.843 40.992, 28.843 40.992, 28.84...>, <POLYGON ((28.518 41.071, 28.516 41.071, 28.516 41.071, 28.516 41.071, 28.51...>, <POLYGON ((28.645 41.029, 28.646 41.029, 28.648 41.028, 28.649 41.027, 28.64...>, <POLYGON ((28.339 41.118, 28.335 41.113, 28.334 41.113, 28.334 41.11, 28.334...>]"
Ladin Sokak Parkı,İSTANBUL,D 100,PENDİK,YEŞİLBAĞLAR,29.229660601220917,40.89411202234999,151350273,"[<POLYGON ((29.232 40.892, 29.233 40.893, 29.233 40.893, 29.233 40.893, 29.23...>, <POLYGON ((28.989 41.078, 28.988 41.079, 28.986 41.077, 28.985 41.076, 28.98...>, <POLYGON ((28.893 41.07, 28.894 41.069, 28.895 41.069, 28.898 41.067, 28.9 4...>, <POLYGON ((28.834 41.031, 28.834 41.031, 28.832 41.031, 28.831 41.031, 28.83...>, <POLYGON ((28.839 40.992, 28.843 40.992, 28.843 40.992, 28.843 40.992, 28.84...>, <POLYGON ((28.518 41.071, 28.516 41.071, 28.516 41.071, 28.516 41.071, 28.51...>, <POLYGON ((28.645 41.029, 28.646 41.029, 28.648 41.028, 28.649 41.027, 28.64...>, <POLYGON ((28.339 41.118, 28.335 41.113, 28.334 41.113, 28.334 41.11, 28.334...>]"
Ulus Parkı,İSTANBUL,YAKACIK D-100 KUZEY YANYOL,KARTAL,HÜRRİYET,29.22847231503268,40.89501033352498,151348537,"[<POLYGON ((29.232 40.892, 29.233 40.893, 29.233 40.893, 29.233 40.893, 29.23...>, <POLYGON ((28.989 41.078, 28.988 41.079, 28.986 41.077, 28.985 41.076, 28.98...>, <POLYGON ((28.893 41.07, 28.894 41.069, 28.895 41.069, 28.898 41.067, 28.9 4...>, <POLYGON ((28.834 41.031, 28.834 41.031, 28.832 41.031, 28.831 41.031, 28.83...>, <POLYGON ((28.839 40.992, 28.843 40.992, 28.843 40.992, 28.843 40.992, 28.84...>, <POLYGON ((28.518 41.071, 28.516 41.071, 28.516 41.071, 28.516 41.071, 28.51...>, <POLYGON ((28.645 41.029, 28.646 41.029, 28.648 41.028, 28.649 41.027, 28.64...>, <POLYGON ((28.339 41.118, 28.335 41.113, 28.334 41.113, 28.334 41.11, 28.334...>]"
Yıldıray Çınar Parkı,İSTANBUL,TARIM,KARTAL,HÜRRİYET,29.229660794861882,40.89590864469997,151348527,"[<POLYGON ((29.232 40.892, 29.233 40.893, 29.233 40.893, 29.233 40.893, 29.23...>, <POLYGON ((28.989 41.078, 28.988 41.079, 28.986 41.077, 28.985 41.076, 28.98...>, <POLYGON ((28.893 41.07, 28.894 41.069, 28.895 41.069, 28.898 41.067, 28.9 4...>, <POLYGON ((28.834 41.031, 28.834 41.031, 28.832 41.031, 28.831 41.031, 28.83...>, <POLYGON ((28.839 40.992, 28.843 40.992, 28.843 40.992, 28.843 40.992, 28.84...>, <POLYGON ((28.518 41.071, 28.516 41.071, 28.516 41.071, 28.516 41.071, 28.51...>, <POLYGON ((28.645 41.029, 28.646 41.029, 28.648 41.028, 28.649 41.027, 28.64...>, <POLYGON ((28.339 41.118, 28.335 41.113, 28.334 41.113, 28.334 41.11, 28.334...>]"
Hürriyet Kız Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,MAKBER ÇIKMAZI,KARTAL,HÜRRİYET,29.23441439143647,40.89590864469997,151348528,"[<POLYGON ((29.232 40.892, 29.233 40.893, 29.233 40.893, 29.233 40.893, 29.23...>, <POLYGON ((28.989 41.078, 28.988 41.079, 28.986 41.077, 28.985 41.076, 28.98...>, <POLYGON ((28.893 41.07, 28.894 41.069, 28.895 41.069, 28.898 41.067, 28.9 4...>, <POLYGON ((28.834 41.031, 28.834 41.031, 28.832 41.031, 28.831 41.031, 28.83...>, <POLYGON ((28.839 40.992, 28.843 40.992, 28.843 40.992, 28.843 40.992, 28.84...>, <POLYGON ((28.518 41.071, 28.516 41.071, 28.516 41.071, 28.516 41.071, 28.51...>, <POLYGON ((28.645 41.029, 28.646 41.029, 28.648 41.028, 28.649 41.027, 28.64...>, <POLYGON ((28.339 41.118, 28.335 41.113, 28.334 41.113, 28.334 41.11, 28.334...>]"
Ethem Sıral Kaptan Parkı,İSTANBUL,AYAZMA,KARTAL,HÜRRİYET,29.23679138337788,40.896806955874965,151348526,"[<POLYGON ((29.232 40.892, 29.233 40.893, 29.233 40.893, 29.233 40.893, 29.23...>, <POLYGON ((28.989 41.078, 28.988 41.079, 28.986 41.077, 28.985 41.076, 28.98...>, <POLYGON ((28.893 41.07, 28.894 41.069, 28.895 41.069, 28.898 41.067, 28.9 4...>, <POLYGON ((28.834 41.031, 28.834 41.031, 28.832 41.031, 28.831 41.031, 28.83...>, <POLYGON ((28.839 40.992, 28.843 40.992, 28.843 40.992, 28.843 40.992, 28.84...>, <POLYGON ((28.518 41.071, 28.516 41.071, 28.516 41.071, 28.516 41.071, 28.51...>, <POLYGON ((28.645 41.029, 28.646 41.029, 28.648 41.028, 28.649 41.027, 28.64...>, <POLYGON ((28.339 41.118, 28.335 41.113, 28.334 41.113, 28.334 41.11, 28.334...>]"
Cumhuriyet İlkokulu Bahçesi,İSTANBUL,HEYBETLİ,KARTAL,HÜRRİYET,29.228472557100307,40.89770526704996,151348524,"[<POLYGON ((29.232 40.892, 29.233 40.893, 29.233 40.893, 29.233 40.893, 29.23...>, <POLYGON ((28.989 41.078, 28.988 41.079, 28.986 41.077, 28.985 41.076, 28.98...>, <POLYGON ((28.893 41.07, 28.894 41.069, 28.895 41.069, 28.898 41.067, 28.9 4...>, <POLYGON ((28.834 41.031, 28.834 41.031, 28.832 41.031, 28.831 41.031, 28.83...>, <POLYGON ((28.839 40.992, 28.843 40.992, 28.843 40.992, 28.843 40.992, 28.84...>, <POLYGON ((28.518 41.071, 28.516 41.071, 28.516 41.071, 28.516 41.071, 28.51...>, <POLYGON ((28.645 41.029, 28.646 41.029, 28.648 41.028, 28.649 41.027, 28.64...>, <POLYGON ((28.339 41.118, 28.335 41.113, 28.334 41.113, 28.334 41.11, 28.334...>]"
Ziyabey Parkı,İSTANBUL,ESMER,KARTAL,HÜRRİYET,29.22966098852037,40.89770526704996,151348538,"[<POLYGON ((29.232 40.892, 29.233 40.893, 29.233 40.893, 29.233 40.893, 29.23...>, <POLYGON ((28.989 41.078, 28.988 41.079, 28.986 41.077, 28.985 41.076, 28.98...>, <POLYGON ((28.893 41.07, 28.894 41.069, 28.895 41.069, 28.898 41.067, 28.9 4...>, <POLYGON ((28.834 41.031, 28.834 41.031, 28.832 41.031, 28.831 41.031, 28.83...>, <POLYGON ((28.839 40.992, 28.843 40.992, 28.843 40.992, 28.843 40.992, 28.84...>, <POLYGON ((28.518 41.071, 28.516 41.071, 28.516 41.071, 28.516 41.071, 28.51...>, <POLYGON ((28.645 41.029, 28.646 41.029, 28.648 41.028, 28.649 41.027, 28.64...>, <POLYGON ((28.339 41.118, 28.335 41.113, 28.334 41.113, 28.334 41.11, 28.334...>]"
