tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Vatan Emniyet Önü Cadde Boş Alanı,İSTANBUL,ADNAN MENDERES VATAN,FATİH,HIRKA-İ ŞERİF,28.937335969787945,41.01933211117499,151347792,"[<POLYGON ((28.941 41.025, 28.941 41.025, 28.94 41.025, 28.94 41.026, 28.94 4...>]"
Mimar Sinan İşitme Engelliler İlkokulu Bahçesi,İSTANBUL,ADNAN MENDERES VATAN,FATİH,HIRKA-İ ŞERİF,28.937335969787945,41.01933211117499,151347670,"[<POLYGON ((28.941 41.025, 28.941 41.025, 28.94 41.025, 28.94 41.026, 28.94 4...>]"
Atikali İlkokulu Bahçesi,İSTANBUL,ADNAN MENDERES VATAN,FATİH,HIRKA-İ ŞERİF,28.937335969787945,41.01933211117499,151347668,"[<POLYGON ((28.941 41.025, 28.941 41.025, 28.94 41.025, 28.94 41.026, 28.94 4...>]"
Akşemsettin Parkı,İSTANBUL,AKŞEMSETTİN,FATİH,AKŞEMSETTİN,28.938526593050593,41.01933211117499,151347686,"[<POLYGON ((28.941 41.025, 28.941 41.025, 28.94 41.025, 28.94 41.026, 28.94 4...>]"
Bezmialem Yanı Otopark Önü Yeşil Alan,İSTANBUL,ADNAN MENDERES VATAN,FATİH,TOPKAPI,28.936145379002408,41.02023042234998,151347623,"[<POLYGON ((28.941 41.025, 28.941 41.025, 28.94 41.025, 28.94 41.026, 28.94 4...>]"
Hırka-i Şerif Cami Avlusu,İSTANBUL,HÜSREVPAŞA,FATİH,HIRKA-İ ŞERİF,28.94090793700722,41.02023042234998,151347673,"[<POLYGON ((28.941 41.025, 28.941 41.025, 28.94 41.025, 28.94 41.026, 28.94 4...>]"
Karagümrük Ortaokulu,İSTANBUL,YAMAK,FATİH,HIRKA-İ ŞERİF,28.938526722961978,41.021128733524975,151347671,"[<POLYGON ((28.941 41.025, 28.941 41.025, 28.94 41.025, 28.94 41.026, 28.94 4...>]"
Koyunbaba Parkı,İSTANBUL,AKŞEMSETTİN,FATİH,AKŞEMSETTİN,28.94209869018346,41.021128733524975,151347687,"[<POLYGON ((28.941 41.025, 28.941 41.025, 28.94 41.025, 28.94 41.026, 28.94 4...>]"
Haşim İşcan Parkı,İSTANBUL,ARPA EMİNİ KÖPRÜSÜ,FATİH,KARAGÜMRÜK,28.934954771980518,41.02202704469997,151347726,"[<POLYGON ((28.941 41.025, 28.941 41.025, 28.94 41.025, 28.94 41.026, 28.94 4...>]"
Nişancı Mehmetpaşa Camii Bahçesi,İSTANBUL,FEVZİPAŞA,FATİH,ATİKALİ,28.943289475844136,41.02202704469997,151347777,"[<POLYGON ((28.941 41.025, 28.941 41.025, 28.94 41.025, 28.94 41.026, 28.94 4...>]"
Mimar Sinan Stadı,İSTANBUL,SOFALI ÇEŞME,FATİH,KARAGÜMRÜK,28.936145476442558,41.02292535587496,151347727,"[<POLYGON ((28.941 41.025, 28.941 41.025, 28.94 41.025, 28.94 41.026, 28.94 4...>]"
Karagümrük Çocuk Parkı,İSTANBUL,KAŞIKÇI 2. ÇIKMAZI,FATİH,HIRKA-İ ŞERİF,28.938526852885115,41.02292535587496,151347667,"[<POLYGON ((28.941 41.025, 28.941 41.025, 28.94 41.025, 28.94 41.026, 28.94 4...>]"
Akşemsettin İlkokulu Bahçesi,İSTANBUL,TÜRKİSTAN,FATİH,HIRKA-İ ŞERİF,28.936145508925552,41.02382366704995,151347669,"[<POLYGON ((28.941 41.025, 28.941 41.025, 28.94 41.025, 28.94 41.026, 28.94 4...>]"
Karagümrük Stadı Yanı Boş Alan,İSTANBUL,HATTAT RAKIM,FATİH,DERVİŞ ALİ,28.94090842423005,41.024721978224946,151347709,"[<POLYGON ((28.941 41.025, 28.941 41.025, 28.94 41.025, 28.94 41.026, 28.94 4...>]"
Hattat Rakım Ortaokulu Bahçesi,İSTANBUL,FEVZİPAŞA,FATİH,DERVİŞ ALİ,28.936145606383366,41.02651860057493,151347707,"[<POLYGON ((28.941 41.025, 28.941 41.025, 28.94 41.025, 28.94 41.026, 28.94 4...>]"
