tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yaylalı Park Alanı ve Meydan,İSTANBUL,YAYLALI,ŞİLE,YAYLALI,29.6763242047241,41.11253751117499,151349006,"[<POLYGON ((29.666 41.138, 29.669 41.138, 29.669 41.137, 29.669 41.136, 29.66...>]"
Yeniköy S.T.K Alanı,İSTANBUL,PİKNİK,ŞİLE,YENİKÖY,29.6763242047241,41.11253751117499,151348979,"[<POLYGON ((29.666 41.138, 29.669 41.138, 29.669 41.137, 29.669 41.136, 29.66...>]"
Kabakoz Köy Meydanı,İSTANBUL,AT ÇİFLİĞİ,ŞİLE,KABAKOZ,29.6763242047241,41.11253751117499,151349010,"[<POLYGON ((29.666 41.138, 29.669 41.138, 29.669 41.137, 29.669 41.136, 29.66...>]"
Akçakese Basketbol Sahası,İSTANBUL,AKÇAKESE,ŞİLE,AKÇAKESE,29.70374803430714,41.113435822349985,151349038,"[<POLYGON ((29.666 41.138, 29.669 41.138, 29.669 41.137, 29.669 41.136, 29.66...>]"
Karabeyli Muhtarlık Binası ve Köy Konağı,İSTANBUL,KIŞLAK,ŞİLE,KARABEYLİ,29.70374803430714,41.113435822349985,151349044,"[<POLYGON ((29.666 41.138, 29.669 41.138, 29.669 41.137, 29.669 41.136, 29.66...>]"
Akçakese Sosyal-Kültür Alanı ve Parkı,İSTANBUL,AKÇAKESE,ŞİLE,AKÇAKESE,29.701364617622573,41.11523244469997,151349039,"[<POLYGON ((29.666 41.138, 29.669 41.138, 29.669 41.137, 29.669 41.136, 29.66...>]"
Kabakoz Mevcut Siteler İçin Kendi Sosyal Tesis Alanları,İSTANBUL,ALPEREN,ŞİLE,KABAKOZ,29.68944192151156,41.117029067049955,151349011,"[<POLYGON ((29.666 41.138, 29.669 41.138, 29.669 41.137, 29.669 41.136, 29.66...>]"
Çayırbaşı Fatma Seher Ortaokulu ve Bahçesi,İSTANBUL,RUMELİ,ŞİLE,ÇAYIRBAŞI,29.665595615997162,41.12780880114987,151349035,"[<POLYGON ((29.666 41.138, 29.669 41.138, 29.669 41.137, 29.669 41.136, 29.66...>]"
İmrenli Köyü Park Alanı,İSTANBUL,AKÇAKESE,ŞİLE,AKÇAKESE,29.709742748615295,41.15385982522466,151349040,"[<POLYGON ((29.666 41.138, 29.669 41.138, 29.669 41.137, 29.669 41.136, 29.66...>]"
Üzüm Sokak Parkı,İSTANBUL,KUZEY YILDIZI,ŞİLE,BALİBEY,29.657248012352227,41.156554758749635,151349054,"[<POLYGON ((29.666 41.138, 29.669 41.138, 29.669 41.137, 29.669 41.136, 29.66...>]"
Tavanlı Parkı,İSTANBUL,KUZEY YILDIZI,ŞİLE,BALİBEY,29.65724812682739,41.162842936974585,151349050,"[<POLYGON ((29.666 41.138, 29.669 41.138, 29.669 41.137, 29.669 41.136, 29.66...>]"
