tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Kadıköy Tapulama Harici Alan,İSTANBUL,KADIKÖY,ŞİLE,KADIKÖY,29.909951941192173,41.102425111174995,151348990,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
Çelebi Köy Camii Bahçesi ve BHA ,İSTANBUL,KATİP ÇELEBİ,ŞİLE,ÇELEBİ,29.909951941192173,41.102425111174995,151349056,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
Bucaklı Köy Camii ve Meydan,İSTANBUL,ERENLER,ŞİLE,BUCAKLI,29.909951941192173,41.102425111174995,151348994,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
Gülbahçe Sokak Çocuk Parkı,İSTANBUL,DAVET,SİLİVRİ,KAVAKLI HÜRRİYET,28.340370350971078,41.11699441117499,151349178,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
Gümüşler Sokak Çocuk Parkı Ve Spor Sahası,İSTANBUL,KADIKÖY,SİLİVRİ,GAZİTEPE ,28.340370350971078,41.11699441117499,151349092,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
Buğrahan Sokak Çocuk Parkı.,İSTANBUL,DAVET,SİLİVRİ,KAVAKLI HÜRRİYET,28.340370350971078,41.11699441117499,151440418,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
Bağlar Caddesi Çocuk Parkı,İSTANBUL,DAVET,SİLİVRİ,KADIKÖY,28.343947693146227,41.117892722349985,151349093,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
Terzi / Rezene Sokak Çocuk Parkı,İSTANBUL,ŞAHİN ÖZER,SİLİVRİ,KAVAKLI İSTİKLAL,28.340370693680462,41.11968934469997,151349139,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
Ortaköy Futbol Sahası.,İSTANBUL,SARICA,SİLİVRİ,ORTAKÖY,28.349910718955606,41.121485967049956,151349157,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
Hümayun Caddesi İletişim Noktası Park Alanı,İSTANBUL,SARICA,SİLİVRİ,ORTAKÖY,28.35468123761108,41.12328258939994,151349158,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
Pazar Alanı(Kadıköy Caddesi),İSTANBUL,EBRU,ÇATALCA,ELBASAN,28.383306325607997,41.12957076762489,151347059,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
Elbasan Köy Meydanı,İSTANBUL,EBRU,ÇATALCA,ELBASAN,28.38569156865953,41.12957076762489,151347108,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
Sağlık Caddesi Çocuk Parkı,İSTANBUL,DAVUTÇA,SİLİVRİ,AKÖREN,28.34037412333912,41.14663867994975,151349124,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
Arif Nihat Asya Parkı (İnceğiz Meydan),İSTANBUL,MAĞAZACI,ÇATALCA,İNCEĞİZ,28.366621469299186,41.15202854699971,151347104,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
İnceğiz Yeşil Alan,İSTANBUL,MEDDAH,ÇATALCA,İNCEĞİZ,28.364237616478444,41.15652010287467,151347105,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
Leyla Kavak Caddesi Spor Sahası,İSTANBUL,UYGUN,SİLİVRİ,AKÖREN,28.35946629788643,41.15921503639965,151437334,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
Kabakça İlkokulu Bahçesi,İSTANBUL,HATİP,ÇATALCA,KABAKÇA,28.354701115892524,41.180774504599476,151347084,"[<POLYGON ((29.896 41.104, 29.897 41.105, 29.898 41.105, 29.902 41.106, 29.90...>, <POLYGON ((28.356 41.122, 28.357 41.123, 28.357 41.124, 28.357 41.124, 28.35...>]"
