tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Akkaya Sokak Spor Alanı,İSTANBUL,İSTANBUL,ÇATALCA,SUBAŞI,28.44942647097734,41.25412431117499,151347089,"[<POLYGON ((28.399 41.286, 28.399 41.285, 28.4 41.285, 28.4 41.285, 28.4 41.2...>]"
Belediye Düğün ve Spor Alanı,İSTANBUL,ÖZDENİZ,ÇATALCA,AKALAN,28.44942647097734,41.25412431117499,151347106,"[<POLYGON ((28.399 41.286, 28.399 41.285, 28.4 41.285, 28.4 41.285, 28.4 41.2...>]"
Şamdan Sokak Spor Alanı,İSTANBUL,DAĞYENİCE,ÇATALCA,KALFA,28.44942647097734,41.25412431117499,151347087,"[<POLYGON ((28.399 41.286, 28.399 41.285, 28.4 41.285, 28.4 41.285, 28.4 41.2...>]"
Karacaköy Caddesi Spor Alanı,İSTANBUL,BAHÇEDERE,ÇATALCA,DAĞYENİCE,28.45181625635411,41.25412431117499,151347066,"[<POLYGON ((28.399 41.286, 28.399 41.285, 28.4 41.285, 28.4 41.285, 28.4 41.2...>]"
Yedievler Sokak Spor Alanı,İSTANBUL,ÇAMAŞIRDERE,ÇATALCA,SUBAŞI,28.45181625635411,41.25412431117499,151347088,"[<POLYGON ((28.399 41.286, 28.399 41.285, 28.4 41.285, 28.4 41.285, 28.4 41.2...>]"
İhsaniye Meydanı,İSTANBUL,HATEM,ÇATALCA,İHSANİYE,28.40999895767311,41.272090534674845,151347061,"[<POLYGON ((28.399 41.286, 28.399 41.285, 28.4 41.285, 28.4 41.285, 28.4 41.2...>]"
Çorluk Caddesi Yeşil Alan,İSTANBUL,OSMANLI,ÇATALCA,ÇİFTLİKKÖY,28.417171470778158,41.275683779374816,151347079,"[<POLYGON ((28.399 41.286, 28.399 41.285, 28.4 41.285, 28.4 41.285, 28.4 41.2...>]"
Çanakça Spor Alanı,İSTANBUL,BAHÇEDERE,ÇATALCA,ÇANAKÇA,28.46020625424851,41.28017533524978,151347091,"[<POLYGON ((28.399 41.286, 28.399 41.285, 28.4 41.285, 28.4 41.285, 28.4 41.2...>]"
Örencik Caddesi Yeşil Alan,İSTANBUL,KARACAKÖY,ÇATALCA,ÖRENCİK,28.45901262886492,41.281971957599765,151347069,"[<POLYGON ((28.399 41.286, 28.399 41.285, 28.4 41.285, 28.4 41.285, 28.4 41.2...>]"
Sultan Süleyman Caddesi Spor Alanı,İSTANBUL,KARACAKÖY,ÇATALCA,BAŞAK,28.42434635328034,41.28287026877476,151347099,"[<POLYGON ((28.399 41.286, 28.399 41.285, 28.4 41.285, 28.4 41.285, 28.4 41.2...>]"
