tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ayhan Kocaman Parkı,İSTANBUL,KULAKSIZ,BEYOĞLU,KULAKSIZ ,28.962517336280587,41.038988811174995,151346866,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Haşim Osman Cami Bahçesi,İSTANBUL,KULAKSIZ,BEYOĞLU,KULAKSIZ ,28.962517336280587,41.038988811174995,151346865,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Okçular Tekkesi Spor Tesisi,İSTANBUL,DOYMAZ DERE,BEYOĞLU,KEÇECİ PİRİ ,28.962517336280587,41.038988811174995,151346898,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
İstiklal Mahallesi Muhtarlığı Arkası  Yeşil Alanlar,İSTANBUL,PİYALEPAŞA BULVARI,BEYOĞLU,İSTİKLAL ,28.963708315040783,41.038988811174995,151439810,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Piyale Paşa Cami Önü,İSTANBUL,KÜÇÜK PİYALE CAMİ,BEYOĞLU,KAPTANPAŞA ,28.966090370089134,41.03988712234999,151346848,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Ağaçlaraltı Parkı 2,İSTANBUL,KASIMPAŞA ZİNCİRLİKUYU,BEYOĞLU,KAPTANPAŞA ,28.966090467621505,41.04078543352498,151346847,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Ağaçlaraltı Parkı 1,İSTANBUL,MEZARLIK ARKASI,BEYOĞLU,KAPTANPAŞA ,28.96132645505277,41.041683744699974,151346846,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Okmeydanı Fetih Spor Tesisi,İSTANBUL,FATİH SULTAN MİNBERİ,BEYOĞLU,KEÇECİ PİRİ ,28.960135443783255,41.042582055874966,151346873,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Piripaşa İlkokulu Ve Ortaokulu Bahçesi,İSTANBUL,ÜST BARUTHANE,BEYOĞLU,PİYALEPAŞA ,28.96013546004086,41.04348036704996,151346868,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Piyalepaşa Spor Tesisi Bitişiği Boş Alan,İSTANBUL,ALT BARUTHANE,BEYOĞLU,PİYALEPAŞA ,28.96609076024516,41.04348036704996,151346870,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Piyalepaşa Spor Tesisi,İSTANBUL,PİYALEPAŞA BULVARI,ŞİŞLİ,MAHMUT ŞEVKET PAŞA,28.967281934094427,41.04437867822495,151350659,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Memorial Hastanesi Önü,İSTANBUL,PERPA,ŞİŞLİ,KAPTANPAŞA,28.972546755093266,41.061429111174995,151350583,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Perpa Otoparkı 2,İSTANBUL,PERPA,ŞİŞLİ,HALİL RIFAT PAŞA,28.972546755093266,41.061429111174995,151350597,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Halit Ziya Türkkan Sokak Parkı,İSTANBUL,PERPA,ŞİŞLİ,KAPTANPAŞA,28.972546755093266,41.061429111174995,151350580,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Halide Edip Adıvar İlkokulu Bahçesi,İSTANBUL,PİYALEPAŞA BULVARI,ŞİŞLİ,HALİDE EDİP ADIVAR,28.973738140124354,41.061429111174995,151350606,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Halide Edip Adıvar Parkı,İSTANBUL,PİYALEPAŞA BULVARI,ŞİŞLİ,HALİDE EDİP ADIVAR,28.973738140124354,41.061429111174995,151350604,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Perpa Otoparkı 1 ( Aynı Zamanda TRANSFER ALANIDIR. ),İSTANBUL,PERPA,ŞİŞLİ,HALİL RIFAT PAŞA,28.971355402608317,41.06232742234999,151350596,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Cevdet Şamıkoğlu İlkokulu Bahçesi,İSTANBUL,DARÜLACEZE,KAĞITHANE,TALATPAŞA,28.970164017577964,41.06322573352498,151348352,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Ok Meydanı Hastanesi Yanı,İSTANBUL,HALİT ZİYA TÜRKKAN,ŞİŞLİ,KAPTANPAŞA,28.973738270311856,41.06322573352498,151350581,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Eski Halide Edip Yeşil Alan,İSTANBUL,PİYALEPAŞA BULVARI,ŞİŞLİ,KAPTANPAŞA,28.97612120311505,41.06412404469997,151350582,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Prof.Dr.M.Temel Yılmaz Parkı,İSTANBUL,PİYALEPAŞA BULVARI,ŞİŞLİ,HALİDE EDİP ADIVAR,28.977312750894516,41.065022355874966,151350605,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Yunus Emre Parkı,İSTANBUL,28 NİSAN,KAĞITHANE,GÜRSEL,28.97492993201905,41.06592066704996,151348192,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Adliye Meydanı (Gürsel Tarafı),İSTANBUL,HASTANE YANI,ŞİŞLİ,KAPTANPAŞA,28.97731297876395,41.06681897822495,151348350,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
Manolya Parkı,İSTANBUL,YALIN,KAĞITHANE,GÜRSEL,28.977313206654028,41.06861560057494,151348193,"[<POLYGON ((28.96 41.043, 28.961 41.042, 28.962 41.04, 28.962 41.039, 28.962 ...>, <POLYGON ((28.97 41.064, 28.969 41.064, 28.969 41.064, 28.969 41.063, 28.972...>]"
