tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
MEV Koleji Özel Büyükçekmece İlkokulu Bahçesi,İSTANBUL,ESKİCE KARAAĞAÇ YOLU,BÜYÜKÇEKMECE,ALKENT 2000,28.583134841034447,41.059696211174995,151346919,"[<POLYGON ((28.559 41.104, 28.56 41.104, 28.562 41.104, 28.562 41.104, 28.562...>]"
Alkev Özel Okulları Bahçesi,İSTANBUL,ESKİCE KARAAĞAÇ YOLU,BÜYÜKÇEKMECE,ALKENT 2000,28.583134841034447,41.059696211174995,151346918,"[<POLYGON ((28.559 41.104, 28.56 41.104, 28.562 41.104, 28.562 41.104, 28.562...>]"
Atatürk Spor Kompleksi,İSTANBUL,GÖLBOYU,BÜYÜKÇEKMECE,DİZDARİYE,28.583134841034447,41.059696211174995,151347014,"[<POLYGON ((28.559 41.104, 28.56 41.104, 28.562 41.104, 28.562 41.104, 28.562...>]"
Nejat Uygur Kültür Merkezi Bahçesi (Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,TAŞOCAĞI,BÜYÜKÇEKMECE,ULUS,28.572413439336437,41.06239114469997,151346995,"[<POLYGON ((28.559 41.104, 28.56 41.104, 28.562 41.104, 28.562 41.104, 28.562...>]"
Alkent 2000 Yüzme Havuzu Parkı,İSTANBUL,GÜZELBAHÇE,BÜYÜKÇEKMECE,ALKENT 2000,28.58432746392171,41.06239114469997,151346917,"[<POLYGON ((28.559 41.104, 28.56 41.104, 28.562 41.104, 28.562 41.104, 28.562...>]"
Tepecik TEİAŞ Parkı,İSTANBUL,ÇATALCA YOLU,BÜYÜKÇEKMECE,HÜRRİYET,28.565266652303038,41.0713742564499,151346948,"[<POLYGON ((28.559 41.104, 28.56 41.104, 28.562 41.104, 28.562 41.104, 28.562...>]"
Ahmet Mithat Caddesi Parkı,İSTANBUL,ÇATALCA YOLU,BÜYÜKÇEKMECE,HÜRRİYET,28.565266652303038,41.0713742564499,151346943,"[<POLYGON ((28.559 41.104, 28.56 41.104, 28.562 41.104, 28.562 41.104, 28.562...>]"
Karaağaç Şenlik Parkı,İSTANBUL,GÜRMAN ÇİFTLİK,BÜYÜKÇEKMECE,KARAAĞAÇ,28.571224722673122,41.07227256762489,151346962,"[<POLYGON ((28.559 41.104, 28.56 41.104, 28.562 41.104, 28.562 41.104, 28.562...>]"
Çanakkale Caddesi Yeşil Alan,İSTANBUL,AKSARAY,ÇATALCA,BAHŞAYİŞ,28.560500977572694,41.076764123499856,151347073,"[<POLYGON ((28.559 41.104, 28.56 41.104, 28.562 41.104, 28.562 41.104, 28.562...>]"
Alkent 2000 Yeşil Alan,İSTANBUL,DR. HASAN AKGÜN,BÜYÜKÇEKMECE,KARAAĞAÇ,28.601019471519415,41.079459057024835,151347022,"[<POLYGON ((28.559 41.104, 28.56 41.104, 28.562 41.104, 28.562 41.104, 28.562...>]"
