tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Osmanköy Camii ve Meydan,İSTANBUL,UBEYLİ,ŞİLE,OSMANKÖY,29.72366898746553,41.09364121117499,151349041,"[<POLYGON ((29.7 41.114, 29.7 41.113, 29.7 41.112, 29.699 41.112, 29.697 41.1...>]"
Karabeyli Muhtarlık Binası ve Köy Konağı,İSTANBUL,UBEYLİ,ŞİLE,KARABEYLİ,29.72366898746553,41.09364121117499,151349044,"[<POLYGON ((29.7 41.114, 29.7 41.113, 29.7 41.112, 29.699 41.112, 29.697 41.1...>]"
Sortullu Sosyal Kültür Tesisleri Alanı,İSTANBUL,BAĞYOLU,ŞİLE,SORTULLU,29.72366898746553,41.09364121117499,151349031,"[<POLYGON ((29.7 41.114, 29.7 41.113, 29.7 41.112, 29.699 41.112, 29.697 41.1...>]"
Yaylalı Park Alanı ve Meydan,İSTANBUL,SEZGİ,ŞİLE,YAYLALI,29.706982448192544,41.09992938939994,151349006,"[<POLYGON ((29.7 41.114, 29.7 41.113, 29.7 41.112, 29.699 41.112, 29.697 41.1...>]"
Akçakese Basketbol Sahası,İSTANBUL,AKÇAKESE,ŞİLE,AKÇAKESE,29.711750992683754,41.10082770057493,151349038,"[<POLYGON ((29.7 41.114, 29.7 41.113, 29.7 41.112, 29.699 41.112, 29.697 41.1...>]"
Göksu Köy Camii Alanı,İSTANBUL,DENİZKIZI,ŞİLE,GÖKSU,29.75705492956392,41.105319256449896,151349007,"[<POLYGON ((29.7 41.114, 29.7 41.113, 29.7 41.112, 29.699 41.112, 29.697 41.1...>]"
İmrenli Köy Yerleşik Halkı İçin Köy Camii ve Alanı,İSTANBUL,KÖY BAŞI TEPESİ,ŞİLE,İMRENLİ,29.73798174655207,41.108014189974874,151349001,"[<POLYGON ((29.7 41.114, 29.7 41.113, 29.7 41.112, 29.699 41.112, 29.697 41.1...>]"
Kabakoz Köy Meydanı,İSTANBUL,ALPEREN,ŞİLE,KABAKOZ,29.698638192425697,41.10891250114987,151349010,"[<POLYGON ((29.7 41.114, 29.7 41.113, 29.7 41.112, 29.699 41.112, 29.697 41.1...>]"
Akçakese Sosyal-Kültür Alanı ve Parkı,İSTANBUL,AKÇAKESE,ŞİLE,AKÇAKESE,29.706984209540092,41.11070912349985,151349039,"[<POLYGON ((29.7 41.114, 29.7 41.113, 29.7 41.112, 29.699 41.112, 29.697 41.1...>]"
Bozgoca Köy Camii ve Bahçesi,İSTANBUL,ERKAN,ŞİLE,BOZGOCA,29.753483084213826,41.11070912349985,151349033,"[<POLYGON ((29.7 41.114, 29.7 41.113, 29.7 41.112, 29.699 41.112, 29.697 41.1...>]"
İmrenli Köyü Park Alanı,İSTANBUL,TEMEL,ŞİLE,AKÇAKESE,29.746334208031854,41.1169973017248,151349040,"[<POLYGON ((29.7 41.114, 29.7 41.113, 29.7 41.112, 29.699 41.112, 29.697 41.1...>]"
