tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Karamandere Meydanı,İSTANBUL,MÜSTESNA,ÇATALCA,KARAMANDERE,28.299887368278732,41.37811751117499,151347065,"[<POLYGON ((28.406 41.385, 28.405 41.386, 28.405 41.386, 28.404 41.388, 28.40...>]"
Müjgan Sokak Spor Alanı,İSTANBUL,MÜSTESNA,ÇATALCA,KARAMANDERE,28.299887368278732,41.37811751117499,151347064,"[<POLYGON ((28.406 41.385, 28.405 41.386, 28.405 41.386, 28.404 41.388, 28.40...>]"
Gümüşpınar Meydanı,İSTANBUL,RABİA,ÇATALCA,GÜMÜŞPINAR,28.299887368278732,41.37811751117499,151347102,"[<POLYGON ((28.406 41.385, 28.405 41.386, 28.405 41.386, 28.404 41.388, 28.40...>]"
Belgrat Köy Meydanı,İSTANBUL,MESUT,ÇATALCA,BELGRAT,28.313058860716055,41.38171075587496,151347078,"[<POLYGON ((28.406 41.385, 28.405 41.386, 28.405 41.386, 28.404 41.388, 28.40...>]"
Fatih Sultan Caddesi Yeşil Alan,İSTANBUL,MESUT,ÇATALCA,BELGRAT,28.35975360054582,41.38350737822495,151347077,"[<POLYGON ((28.406 41.385, 28.405 41.386, 28.405 41.386, 28.404 41.388, 28.40...>]"
Beko Evleri Sokak Parkı,İSTANBUL,KARACA AHMETPAŞA,ÇATALCA,KARACAKÖY MERKEZ,28.35975360054582,41.38350737822495,151347068,"[<POLYGON ((28.406 41.385, 28.405 41.386, 28.405 41.386, 28.404 41.388, 28.40...>]"
Yiğit Sokak Parkı,İSTANBUL,CİVAN,ÇATALCA,KARACAKÖY MERKEZ,28.39688343796412,41.39069386762489,151347067,"[<POLYGON ((28.406 41.385, 28.405 41.386, 28.405 41.386, 28.404 41.388, 28.40...>]"
Yaylacık Meydanı,İSTANBUL,BİNKILIÇ,ÇATALCA,YAYLACIK,28.292713112662177,41.398778668199824,151347100,"[<POLYGON ((28.406 41.385, 28.405 41.386, 28.405 41.386, 28.404 41.388, 28.40...>]"
Kumsal Sokak Futbol Sahası,İSTANBUL,BÜRDE,ÇATALCA,YALIKÖY,28.297503306168643,41.398778668199824,151347085,"[<POLYGON ((28.406 41.385, 28.405 41.386, 28.405 41.386, 28.404 41.388, 28.40...>]"
Osmangazi Caddesi Halı Saha,İSTANBUL,KARACA AHMETPAŞA,ÇATALCA,AYDINLAR,28.27714514929331,41.39967697937482,151347081,"[<POLYGON ((28.406 41.385, 28.405 41.386, 28.405 41.386, 28.404 41.388, 28.40...>]"
