tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Hamidiye Cadde Parkı,İSTANBUL,HAMİDİYE,GAZİOSMANPAŞA,KARADENİZ,28.881485793643947,41.075992511174995,151347802,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Gazi Ahmet Muhtar Paşa Okulu Bahçesi,İSTANBUL,HAMİDİYE,GAZİOSMANPAŞA,KARADENİZ,28.881485793643947,41.075992511174995,151347811,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Namık Kemal Caddesi Parkı,İSTANBUL,HAMİDİYE,GAZİOSMANPAŞA,KARADENİZ,28.881485793643947,41.075992511174995,151347806,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Mehmet Niyazi Özdemir Parkı,İSTANBUL,1098.,GAZİOSMANPAŞA,KARADENİZ,28.88386922180549,41.07689082234999,151347817,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Selanik Caddesi Parkı,İSTANBUL,1098.,GAZİOSMANPAŞA,KARADENİZ,28.88386922180549,41.07689082234999,151347803,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Viaport Venezia Otoparkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,1209/1.,GAZİOSMANPAŞA,KARADENİZ,28.879102626045814,41.07778913352498,151347807,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Mehmet Akif Caddesi Parkı,İSTANBUL,1103.,GAZİOSMANPAŞA,KARADENİZ,28.885061033603083,41.07778913352498,151347800,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Evliya Çelebi İmam Hatip Ortaokulu Bahçesi,İSTANBUL,1103/3.,GAZİOSMANPAŞA,KARADENİZ,28.8862528779796,41.07868744469997,151347810,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Venezzia AVM Otoparkı,İSTANBUL,ESKİ EDİRNE ASFALTI,GAZİOSMANPAŞA,KARADENİZ,28.876719328170402,41.079585755874966,151347815,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Eren Bülbül Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,GAZİOSMANPAŞA,KARADENİZ,28.876719328170402,41.079585755874966,151347816,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Gazipaşa İlkokulu Bahçesi,İSTANBUL,GENERAL ALDOĞAN,GAZİOSMANPAŞA,KARADENİZ,28.88744475493722,41.079585755874966,151347812,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Mustafa Yeşil İmam Ortaokulu Bahçesi,İSTANBUL,GENERAL ALDOĞAN,GAZİOSMANPAŞA,BARBAROS HAYRETTİN PAŞA,28.888636469022423,41.079585755874966,151347878,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Preveze İlkokulu Bahçesi,İSTANBUL,GENERAL ALDOĞAN,GAZİOSMANPAŞA,BARBAROS HAYRETTİN PAŞA,28.889828183107625,41.079585755874966,151347880,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Özel Mavigün Koleji Bahçesi,İSTANBUL,GENERAL ALDOĞAN,GAZİOSMANPAŞA,KARADENİZ,28.889828183107625,41.079585755874966,151347813,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Masal Kahramanları Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,SULTANGAZİ,CUMHURİYET,28.87552763037318,41.08048406704996,151349430,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
1220 Sokak Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,GAZİOSMANPAŞA,KARADENİZ,28.87552763037318,41.08048406704996,151347798,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Menekşe Parkı,İSTANBUL,1150.,GAZİOSMANPAŞA,KARADENİZ,28.880294551865912,41.08048406704996,151347818,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Karayolları Spor Parkı,İSTANBUL,1158.,GAZİOSMANPAŞA,KARADENİZ,28.88863666447819,41.08048406704996,151347801,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
1215. Sokak Parkı,İSTANBUL,1212/1.,GAZİOSMANPAŞA,KARADENİZ,28.877911139985706,41.08138237822495,151347804,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Elma Bahçesi Ortak Alanı,İSTANBUL,CEBECİ,GAZİOSMANPAŞA,YENİ MAHALLE,28.891020353266633,41.08138237822495,151347866,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
651. Sokak Parkı Karşısı Boş Alanı,İSTANBUL,GALERİ,GAZİOSMANPAŞA,KARAYOLLARI,28.892212099928535,41.08138237822495,151347897,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Ertuğrul Gazi Caddesi Parkı,İSTANBUL,1138.,GAZİOSMANPAŞA,KARADENİZ,28.88744529246497,41.082280689399944,151347805,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Adnan Menderes İlkokulu Bahçesi,İSTANBUL,1150.,GAZİOSMANPAŞA,KARADENİZ,28.880294796207775,41.08317900057494,151347808,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Adnan Menderes Ortaokulu Bahçesi,İSTANBUL,1146.,GAZİOSMANPAŞA,KARADENİZ,28.88148657544933,41.08317900057494,151347809,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
1128 -1176 Sk. Otopark Alanı,İSTANBUL,1143.,GAZİOSMANPAŞA,KARADENİZ,28.883870264259933,41.08407731174993,151347814,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Çanakkale Şehitler Parkı,İSTANBUL,1142.,GAZİOSMANPAŞA,KARADENİZ,28.886253855324917,41.08407731174993,151347799,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
Huzurevi Arkası Yeşil Alan,İSTANBUL,MERHAMET,SULTANGAZİ,CUMHURİYET,28.87791133547249,41.08497562292492,151349433,"[<POLYGON ((28.893 41.081, 28.892 41.082, 28.892 41.083, 28.892 41.084, 28.89...>]"
