tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
100. Yıl İlköğretim Okulu Bahçesi,İSTANBUL,GAZİ OSMANPAŞA,GAZİOSMANPAŞA,YILDIZTABYA,28.92769007884407,41.06995021117499,151347849,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
Yıldız Park Sitesi Üstünde Yer Alan Arazi,İSTANBUL,GAZİ OSMANPAŞA,GAZİOSMANPAŞA,YILDIZTABYA,28.92769007884407,41.06995021117499,151347848,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
Çamlık Parkı,İSTANBUL,GAZİ OSMANPAŞA,GAZİOSMANPAŞA,YILDIZTABYA,28.92769007884407,41.06995021117499,151347847,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
Alibeyköy Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,GAZİ OSMANPAŞA,EYÜPSULTAN,KARADOLAP,28.928881618266104,41.06995021117499,151347559,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
Yunus Emre Parkı,İSTANBUL,GAZİ OSMANPAŞA,EYÜPSULTAN,ESENTEPE,28.932456236532207,41.06995021117499,151347537,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
Karadolap Parkı Ve Spor Kompleksi,İSTANBUL,VARDAR,EYÜPSULTAN,KARADOLAP,28.933647775954242,41.06995021117499,151347554,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
Şehit Adem Yaşari Parkı,İSTANBUL,VARDAR,EYÜPSULTAN,KARADOLAP,28.934839315376276,41.06995021117499,151347558,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
Kılıçaslan İmam Hatip Ortaokulu Bahçesi,İSTANBUL,GAZİ OSMANPAŞA,EYÜPSULTAN,KARADOLAP,28.9360310013189,41.07084852234998,151347560,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
Esentepe Parkı,İSTANBUL,GAZİ OSMANPAŞA,EYÜPSULTAN,ESENTEPE,28.938414291811945,41.071746833524976,151347536,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
Küheylan Sokak Parkı,İSTANBUL,GÜLAÇAN,EYÜPSULTAN,KARADOLAP,28.930073353057775,41.07264514469997,151347557,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
İBB İgdaş Parkı,İSTANBUL,YILDIZ TABYA ALİBEYKÖY,EYÜPSULTAN,SAKARYA,28.939606059173325,41.07264514469997,151347518,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
Çamlık Parkı,İSTANBUL,SILA,EYÜPSULTAN,YEŞİLPINAR,28.927690209093445,41.07354345587496,151347582,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
Şehit Soner Baykuş Parkı,İSTANBUL,ABUHAYAT,EYÜPSULTAN,KARADOLAP,28.933648231827057,41.07354345587496,151347555,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
İBB Kutlu Doğum Parkı,İSTANBUL,SAYA YOLU,EYÜPSULTAN,ÇIRÇIR,28.938414650013947,41.07354345587496,151347524,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
Vahap Balçın Parkı,İSTANBUL,ÇEMEN,EYÜPSULTAN,KARADOLAP,28.92649862082974,41.074441767049954,151347556,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
Osmanlı Parkı ve Spor Alanları,İSTANBUL,GAZİ OSMANPAŞA,EYÜPSULTAN,ALİBEYKÖY,28.94198969161636,41.074441767049954,151347539,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
Şehit Metin Kaya Parkı,İSTANBUL,ŞELALE,EYÜPSULTAN,YEŞİLPINAR,28.92649865339799,41.07623838939994,151347584,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
Hüseyin Çatalkaş Parkı,İSTANBUL,SAYA YOLU,EYÜPSULTAN,ÇIRÇIR,28.938415187377874,41.07623838939994,151347531,"[<POLYGON ((28.93 41.08, 28.93 41.08, 28.928 41.08, 28.927 41.08, 28.927 41.0...>]"
