tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ovacık Camii ve Park Alanı,İSTANBUL,AKSOY,ŞİLE,OVACIK,29.61534042890205,41.08385651117499,151348995,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Teke A.K.A-Tapulama Harici Alan,İSTANBUL,GÜZELLER,ŞİLE,TEKE,29.61534042890205,41.08385651117499,151348974,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Yeniköy S.T.K Alanı,İSTANBUL,YAVAN TEPE,ŞİLE,YENİKÖY,29.61534042890205,41.08385651117499,151348979,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Karamandere A.K.A Alanı Tapulama Harici Alan,İSTANBUL,NEBİ,ŞİLE,KARAMANDERE,29.61176599924538,41.08565313352498,151348991,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Erenler Camii Alanı ve BHA,İSTANBUL,DERSAADET,ŞİLE,ERENLER,29.610574631336497,41.08655144469997,151348981,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Korucuköy Kültürel Tesis Alanı,İSTANBUL,KORUCUKÖY,ŞİLE,KORUCU,29.60342466434065,41.08924637822495,151349036,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
İmrendere Melen İsale Hattı Kamulaştırma Sahası,İSTANBUL,YEŞİLDERE,ŞİLE,İMRENDERE,29.607011746333594,41.114399091124746,151349058,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Ahmetli Ali Osman Keçeçi Okul Bahçesi,İSTANBUL,AHMETLİ,ŞİLE,AHMETLİ,29.59151340452187,41.124280514049666,151349012,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Ahmetli TOKİ Toplu Konut Bahçesi,İSTANBUL,AHMETLİ,ŞİLE,AHMETLİ,29.584359231946152,41.13326362579959,151349014,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Ahmetli Belediye Park Alanı ve Basketbol Sahası,İSTANBUL,AHMETLİ,ŞİLE,AHMETLİ,29.578395935673782,41.14134842637453,151349013,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Müjgan Sokak Spor Alanı,İSTANBUL,MÜJGAN,ÇATALCA,KARAMANDERE,28.341893600020356,41.34163781117499,151347064,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Karamandere Meydanı,İSTANBUL,MÜJGAN,ÇATALCA,KARAMANDERE,28.341893600020356,41.34163781117499,151347065,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Belgrat Köy Meydanı,İSTANBUL,MESUT,ÇATALCA,BELGRAT,28.341893600020356,41.34163781117499,151347078,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Fatih Sultan Caddesi Yeşil Alan,İSTANBUL,MESUT,ÇATALCA,BELGRAT,28.349074991890493,41.343434433524976,151347077,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Gümüşpınar Meydanı,İSTANBUL,BOZYİĞİT,ÇATALCA,GÜMÜŞPINAR,28.32993239325533,41.34523105587496,151347102,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Önder Atatürk Caddesi Pazar Alanı,İSTANBUL,RABİA,ÇATALCA,GÜMÜŞPINAR,28.278481338216025,41.349722611749925,151347101,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Yaylacık Meydanı,İSTANBUL,BİNKILIÇ,ÇATALCA,YAYLACIK,28.26531833583306,41.35151923409991,151347100,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Beko Evleri Sokak Parkı,İSTANBUL,KARACA AHMETPAŞA,ÇATALCA,KARACAKÖY MERKEZ,28.34792961463161,41.38206181404966,151347068,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Osmangazi Caddesi Halı Saha,İSTANBUL,KARACA AHMETPAŞA,ÇATALCA,AYDINLAR,28.272505102034795,41.39194323697458,151347081,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
Yiğit Sokak Parkı,İSTANBUL,KARACA AHMETPAŞA,ÇATALCA,KARACAKÖY MERKEZ,28.34555018801324,41.39373985932457,151347067,"[<POLYGON ((29.619 41.083, 29.619 41.084, 29.62 41.085, 29.62 41.085, 29.621 ...>, <POLYGON ((28.348 41.342, 28.348 41.342, 28.349 41.342, 28.349 41.343, 28.34...>]"
